Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Approach Motivation,Desire for Success,Driven,Drive,Drive,"[ 0.00716277 -0.0179036  -0.02316469 ...  0.00149583 -0.01432553
  0.00431687]",2
Approach Motivation,Desire for Success,Passionate,Passion,Passion,"[ 0.02311357 -0.03482534 -0.02657723 ...  0.010391   -0.0095015
  0.0064253 ]",2
Approach Motivation,Desire for Success,Focused,Focus,Focus,"[ 0.01776663 -0.03141943 -0.02126339 ... -0.00384065 -0.00830481
  0.00599077]",2
Approach Motivation,Desire for Success,High-achieving,Achieve,Achievement,"[ 0.02328232 -0.04088865 -0.02768054 ... -0.00841983 -0.01156046
  0.00396781]",2
Approach Motivation,Optimism,Upbeat,Uplift,Optimism,"[ 0.00918725 -0.04055648 -0.02519973 ...  0.00801681 -0.01134481
  0.01793736]",0
Approach Motivation,Optimism,Cheerful,Cheer,Cheerfulness,"[ 0.0320795  -0.05522062 -0.03427297 ...  0.00134093 -0.00913718
  0.02706194]",0
Approach Motivation,Optimism,Energetic,Energize,Energy,"[ 0.01392848 -0.02028864 -0.0599355  ... -0.00421118 -0.00888756
  0.01595595]",0
Approach Motivation,Optimism,Optimistic,Hope,Hopefulness,"[ 0.01143751 -0.05481662 -0.01200765 ... -0.00049235 -0.02565618
  0.0192178 ]",0
Approach Motivation,Challenge-seeking,Daring,Dare,Daring,"[ 0.02737609 -0.02802824 -0.01750879 ... -0.02344902 -0.01742373
  0.0088749 ]",2
Approach Motivation,Challenge-seeking,Inquisitive,Inquire,Inquiry,"[ 0.01001012 -0.03703262 -0.0320931  ... -0.02465622 -0.04001289
  0.01248678]",2
Approach Motivation,Challenge-seeking,Bold,Confront,Boldness,"[ 1.96275432e-02 -5.12952656e-02  8.89098458e-03 ... -1.89537629e-02
 -4.27704677e-02  3.13260280e-05]",2
Approach Motivation,Challenge-seeking,Venturesome,Venture,Venture,"[ 0.00150088 -0.02766933 -0.00103851 ... -0.01103861  0.00529358
 -0.00036703]",2
Approach Motivation,Reward Sensitivity,Sensory,Sense,Sensitivity,"[ 0.01454603 -0.02657238 -0.05146498 ... -0.01833277 -0.01422021
  0.00315502]",0
Approach Motivation,Reward Sensitivity,Attentive,Attend,Attention,"[ 0.00980587 -0.01595647 -0.0467229  ... -0.02118986  0.00563804
 -0.00354401]",0
Approach Motivation,Reward Sensitivity,Vigilant,Vigil,Vigilance,"[ 0.01347363  0.0005256  -0.03721144 ... -0.00715692 -0.00999925
 -0.00116097]",0
Approach Motivation,Reward Sensitivity,Aroused,Arouse,Arousal,"[ 0.00575624 -0.04678914 -0.07654912 ... -0.00163156 -0.01382593
 -0.00169231]",0
Approach Motivation,Persistence,Steadfast,Persist,Persistence,"[ 0.01897806 -0.01481809  0.01534884 ... -0.03634951 -0.02329581
  0.02217693]",2
Approach Motivation,Persistence,Unyielding,Endure,Endurance,"[ 0.0294899  -0.00111516  0.01505693 ... -0.01849618 -0.02420103
  0.01978869]",2
