Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Sadness,Despondent,Down,Suffer,Sadness,"[ 0.02581409 -0.03069934  0.00674844 ...  0.04119151  0.0009741
  0.02251099]",2
Sadness,Despondent,Unhappy,Mourn,Gloom,"[ 0.01916076 -0.00013373  0.00324082 ...  0.02949892  0.01069674
  0.02882234]",2
Sadness,Despondent,Low,Grieve,Melancholy,"[-0.0002311   0.00341456  0.00552626 ...  0.03100063  0.02331076
  0.03094704]",2
Sadness,Despondent,Blue,Feel down,Dolor,"[ 0.05087953 -0.00455012 -0.02550372 ...  0.02017019  0.01337858
  0.01983764]",2
Sadness,Despondent,Gloomy,Despair,Despondency,"[ 0.01569245 -0.02772881  0.00459066 ...  0.03853278  0.02040293
  0.01537751]",2
Sadness,Despondent,Miserable,Weep,Misery,"[ 0.02730702 -0.01762875 -0.02233965 ...  0.02081434  0.00707985
  0.01692684]",2
Sadness,Mournful,Sorrowful,Mourn,Mourning,"[ 2.86879037e-02  1.77462175e-02 -4.30333457e-05 ...  2.17472818e-02
  4.31747502e-03  1.40445530e-02]",2
Sadness,Mournful,Grieving,Weep,Sorrow,"[ 0.04031415  0.0043512  -0.01106149 ...  0.00688067  0.01702473
  0.01906927]",2
Sadness,Mournful,Wistful,Lament,Lamentation,"[ 0.0347021  -0.00130019  0.00268505 ...  0.02590934  0.00780276
  0.00226332]",2
Sadness,Mournful,Elegiac,Bemoan,Grief,"[ 0.04607242  0.00202507 -0.0050716  ...  0.0341133   0.02679775
  0.00940386]",2
Sadness,Mournful,Aching,Wail,Wistfulness,"[ 0.02088693  0.00132485 -0.00603377 ...  0.02501065  0.00110154
  0.0038907 ]",2
Sadness,Mournful,Distressed,Sigh,Distress,"[ 0.05177722  0.00795528 -0.00631603 ...  0.0322827  -0.02025475
  0.0080571 ]",2
Sadness,Somber,Dark,Reflect,Somberness,"[ 0.01286885 -0.01841589 -0.03538413 ...  0.0382516  -0.0024986
  0.01248606]",2
Sadness,Somber,Grave,Brood,Gravity,[0.03274381 0.00172896 0.01776008 ... 0.02720541 0.01986381 0.00862244],2
Sadness,Somber,Serious,Meditate,Seriousness,"[ 0.01852249 -0.00650348 -0.02180621 ...  0.02456397  0.00600239
  0.0028164 ]",2
Sadness,Somber,Bleak,Contemplate,Bleakness,"[ 0.02914044 -0.02372534 -0.02301777 ...  0.01164607 -0.00060604
  0.02857727]",2
Sadness,Somber,Dreary,Dwell,Dreariness,"[ 0.00473174 -0.0097292  -0.00317494 ...  0.01106458  0.00576394
  0.02084829]",2
Sadness,Somber,Overcast,Ruminate,Gloom,"[ 0.00847551 -0.00544652 -0.01299956 ...  0.01590484  0.00213832
  0.01811031]",2
Sadness,Tearful,Weepy,Cry,Tears,"[ 0.02248616 -0.00923807 -0.01449351 ...  0.00398948  0.01315228
 -0.01536942]",2
Sadness,Tearful,Sobbing,Sob,Weeping,"[ 0.01996055 -0.00126644 -0.02040045 ...  0.0083925   0.02517064
  0.0011977 ]",2
Sadness,Tearful,Teary,Weep,Sobbing,"[ 0.0179388  -0.01084857 -0.0404356  ...  0.00846962  0.0218171
  0.00583744]",2
Sadness,Tearful,Emotional,Whimper,Whimpering,"[ 0.02830814 -0.00507277 -0.04549715 ... -0.00424018  0.01015897
 -0.00773505]",2
Sadness,Tearful,Sniffling,Sniffle,Sniffling,"[-0.01176694  0.00090029 -0.04852948 ... -0.04823713  0.01225196
  0.01490966]",2
Sadness,Tearful,Forlorn,Wail,Lamentation,"[ 0.01740373 -0.00851298 -0.0110291  ...  0.03728984  0.00721782
 -0.0183616 ]",2
Sadness,Hopeless,Despairing,Despair,Hopelessness,"[ 0.0258326  -0.03765007  0.0297994  ...  0.02541795 -0.01261222
  0.00961984]",2
Sadness,Hopeless,Defeated,Yield,Despair,"[ 0.03509273 -0.02913769  0.0110842  ...  0.03975824  0.00614702
 -0.002081  ]",2
Sadness,Hopeless,Forlorn,Mope,Defeat,"[ 0.0471641  -0.01508107  0.00212014 ...  0.03642888 -0.00116906
  0.01509469]",2
Sadness,Hopeless,Bleak,Collapse,Futility,"[ 0.0068052  -0.00408818  0.02700371 ...  0.03279229 -0.01939173
  0.00850197]",2
Sadness,Hopeless,Futile,Succumb,Gloom,"[ 0.01870109 -0.02265429  0.034368   ...  0.03722714 -0.00985381
  0.03168391]",2
Sadness,Hopeless,Inconsolable,Submit,Dejection,"[ 0.02850307 -0.0523207  -0.00320904 ...  0.02486349  0.0164548
  0.02784766]",2
Sadness,Low-Spirited,Downcast,Droop,Low spirits,"[ 0.00828615 -0.00638192  0.00198012 ...  0.00960393 -0.00687178
  0.02407882]",2
