Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Achievers,Competitive,Aggressive,Compete,Competitiveness,"[ 0.05635643 -0.01464506  0.036342   ... -0.01669332 -0.00135606
  0.00686899]",2
Achievers,Competitive,Ambitious,Strive,Ambition,"[ 0.04235815 -0.00811678  0.02838778 ... -0.00783738 -0.01378177
 -0.00390821]",2
Achievers,Competitive,Driven,Surpass,Drive,"[ 0.04166618 -0.01535818  0.01470404 ... -0.00878829 -0.01906974
  0.0027499 ]",2
Achievers,Competitive,Determined,Challenge,Determination,"[ 0.04185632 -0.01366992  0.03763738 ... -0.02739535 -0.01823581
  0.00759132]",2
Achievers,Goal-Oriented,Purposeful,Achieve,Goal,"[ 0.01777302  0.02090356  0.00234635 ... -0.00836891 -0.01724918
 -0.00418757]",2
Achievers,Goal-Oriented,Aimed,Target,Purpose,"[ 0.03034765  0.01019553  0.04088834 ...  0.0038532  -0.03353375
 -0.01138369]",2
Achievers,Goal-Oriented,Targeted,Aim,Target,"[ 0.03126162  0.01545787  0.0529186  ...  0.00584326 -0.02651251
 -0.01167322]",2
Achievers,Goal-Oriented,Directed,Direct,Direction,"[ 0.00777026  0.02357733  0.03483953 ... -0.01732647 -0.02093837
 -0.00598096]",2
Achievers,Skillful,Talented,Master,Skill,"[ 0.04976015  0.00947021  0.02086493 ... -0.04591115 -0.02115568
 -0.01003787]",2
Achievers,Skillful,Proficient,Perfect,Proficiency,"[ 0.03671129  0.00364424  0.03646306 ... -0.03974529 -0.02685082
 -0.01128783]",2
Achievers,Skillful,Adept,Refine,Mastery,"[ 0.02523889  0.03273283  0.02249649 ... -0.04302783 -0.03358341
 -0.01004569]",2
Achievers,Skillful,Accomplished,Improve,Accomplishment,"[ 0.05707821 -0.0029805   0.00496475 ... -0.04087536 -0.02087169
  0.00603661]",2
Achievers,Persistent,Determined,Persist,Persistence,"[ 0.03746486 -0.00377682  0.07048132 ... -0.03838921 -0.01205982
  0.01324413]",2
Achievers,Persistent,Tenacious,Endure,Determination,"[ 0.04704525  0.01682953  0.06123349 ... -0.03860974 -0.00726007
  0.00788236]",2
Achievers,Persistent,Resolute,Persevere,Tenacity,"[ 0.02888623  0.02217213  0.06495497 ... -0.02428714 -0.00779999
  0.00448198]",2
Achievers,Persistent,Unyielding,Struggle,Resolution,"[ 0.0115385   0.02658107  0.07342416 ... -0.01914776 -0.01204432
  0.00372032]",2
Explorers,Curious,Inquisitive,Explore,Curiosity,"[ 0.02155379 -0.03489399 -0.00802755 ... -0.03671311 -0.04272171
 -0.01032212]",0
Explorers,Curious,Interested,Investigate,Inquisitiveness,"[ 0.00738057 -0.02812055  0.00104236 ... -0.02809194 -0.03198247
 -0.00267653]",0
Explorers,Curious,Eager,Question,Interest,"[ 0.01781252 -0.02598515  0.00362963 ... -0.02062966 -0.02927181
 -0.00181573]",0
Explorers,Curious,Inquiring,Seek,Inquiry,"[ 0.00815582 -0.03982209  0.01086966 ... -0.03196623 -0.05007757
 -0.01224801]",0
Explorers,Adventurous,Daring,Adventure,Adventure,"[ 0.03271304 -0.00254581  0.04012623 ... -0.00835633 -0.02891411
  0.00024671]",0
Explorers,Adventurous,Bold,Dare,Daring,"[ 0.04011101 -0.01519437  0.02231341 ... -0.01713351 -0.03147785
 -0.00516994]",0
Explorers,Adventurous,Brave,Explore,Bravery,"[ 0.02788761 -0.00293742  0.03881935 ... -0.01889035 -0.02501835
 -0.003447  ]",0
Explorers,Adventurous,Fearless,Risk,Fearlessness,"[ 0.0308067  -0.01495148  0.04624992 ... -0.00750232 -0.01616089
  0.01069197]",0
Explorers,Innovative,Inventive,Innovate,Innovation,"[ 0.00890817 -0.00890146  0.02193503 ... -0.0353912  -0.03724259
  0.01183284]",0
Explorers,Innovative,Creative,Invent,Invention,"[ 0.0307585  -0.01044433  0.02185764 ... -0.03142295 -0.03684929
  0.01086653]",0
Explorers,Innovative,Original,Create,Creativity,"[ 0.04760458 -0.01393467  0.04101728 ... -0.04419092 -0.03178972
 -0.0003167 ]",0
Explorers,Innovative,Resourceful,Experiment,Resourcefulness,"[ 0.00926458 -0.0088794   0.04359961 ... -0.05284392 -0.03684208
  0.01465033]",0
Explorers,Analytical,Logical,Analyze,Analysis,"[ 0.00519239  0.00668999  0.02407039 ... -0.01913949 -0.0184603
  0.02100046]",0
Explorers,Analytical,Systematic,Examine,Logic,"[-0.00994985  0.0082065   0.01773115 ... -0.01686656 -0.02596599
  0.00058377]",0
Explorers,Analytical,Rational,Dissect,System,"[-0.01017994  0.01584323  0.04334866 ... -0.00883054 -0.01070432
  0.00291205]",0
Explorers,Analytical,Objective,Interpret,Objectivity,"[ 0.00642283  0.00455053  0.0240161  ... -0.01468276 -0.00489191
  0.00321493]",0
Socializers,Friendly,Amiable,Greet,Friendship,"[-0.00093002 -0.04298477 -0.03180131 ... -0.00846047  0.00062774
  0.03103278]",3
Socializers,Friendly,Affable,Welcome,Amiability,"[ 0.00598    -0.0335958  -0.0381074  ... -0.0082358  -0.00021436
  0.00938498]",3
Socializers,Friendly,Cordial,Socialize,Affability,"[ 0.01480861 -0.03098712 -0.065262   ... -0.02912406  0.00168155
  0.03060355]",3
Socializers,Friendly,Kind,Befriend,Kindness,"[-0.00260873 -0.02209824 -0.01849225 ... -0.01954895 -0.00091471
  0.02993103]",3
Socializers,Communicative,Talkative,Talk,Communication,"[ 0.04600102 -0.01776302 -0.04439519 ... -0.01256876 -0.00317153
  0.0349084 ]",3
Socializers,Communicative,Chatty,Chat,Conversation,"[ 0.02765936 -0.03974713 -0.03673838 ... -0.035973   -0.00871613
  0.02562713]",3
Socializers,Communicative,Garrulous,Converse,Talk,"[ 0.00128372 -0.02390647 -0.04616329 ... -0.02093168  0.00857956
  0.03683327]",3
Socializers,Communicative,Verbose,Communicate,Chat,"[ 0.02282012 -0.01047974 -0.04150854 ... -0.02425664 -0.00482944
  0.01372901]",3
Socializers,Empathetic,Compassionate,Empathize,Empathy,"[ 0.02732112 -0.02760464 -0.01186278 ... -0.03196055  0.00908556
 -0.01172746]",3
Socializers,Empathetic,Sympathetic,Understand,Compassion,"[ 0.00360603 -0.02146973 -0.01195352 ... -0.01651517 -0.00121533
  0.0011787 ]",3
Socializers,Empathetic,Understanding,Care,Sympathy,"[ 0.02874551 -0.01307475 -0.0302869  ... -0.00897114  0.00523598
 -0.00671653]",3
Socializers,Empathetic,Caring,Sympathize,Understanding,"[ 0.01732272 -0.01983267 -0.02973529 ... -0.02199972  0.0005782
  0.00167158]",3
Socializers,Cooperative,Collaborative,Collaborate,Cooperation,"[ 0.00691261 -0.00697379  0.00912846 ... -0.02903706 -0.0136689
  0.0071709 ]",3
Socializers,Cooperative,Team,Cooperate,Collaboration,"[ 0.00892978 -0.00646767  0.00847721 ... -0.00853125 -0.00671085
  0.01429305]",3
Socializers,Cooperative,Joint,Unite,Teamwork,"[-0.01370125  0.0016668   0.00142868 ...  0.00057059 -0.00190667
  0.02438286]",3
