Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Experiential System,Intuitive,Innate,Sense,Instinct,"[-0.0137221   0.03162177 -0.03255011 ... -0.04418344 -0.01849438
  0.0096896 ]",2
Experiential System,Intuitive,Instinctual,React,Spontaneity,"[-0.02392917  0.03323495 -0.03299862 ... -0.03958653 -0.00859678
  0.0070495 ]",2
Experiential System,Intuitive,Spontaneous,Perform instinctively,Nature,"[-0.01243533  0.03017192 -0.00403801 ... -0.04702497 -0.01204102
 -0.00627243]",2
Experiential System,Intuitive,Natural,Occur naturally,Intuition,"[-0.03565956  0.03127682 -0.02665218 ... -0.04334358 -0.01619337
  0.01575225]",2
Experiential System,Intuitive,Automatic,Respond unconsciously,Automation,"[-0.04549095  0.03733209 -0.01536185 ... -0.03546548 -0.00812876
  0.01378879]",2
Experiential System,Intuitive,Perceptive,Discern,Perception,"[-0.00952442  0.0047515  -0.02091945 ... -0.04349532  0.00176976
  0.00195272]",0
Experiential System,Emotional,Passionate,Feel deeply,Passion,"[-9.73685738e-03  8.77764614e-05 -2.15960350e-02 ... -2.48942338e-02
  3.62264155e-03 -1.68925151e-02]",0
Experiential System,Emotional,Sentimental,Cherish,Sentimentality,"[ 0.03032208 -0.01383203 -0.048646   ... -0.02874806  0.02224411
 -0.02539214]",0
Experiential System,Emotional,Excitable,Stimulate,Excitability,"[-0.0325029  -0.00824129 -0.05997868 ... -0.02494778 -0.0211341
  0.00324487]",0
Experiential System,Emotional,Impassioned,Arouse,Fervor,"[-0.02235308  0.00222613 -0.06129121 ...  0.00419598 -0.01241583
 -0.02461746]",0
Experiential System,Emotional,Aroused,Emote,Arousal,"[-0.01745691 -0.00614143 -0.06642713 ... -0.00880174  0.00501282
 -0.01236348]",0
Experiential System,Emotional,Expressive,Express,Expression,"[-0.01970405  0.00146714 -0.03488978 ... -0.02476097  0.00570026
  0.0034224 ]",0
Experiential System,Impulsive,Rash,Act rashly,Impulsiveness,"[-0.00083717  0.020349   -0.0091749  ... -0.017493   -0.03864168
  0.00854658]",2
Experiential System,Impulsive,Hasty,Decide hastily,Haste,"[-0.01812281  0.01512724 -0.03337705 ... -0.03239097 -0.02406912
  0.00321407]",2
Experiential System,Impulsive,Reckless,Risk,Recklessness,"[ 0.02911391  0.0268382  -0.00588271 ... -0.03862638 -0.01919182
  0.03568313]",2
Experiential System,Impulsive,Precipitate,Hasten,Precipitation,"[-0.02540752  0.00297583 -0.01963813 ... -0.04346066 -0.00609432
  0.00686701]",2
Experiential System,Impulsive,Spur-of-the-moment,Leap,Spontaneity,"[-0.02295062  0.01538597 -0.0365096  ... -0.0432438  -0.02107833
  0.01327965]",2
Experiential System,Impulsive,Unrestrained,React impetuously,Impetuosity,"[-0.01113787  0.02175597 -0.04119527 ... -0.030295   -0.01547421
  0.0195878 ]",2
Experiential System,Automatic,Involuntary,Respond automatically,Automation,"[-0.05815887  0.03760246 -0.00653358 ... -0.01334977 -0.01046413
  0.01208544]",2
Experiential System,Automatic,Unconscious,Operate unconsciously,Unconsciousness,"[-0.03830879  0.04313621 -0.03373545 ... -0.01510332 -0.00454511
  0.02261263]",2
Experiential System,Automatic,Instinctive,Behave instinctively,Instinct,"[-0.01464773  0.03119208 -0.02147556 ... -0.02901826 -0.01596078
  0.01491034]",2
Experiential System,Automatic,Immediate,Act immediately,Immediacy,"[-0.05143801  0.02688669 -0.02083868 ... -0.02263512  0.0057224
  0.01304663]",2
Experiential System,Automatic,Reflexive,React reflexively,Reflex,"[-0.04829081  0.04441737 -0.01005116 ... -0.00473225 -0.00636503
 -0.00158331]",2
Experiential System,Automatic,Unthinking,Move without thought,Habit,"[-0.02821764  0.03401539 -0.04404008 ... -0.04226934 -0.00869663
  0.0279606 ]",2
Experiential System,Holistic,Comprehensive,Integrate,Holism,"[-0.01711285  0.01236246  0.01347136 ... -0.03099201 -0.01418678
  0.00608107]",0
Experiential System,Holistic,Big-picture,Synthesize,Synthesis,"[-0.00484209  0.0012466  -0.01459843 ... -0.02232701 -0.01050683
  0.01727565]",0
Experiential System,Holistic,All-encompassing,Encompass,Integration,"[-0.00635862  0.00302322  0.0097317  ... -0.0368312  -0.00319905
  0.00495197]",0
Experiential System,Holistic,Integrated,Unify,Wholeness,"[-0.02135414  0.01983387 -0.00297015 ... -0.02497181 -0.0086782
  0.0113809 ]",0
Experiential System,Holistic,Wholistic,Perceive wholly,Unification,"[-0.02293612 -0.01723797 -0.0164055  ... -0.03123216 -0.00902087
  0.00816687]",0
Experiential System,Holistic,Interconnected,Connect,Interconnection,"[-0.03378507 -0.01225953 -0.00502092 ... -0.04368053 -0.01803432
  0.01952742]",0
Experiential System,Experiential,First-hand,Experience,Experience,"[-0.03259519  0.01398244 -0.02655748 ... -0.01901386 -0.01128728
  0.00783213]",0
Experiential System,Experiential,Sensory,Feel,Sensation,"[ 0.00458294 -0.00161546 -0.06761181 ... -0.02271826  0.0007604
 -0.01500262]",0
Experiential System,Experiential,Practical,Engage,Engagement,"[-0.02423731  0.02801966 -0.01205814 ... -0.04287674 -0.00876749
  0.01212622]",0
Experiential System,Experiential,Felt,Undergo,Participation,"[-0.01469378  0.01268393 -0.02708414 ... -0.02593995  0.00103786
 -0.00232037]",0
Experiential System,Experiential,Subjective,Sense,Feeling,"[-0.00841976 -0.00741601 -0.04056193 ... -0.02453129 -0.00606664
 -0.00573573]",0
