Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Valence,Positive,Happy,Smile,Happiness,"[-0.00572826 -0.01943918 -0.01209199 ...  0.00236181 -0.0047206
  0.0094533 ]",0
Valence,Positive,Joyful,Laugh,Joy,"[ 0.00671668 -0.01380816 -0.02464428 ... -0.01209858  0.00895558
  0.01617527]",0
Valence,Positive,Content,Rejoice,Contentment,"[ 0.02674303 -0.00454865 -0.01417422 ...  0.00866507  0.00130696
  0.01521704]",0
Valence,Positive,Elated,Celebrate,Elation,"[ 0.00701753 -0.03031463 -0.04107754 ...  0.0076057  -0.00456342
  0.01847002]",0
Valence,Positive,Pleased,Bask,Pleasure,"[ 0.00411524 -0.02834375 -0.01143266 ...  0.0004915   0.01020452
  0.00232447]",0
Valence,Positive,Cheerful,Savor,Cheerfulness,"[ 0.0322868  -0.0360558  -0.02783254 ...  0.00163164  0.00976511
  0.01660464]",0
Valence,Negative,Sad,Cry,Sadness,"[-0.00242203 -0.00619242 -0.00705802 ...  0.01414268 -0.00944177
  0.01245142]",0
Valence,Negative,Angry,Frown,Anger,"[-0.0213571  -0.00501081 -0.00653248 ...  0.01433191 -0.01407718
  0.02922691]",0
Valence,Negative,Anxious,Yell,Anxiety,"[-0.04194329  0.0083956   0.00361448 ...  0.00590956 -0.00847199
  0.00940946]",0
Valence,Negative,Disgusted,Brood,Disgust,"[-0.00619853  0.03176146 -0.01021328 ...  0.02301146 -0.00274459
  0.01382321]",0
Valence,Negative,Miserable,Lament,Misery,"[ 0.00257035  0.00420637 -0.00474499 ...  0.01878942 -0.0232596
  0.016078  ]",0
Valence,Negative,Frustrated,Complain,Frustration,"[-0.02287863  0.01402566 -0.00276022 ... -0.00053067 -0.02079217
  0.029167  ]",0
Valence,Neutral,Calm,Maintain,Calmness,"[ 0.03162529  0.01304543 -0.01574676 ... -0.00900662  0.00181845
  0.00761642]",0
Valence,Neutral,Serene,Observe,Serenity,"[ 0.01571445 -0.00979296 -0.0329432  ... -0.01212155 -0.00762865
  0.01841448]",0
Valence,Neutral,Relaxed,Remain,Relaxation,"[ 0.00360824  0.0340875  -0.0172178  ... -0.02055158 -0.00394965
  0.01894494]",0
Valence,Neutral,Indifferent,Regulate,Indifference,"[-0.0143407   0.0219855  -0.00928203 ... -0.00544292 -0.00317754
  0.0313544 ]",0
Valence,Neutral,Unmoved,Balance,Equanimity,"[ 0.00998901  0.02081398  0.01390669 ... -0.01361623  0.00581275
  0.0173993 ]",0
Valence,Neutral,Detached,Monitor,Detachment,"[-0.03296157  0.04236726  0.02802288 ... -0.03174077  0.00076603
 -0.0089479 ]",0
Arousal,High,Energetic,Energize,Energy,"[ 0.00754622  0.00238502 -0.06966556 ...  0.00671435 -0.00059914
 -0.01769368]",1
Arousal,High,Enthusiastic,Excite,Enthusiasm,"[ 0.02197319 -0.01796081 -0.06685489 ...  0.01515486 -0.00249757
 -0.02308473]",1
Arousal,High,Agitated,Stimulate,Agitation,"[ 0.00336229 -0.00872562 -0.0546951  ...  0.00622092 -0.02817791
 -0.0154366 ]",1
Arousal,High,Intense,Heighten,Intensity,"[-0.01616177 -0.00452273 -0.05102156 ...  0.00505561 -0.0155412
 -0.0282224 ]",1
Arousal,High,Thrilled,Mobilize,Thrill,"[ 0.02819948  0.04315442 -0.07935034 ...  0.01394625 -0.02033462
 -0.0261821 ]",1
Arousal,High,Stimulated,Revitalize,Stimulation,"[ 0.01158007  0.0027846  -0.0402197  ... -0.00331081 -0.01848119
 -0.00908877]",1
Arousal,Low,Calm,Relax,Calmness,"[ 0.02367007 -0.00634623 -0.03783054 ...  0.00391037  0.00414096
 -0.00303833]",1
Arousal,Low,Relaxed,Soothe,Relaxation,"[ 0.00416076 -0.01710757 -0.03671027 ... -0.00836134 -0.0123363
 -0.00368629]",1
Arousal,Low,Tranquil,Unwind,Tranquility,"[ 0.00396588 -0.00203216 -0.04396222 ... -0.0037479   0.00153994
 -0.00443701]",1
Arousal,Low,Drowsy,Rest,Drowsiness,"[-0.00349851 -0.0033652  -0.03977116 ...  0.00610939 -0.02417743
  0.00286123]",1
Arousal,Low,Peaceful,Lull,Peace,"[ 0.01574626 -0.0192138  -0.02409164 ...  0.01870919 -0.00753673
 -0.0073103 ]",1
Arousal,Low,Lethargic,Decompress,Lethargy,"[ 0.00919436  0.01699542 -0.05579026 ... -0.00108308 -0.03410695
 -0.00432142]",1
Arousal,Moderate,Alert,Concentrate,Alertness,"[ 0.0098263   0.01707856 -0.01430023 ... -0.00772893 -0.01720114
 -0.00729312]",1
Arousal,Moderate,Attentive,Attend,Attention,"[ 0.02034378  0.02351441 -0.02471191 ... -0.00175542  0.01479176
 -0.0269436 ]",1
Arousal,Moderate,Engaged,Engage,Engagement,"[ 0.011472    0.01627121 -0.0178133  ... -0.01544972 -0.00889224
 -0.00123043]",1
Arousal,Moderate,Focused,Monitor,Focus,"[-0.00395982  0.01406779 -0.00675601 ... -0.02000753 -0.01125423
 -0.0043697 ]",1
Arousal,Moderate,Responsive,Track,Awareness,"[ 0.01579288  0.0188272  -0.02116795 ... -0.00989042 -0.01780131
 -0.02651413]",1
Arousal,Moderate,Aware,Notice,Responsiveness,"[ 0.00351183  0.00834695 -0.03002186 ... -0.01203861 -0.01689748
 -0.00821122]",1
