Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Novelty Seeking,Exploratory,Curious,Explore,Exploration,"[ 0.02454115 -0.01428436 -0.00431311 ... -0.03029697 -0.04099709
  0.00586854]",2
Novelty Seeking,Exploratory,Inquisitive,Investigate,Curiosity,"[ 0.01864067 -0.01309456 -0.01104899 ... -0.02183868 -0.03030909
  0.00352934]",2
Novelty Seeking,Exploratory,Adventurous,Venture,Adventure,"[ 0.01000322  0.0024915  -0.00053217 ... -0.01039769 -0.02535042
  0.01650829]",2
Novelty Seeking,Exploratory,Experimental,Experiment,Experimentation,"[ 0.01009171 -0.00965679  0.00515274 ... -0.03747718 -0.02322052
  0.00288414]",2
Novelty Seeking,Impulsive,Spontaneous,Act impulsively,Impulsiveness,"[ 0.02409251  0.00431242 -0.00503234 ... -0.02527575 -0.04025873
  0.01492595]",2
Novelty Seeking,Impulsive,Impetuous,React spontaneously,Spontaneity,"[ 0.02674956  0.00870363 -0.01679831 ... -0.01898164 -0.02787836
  0.00549547]",2
Novelty Seeking,Impulsive,Hasty,Make rash decisions,Hastiness,"[ 0.00541774  0.00780693  0.00091791 ... -0.01432766 -0.03134737
 -0.00794153]",2
Novelty Seeking,Extravagant,Dramatic,Exaggerate,Extravagance,"[ 0.0184588   0.00539271 -0.02619319 ... -0.01604848 -0.01054897
 -0.01114393]",2
Novelty Seeking,Extravagant,Theatrical,Embellish,Drama,"[ 0.01513484  0.01202391 -0.03826063 ... -0.01293096 -0.02436267
 -0.02023976]",2
Novelty Seeking,Extravagant,Flamboyant,Flaunt,Flamboyance,"[ 0.0463631  -0.00045602 -0.03250571 ... -0.02008865  0.00319902
 -0.00405942]",2
Novelty Seeking,Extravagant,Showy,Show off,Showiness,"[ 0.04086849 -0.00971873 -0.02699127 ... -0.00379638  0.00270808
 -0.00759276]",2
Novelty Seeking,Disorderly,Chaotic,Disorganize,Disorder,"[ 0.03477029 -0.00221512 -0.02947385 ... -0.00500643 -0.03580821
 -0.00042165]",2
Novelty Seeking,Disorderly,Unruly,Clutter,Chaos,"[ 0.01368649  0.01252251 -0.01221784 ...  0.00158387 -0.02882599
 -0.01223347]",2
Novelty Seeking,Disorderly,Untidy,Disrupt,Untidiness,"[ 0.01165452  0.02233719 -0.01995314 ...  0.00283011 -0.01892056
 -0.00797215]",2
Novelty Seeking,Disorderly,Unorganized,Mess up,Disorganization,"[ 0.02333184 -0.00241845 -0.02804046 ... -0.00016896 -0.03631074
  0.00022897]",2
Novelty Seeking,Easily Bored,Restless,Fidget,Restlessness,"[ 0.02964994 -0.00843542 -0.00478262 ...  0.00792395 -0.02047403
  0.01763423]",2
Novelty Seeking,Easily Bored,Fidgety,Rest,Fidgetiness,"[ 0.02775835 -0.00681066 -0.01441766 ...  0.00160786 -0.01433423
  0.02452746]",2
