Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Executing,Achiever,Ambitious,Strive,Ambition,"[ 0.04571199 -0.0038661   0.0226241  ... -0.00757277 -0.01073232
  0.01755143]",4
Executing,Achiever,Motivated,Motivate,Motivation,"[ 0.04397438 -0.00599748 -0.01404027 ... -0.0180954  -0.02721412
  0.01175349]",4
Executing,Achiever,Determined,Resolve,Determination,"[ 0.04133904  0.00384057  0.03505642 ... -0.0107579  -0.0191921
  0.02448499]",4
Executing,Achiever,Productive,Produce,Productivity,"[ 0.05429932  0.01019518  0.03636818 ... -0.00620072 -0.01195878
  0.02190803]",4
Executing,Arranger,Organized,Arrange,Arrangement,"[-0.00563191 -0.02757136  0.00911693 ... -0.03167398 -0.0376441
  0.0012159 ]",4
Executing,Arranger,Flexible,Adapt,Adaptability,"[ 0.00712178  0.0236036   0.04908546 ... -0.04085238 -0.02477752
 -0.00806874]",4
Executing,Arranger,Adaptive,Streamline,Efficiency,"[ 0.00966487  0.02486586  0.00884845 ... -0.03915713 -0.01713707
  0.00486743]",4
Executing,Arranger,Efficient,Optimize,Coordination,"[-0.0022772  -0.01123709  0.01682294 ... -0.03306479 -0.02372355
  0.02668718]",4
Executing,Belief,Principled,Value,Principle,"[ 0.02274568  0.01109478 -0.01200544 ...  0.00557519  0.0069968
  0.00606181]",4
Executing,Belief,Ethical,Uphold,Ethics,"[ 0.02954492 -0.00863847 -0.01256931 ... -0.01258271 -0.02235289
 -0.00141547]",4
Executing,Belief,Faithful,Commit,Faithfulness,"[ 0.01261038  0.02459128  0.02056268 ...  0.00824605 -0.01825462
  0.00812715]",4
Executing,Belief,Values-driven,Believe,Values,"[ 0.01615046  0.01262684 -0.00226287 ... -0.00967864  0.00267019
 -0.00685328]",4
Executing,Consistency,Fair,Equalize,Fairness,"[ 0.05608157 -0.01266877  0.02950201 ... -0.00867964 -0.01154363
 -0.0159419 ]",2
Executing,Consistency,Unbiased,Stabilize,Equity,"[ 0.05768926  0.00338827  0.04207172 ... -0.00816371 -0.01608113
 -0.00805505]",2
Executing,Consistency,Predictable,Regulate,Consistency,"[ 0.04015941  0.01203661  0.04284978 ... -0.04357842 -0.0161002
  0.00131278]",2
Executing,Consistency,Equitable,Harmonize,Standardization,"[ 0.04376992 -0.00062024  0.04333339 ... -0.01559885 -0.00964743
 -0.01313971]",2
Executing,Deliberative,Cautious,Deliberate,Cautiousness,"[ 7.33113363e-02  8.57145526e-03  1.76969003e-02 ... -3.91793996e-02
  3.18892853e-05 -1.83739997e-02]",2
Executing,Deliberative,Meticulous,Analyze,Meticulousness,"[ 0.0557887   0.03649586 -0.00152666 ... -0.0278792   0.01063832
 -0.0123041 ]",2
Executing,Deliberative,Analytical,Reflect,Analysis,"[ 0.03072524  0.03979937  0.0140868  ... -0.00982151  0.01618548
 -0.00149946]",2
Executing,Deliberative,Prudent,Evaluate,Prudence,"[ 0.03803838  0.01237997  0.02711347 ... -0.02274033  0.00845209
 -0.01009003]",2
Executing,Discipline,Controlled,Organize,Discipline,"[ 0.03281688  0.02828567  0.02308166 ... -0.00675561 -0.00845824
 -0.01207634]",4
Executing,Discipline,Organized,Control,Control,"[ 0.02891295  0.03845837  0.02943864 ... -0.01221538 -0.00578605
 -0.00743575]",4
Executing,Discipline,Focused,Focus,Focus,"[-0.00049255  0.01896438  0.05708982 ... -0.0008872  -0.00614587
  0.01833224]",4
Executing,Discipline,Systematic,Systematize,System,"[-0.01484221  0.03258741  0.02016435 ...  0.00192465 -0.0083105
 -0.00949162]",2
Executing,Focus,Concentrated,Concentrate,Concentration,"[ 0.01887941 -0.0060354   0.02554877 ... -0.02223607 -0.01709114
  0.02291034]",4
Executing,Focus,Determined,Determine,Determination,"[ 0.00169874 -0.01934464  0.00492838 ... -0.00943623 -0.02415497
  0.03854172]",4
Executing,Focus,Centered,Focus,Focus,"[-0.00875299  0.00498513  0.04818368 ... -0.03788273 -0.01028688
  0.02223429]",4
Executing,Focus,Selective,Prioritize,Priority,"[ 0.00717745  0.01199306  0.06946922 ... -0.00182265 -0.0079058
  0.00748152]",4
Executing,Responsibility,Accountable,Commit,Responsibility,"[ 0.0531195   0.03615872  0.04937356 ... -0.01118579  0.00240462
 -0.01247996]",4
Executing,Responsibility,Dependable,Uphold,Dependability,"[ 0.02214745  0.03781935  0.01856957 ... -0.0179982  -0.01920897
 -0.00497569]",4
Executing,Responsibility,Obliged,Answer,Obligation,[0.01176832 0.02502105 0.01614132 ... 0.00288023 0.01144736 0.01270443],4
Executing,Responsibility,Reliable,Ensure,Reliability,"[ 0.03990287  0.04353544  0.00077903 ... -0.0226412  -0.01276947
 -0.00884574]",4
Executing,Restorative,Problem-solving,Restore,Restoration,"[ 0.03925325  0.03910999  0.04561399 ... -0.00934055  0.02979809
  0.0034848 ]",4
Executing,Restorative,Fixing,Repair,Repair,"[ 0.01275084  0.06150838  0.05439775 ... -0.02346799  0.01215829
  0.00801043]",4
Executing,Restorative,Analyzing,Solve,Solution,"[ 0.02887172  0.04167926  0.03014225 ... -0.00902515  0.01386631
  0.01145668]",2
Executing,Restorative,Repairing,Reconstruct,Reconstruction,"[ 0.03581689  0.06697327  0.05673165 ... -0.02443891  0.01459287
 -0.00847954]",4
Influencing,Activator,Energetic,Activate,Energy,"[ 0.00834734  0.01102856 -0.04198111 ... -0.02411618  0.00997681
  0.04654364]",0
Influencing,Activator,Proactive,Provoke,Proactivity,"[ 0.00587179 -0.01956758 -0.00480454 ... -0.0130957  -0.01918778
  0.0248089 ]",0
Influencing,Activator,Spontaneous,Initiate,Spontaneity,"[-0.00810607 -0.01247877 -0.00360314 ... -0.02827259 -0.02620464
  0.02383675]",0
Influencing,Activator,Catalyst,Stimulate,Catalysis,"[ 0.03572167 -0.03077193 -0.03121919 ... -0.0313981  -0.02343676
  0.03446933]",0
Influencing,Command,Authoritative,Command,Authority,"[ 0.0454468   0.00247479  0.02822144 ... -0.03445074  0.00356831
  0.01126691]",0
Influencing,Command,Decisive,Decide,Decision,"[ 0.02511139 -0.02618056  0.01279485 ... -0.0240985   0.00495194
  0.05289571]",0
Influencing,Command,Direct,Direct,Directness,"[ 0.01217926 -0.01271511  0.02062283 ... -0.03133996  0.01037265
  0.03343745]",0
Influencing,Command,Bold,Assert,Boldness,"[ 0.01389919 -0.02496091  0.01109866 ... -0.02395597 -0.008941
  0.03526153]",0
Influencing,Communication,Expressive,Communicate,Expression,"[ 0.03039547 -0.03129209 -0.02003949 ... -0.01685648  0.00199311
  0.03233815]",0
Influencing,Communication,Articulate,Articulate,Articulation,"[ 0.01976301 -0.0266673  -0.01943693 ...  0.005001   -0.00881112
  0.04114221]",0
Influencing,Communication,Charismatic,Influence,Charisma,"[ 0.04517662 -0.03493037 -0.04786755 ... -0.05873478  0.01380397
  0.02972963]",0
Influencing,Communication,Persuasive,Persuade,Persuasion,"[ 0.02247668 -0.04915632 -0.02986448 ... -0.02648384  0.00513622
  0.03874029]",0
Influencing,Competition,Competitive,Compete,Competition,"[ 0.05289173 -0.05745671  0.03674524 ... -0.02248674  0.02402248
  0.03606895]",0
Influencing,Competition,Ambitious,Strive,Ambition,"[ 0.04197567 -0.0386433   0.03573893 ... -0.01653958 -0.00782267
  0.00986719]",0
Influencing,Competition,Driven,Pursue,Drive,"[ 0.02905066 -0.02810956  0.02920494 ... -0.03761312 -0.00806106
  0.02354291]",0
Influencing,Competition,Comparative,Challenge,Comparison,"[ 0.02899956 -0.07706563  0.01848222 ... -0.025094    0.00745362
  0.02315659]",0
Influencing,Maximizer,Optimizing,Maximize,Optimization,"[-0.00575667  0.00041055  0.03747794 ... -0.03851739  0.02939333
  0.03906598]",0
Influencing,Maximizer,Enhancing,Enhance,Enhancement,"[ 0.00890984  0.0002914   0.01834778 ... -0.04918894  0.00377782
  0.02897017]",0
Influencing,Maximizer,Perfecting,Perfect,Perfection,"[ 0.02176332 -0.01545414  0.01721601 ... -0.04557377 -0.00398938
  0.01132633]",0
Influencing,Maximizer,Elevating,Elevate,Elevation,"[-0.01534248 -0.03721789  0.03271032 ... -0.0101268   0.0018607
  0.03246666]",0
Influencing,Self-Assurance,Confident,Assure,Confidence,"[ 0.01899264 -0.07769446  0.02672047 ... -0.01732818 -0.01251315
  0.03105995]",4
Influencing,Self-Assurance,Assured,Confide,Assurance,"[ 0.02106007 -0.07007921  0.00969036 ... -0.01603713 -0.01500833
  0.03482779]",4
Influencing,Self-Assurance,Fearless,Dare,Fearlessness,"[ 0.03553669 -0.04635092  0.02430992 ... -0.01933007  0.00013743
  0.03441696]",4
Influencing,Self-Assurance,Bold,Venture,Boldness,"[ 0.01818847 -0.04611203  0.04278562 ... -0.02444457 -0.01733397
  0.02532957]",4
Influencing,Significance,Prominent,Influence,Prominence,"[ 0.03435534 -0.04124349  0.00154681 ... -0.03552235  0.02982966
  0.03768557]",0
Influencing,Significance,Influential,Impact,Influence,"[ 0.01649623 -0.03853765 -0.01057487 ... -0.02627694  0.02728009
  0.04823476]",0
Influencing,Significance,Prestigious,Distinguish,Prestige,"[ 0.02519392 -0.04151909 -0.00238613 ... -0.02738073  0.02156442
  0.03407785]",0
