Domain,Subcategory,Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Type,Dominance,Assertiveness,Assertive,Decisive,Assert,Assertiveness,"[ 0.03276152 -0.00691679  0.03025656 ...  0.00849998 -0.00947101
  0.03349331]",0
Type,Dominance,Competitive,Confident,Direct,Compete,Competition,"[ 0.05954815 -0.03967879  0.0434249  ... -0.00481    -0.00908057
  0.01497694]",0
Type,Dominance,Adventurous,Impatient,Strong-willed,Explore,Adventure,"[ 0.0469317   0.01157767  0.0466064  ... -0.00912314 -0.04935665
  0.01199908]",2
Type,Dominance,Independent,Dominant,Ambitious,Independently decide,Independence,"[ 0.04467297 -0.03177402  0.05479096 ... -0.00692653 -0.04192159
  0.02248441]",0
Type,Influence,Sociability,Sociable,Enthusiastic,Influence,Sociability,"[ 0.03131032 -0.04407253 -0.06317432 ... -0.01454781  0.01631957
  0.05442626]",2
Type,Influence,Expressive,Persuasive,Energetic,Persuade,Persuasion,"[ 0.00873299 -0.02908994 -0.06637972 ... -0.03015622  0.00645776
  0.02234684]",2
Type,Influence,Enthusiastic,Collaborative,Outgoing,Inspire,Inspiration,"[ 0.01284255 -0.02554474 -0.03565035 ... -0.03142408 -0.02509248
  0.01387962]",2
Type,Influence,Inspirational,Impulsive,Charming,Motivate,Enthusiasm,"[ 0.03266735 -0.01708027 -0.06454238 ... -0.02258069 -0.03446527
  0.02117892]",2
Type,Steadiness,Cooperativeness,Cooperative,Patient,Cooperate,Cooperation,"[ 0.00473061 -0.02534075 -0.00540641 ... -0.02706097 -0.0106249
  0.02567323]",0
Type,Steadiness,Even-tempered,Stable,Supportive,Accommodate,Accommodation,"[ 0.02944431 -0.04736328 -0.01076821 ... -0.03227658 -0.02277027
  0.01884436]",0
Type,Steadiness,Accommodating,Loyal,Accommodating,Listen,Patience,"[ 0.01070683 -0.01617399 -0.0236739  ... -0.03628139 -0.01274692
  0.01099303]",0
Type,Steadiness,Patient,Indecisive,Reliable,Support,Loyalty,"[ 0.0033101  -0.01322466 -0.03143709 ... -0.01977799 -0.0239161
  0.00613244]",0
Type,Conscientiousness,Analytical Nature,Analytical,Detail-oriented,Analyze,Analysis,"[ 0.02348539  0.03480414 -0.00649718 ... -0.02376802  0.00604295
  0.02570607]",0
Type,Conscientiousness,Cautious,Conscientious,Systematic,Organize,Conscientiousness,"[ 4.11300734e-02 -9.04636830e-03  7.56680747e-05 ... -3.09037417e-02
  3.17816884e-04 -1.28601706e-02]",0
Type,Conscientiousness,Precise,Diligent,Precise,Thoroughly review,Diligence,"[ 0.02615813  0.02419811 -0.00570689 ... -0.01756648  0.00252002
 -0.02637919]",0
Type,Conscientiousness,Analytical,Perfectionistic,Thorough,Systematize,Perfectionism,"[ 0.02247471  0.00814656 -0.00237229 ... -0.02711789  0.01006956
  0.00741931]",0
Person,Person ID,Identification,Unique,ID,Identify,Identification,"[ 0.03964784 -0.05230753 -0.03754749 ... -0.00513221  0.00019893
  0.03130396]",2
Person,Name,Identity,Identifiable,Full Name,Recognize,Identity,"[ 0.04813384 -0.02074832 -0.05054479 ... -0.00513035  0.02067741
  0.02678987]",2
Person,Department,Organization,Organized,Division,Organize,Organization,"[-0.00071349 -0.01925613  0.01671776 ... -0.0189013   0.00189695
  0.01790506]",3
Person,Tenure,Experience,Experienced,Seniority,Serve,Experience,"[-0.02536627 -0.00358209  0.02553079 ... -0.01319165  0.00035498
 -0.01899479]",0
Person,Job Level,Hierarchy,Hierarchical,Position Level,Promote,Hierarchy,"[-0.01767927  0.00292934  0.03000346 ... -0.04113902 -0.00847053
 -0.00618086]",3
Workplace Priorities,Priorities,Motivators,Motivated,Goals,Set goals,Priority,"[-0.00295431  0.00265579  0.0403241  ... -0.00446749 -0.01227016
 -0.00546256]",3
Workplace Priorities,Motivators Description,Intrinsic Motivators,Intrinsic,Internal Drives,Drive,Motivation,"[-0.02116605  0.02279421  0.01084622 ... -0.00864882 -0.02827853
  0.00622189]",3
Workplace Priorities,Motivators Description,Extrinsic Motivators,Extrinsic,External Rewards,Reward,Reward,"[-0.03211309 -0.00141979  0.00416408 ... -0.03343759 -0.00099572
  0.00498877]",3
Workplace Priorities,Motivators Description,Personal Motivators,Personal,Personal Goals,Achieve,Achievement,"[ 0.01804611  0.00121056  0.00904394 ... -0.00749832 -0.01877018
 -0.0017014 ]",3
Workplace Priorities,Strategies for Building Relationships,Interpersonal Skills,Collaborative,Interpersonal Skills,Build relationships,Relationship,"[ 0.00887459  0.00769214  0.05088265 ... -0.03691731  0.00272274
  0.01290737]",1
Workplace Priorities,Strategies for Building Relationships,Empathy,Empathetic,Connection Building,Collaborate,Collaboration,"[ 0.01188714 -0.01134624  0.05783208 ... -0.04105772  0.01152442
 -0.00703174]",1
Workplace Priorities,Strategies for Building Relationships,Active Listening,Supportive,Relational Strategies,Support,Support,"[ 0.00241392  0.01572781  0.03660697 ... -0.03075882  0.02012015
  0.01133547]",1
Workplace Priorities,Strategies for Communication,Clarity,Clear,Communication Techniques,Communicate,Clarity,[0.00286098 0.03374235 0.00917232 ... 0.00734891 0.01382601 0.00775411],1
Workplace Priorities,Strategies for Communication,Active Listening,Effective,Interpersonal Communication,Listen,Effectiveness,"[ 0.00043456  0.01370231  0.00013316 ... -0.02493725  0.01510369
  0.0251768 ]",1
Workplace Priorities,Strategies for Communication,Assertiveness,Adaptive,Messaging Approaches,Adapt,Adaptability,"[ 0.03144762  0.01331319  0.05412935 ... -0.0107656  -0.01075191
  0.0095603 ]",1
