Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Machiavellianism,Manipulative,Scheming,Manipulate,Manipulation,"[-0.00425396  0.00335201 -0.01775625 ... -0.05026676 -0.03104316
  0.01136185]",4
Machiavellianism,Manipulative,Calculating,Scheme,Deception,"[ 0.0019548   0.00371272 -0.00593824 ... -0.04010864 -0.02037778
  0.01241793]",4
Machiavellianism,Manipulative,Cunning,Plot,Scheming,"[-0.01040474  0.00262585 -0.01540322 ... -0.04840636 -0.02893858
  0.00632703]",4
Machiavellianism,Manipulative,Deceptive,Deceive,Subterfuge,"[-0.01076635  0.00745157 -0.02780137 ... -0.04135453 -0.03713086
  0.01601252]",4
Machiavellianism,Strategic,Tactical,Strategize,Strategy,"[-0.00268743  0.01307287  0.02411126 ... -0.02778156 -0.03169929
  0.01754046]",2
Machiavellianism,Strategic,Calculative,Calculate,Tactics,"[ 0.00903303  0.01443603  0.03344112 ... -0.03607605 -0.01125449
  0.01838841]",2
Machiavellianism,Strategic,Pragmatic,Plan,Planning,"[-0.00169259  0.0380488   0.02628655 ... -0.03864163 -0.02902164
  0.00061093]",2
Machiavellianism,Strategic,Astute,Orchestrate,Orchestration,"[-0.00702299 -0.01105839  0.007081   ... -0.03622802 -0.03190618
  0.00300933]",2
Machiavellianism,Exploitative,Predatory,Exploit,Exploitation,"[-0.00693342  0.03448969  0.03789609 ... -0.05086875 -0.04433984
  0.01109915]",4
Machiavellianism,Exploitative,Unscrupulous,Take advantage,Advantage-taking,"[-0.00431076  0.0072369   0.03890602 ... -0.0418799  -0.02941142
  0.01585161]",4
Machiavellianism,Exploitative,Opportunistic,Use,Opportunism,"[-0.01670311  0.01982611  0.01986851 ... -0.04824401 -0.05293558
  0.00711154]",4
Machiavellianism,Exploitative,Abusive,Leverage,Abuse,"[-0.02486815  0.04215687  0.02548508 ... -0.04033546 -0.04465397
  0.00763083]",4
Machiavellianism,Duplicitous,Two-faced,Deceive,Duplicity,"[-0.00359318 -0.01879619  0.00567583 ... -0.02868965 -0.0346062
  0.0268198 ]",4
Machiavellianism,Duplicitous,Dishonest,Mislead,Deceit,"[-0.00194812 -0.01343107 -0.01894617 ... -0.02795967 -0.04434035
  0.02856331]",4
Machiavellianism,Duplicitous,Deceitful,Lie,Dishonesty,"[-0.00245895 -0.01109937 -0.01139864 ... -0.0296338  -0.04195018
  0.0339698 ]",4
Machiavellianism,Duplicitous,Insincere,Feign,Insincerity,"[-0.00386034 -0.00221952 -0.02178979 ... -0.02245512 -0.04529836
  0.01699382]",4
Machiavellianism,Cynical,Distrustful,Doubt,Cynicism,"[ 0.0061016   0.02044104 -0.00887203 ... -0.0400543  -0.03062818
  0.00402212]",4
Machiavellianism,Cynical,Skeptical,Question,Distrust,"[ 0.00503514  0.01060065 -0.00087376 ... -0.03350868 -0.02691302
 -0.00209259]",4
Machiavellianism,Cynical,Pessimistic,Suspect,Suspicion,"[ 0.00045864  0.00539885 -0.02144166 ... -0.02699078 -0.04607022
 -0.00490265]",4
Machiavellianism,Cynical,Suspicious,Distrust,Skepticism,"[ 0.00831505  0.01599568 -0.01600918 ... -0.03161341 -0.03552796
 -0.00687072]",4
Machiavellianism,Cold-Hearted,Callous,Ignore,Callousness,"[ 0.0168986   0.00111637 -0.01172065 ... -0.04626712 -0.01889218
  0.02879319]",4
Machiavellianism,Cold-Hearted,Unemotional,Dismiss,Indifference,"[ 0.00626751  0.01146157 -0.02133332 ... -0.03777493 -0.00252569
  0.01158386]",4
Machiavellianism,Cold-Hearted,Detached,Detach,Detachment,"[ 0.0019077   0.01909817  0.00430908 ... -0.0428792  -0.00327589
 -0.01433773]",4
Machiavellianism,Cold-Hearted,Indifferent,Disregard,Coldness,"[ 0.01328385  0.00583279 -0.0122355  ... -0.0427785  -0.00120578
  0.01629523]",4
Narcissism,Grandiose,Pretentious,Boast,Grandiosity,"[ 0.02259261 -0.01272666 -0.00107451 ... -0.00096898  0.02464394
  0.00748668]",0
Narcissism,Grandiose,Self-aggrandizing,Brag,Pretension,"[ 0.01879576 -0.00727976  0.00959667 ... -0.01443613  0.01687642
 -0.01079625]",0
Narcissism,Grandiose,Self-important,Flaunt,Arrogance,"[ 0.03155474 -0.01392846 -0.00022705 ... -0.00755314  0.01974911
 -0.00689575]",0
Narcissism,Grandiose,Arrogant,Exalt,Self-aggrandizement,"[ 0.021986   -0.02120832  0.02934103 ... -0.00603363  0.01880937
 -0.00636645]",0
Narcissism,Entitled,Privileged,Expect,Entitlement,"[ 0.05043486  0.00603301 -0.00471858 ... -0.00459524  0.01908575
 -0.01126256]",0
Narcissism,Entitled,Demanding,Demand,Privilege,"[ 0.04031866  0.00490968  0.0397402  ... -0.00697767  0.00010592
 -0.0214464 ]",0
Narcissism,Entitled,Expectant,Insist,Presumption,"[ 0.04664842 -0.00470524 -0.01345743 ...  0.00234701  0.000936
 -0.00764134]",0
Narcissism,Entitled,Presumptuous,Assert,Expectation,"[ 0.04798318 -0.00971875 -0.00888551 ... -0.00064783  0.017182
 -0.00655818]",0
Narcissism,Attention-Seeking,Exhibitionistic,Show off,Exhibitionism,"[ 0.03294783 -0.01104362  0.00034723 ... -0.00924031  0.0219381
 -0.00145926]",0
Narcissism,Attention-Seeking,Showy,Exhibit,Flamboyance,"[ 0.04187253  0.0136232  -0.02056016 ... -0.00524103  0.02670314
 -0.00885229]",0
Narcissism,Attention-Seeking,Flamboyant,Perform,Theatrics,"[ 0.02628732  0.00832341 -0.01191484 ... -0.01843914  0.02460363
 -0.01985127]",0
Narcissism,Attention-Seeking,Theatrical,Attract attention,Attention-seeking,"[ 0.02064482  0.01034889 -0.00186386 ...  0.01115668  0.0223266
 -0.0230152 ]",0
Narcissism,Self-Admiring,Vain,Admire oneself,Vanity,"[ 0.02502207 -0.03136738  0.03836451 ...  0.00161792  0.01167963
  0.00229968]",0
Narcissism,Self-Admiring,Conceited,Preen,Conceit,"[ 0.04497868 -0.03121735  0.02397524 ... -0.01487242  0.01536772
  0.00216025]",0
Narcissism,Self-Admiring,Self-loving,Praise oneself,Self-admiration,"[ 0.04147139 -0.03465916  0.03127905 ... -0.00843078  0.02155472
 -0.01900664]",0
Narcissism,Self-Admiring,Self-absorbed,Self-exalt,Egotism,"[ 0.02816547 -0.01238404  0.03254919 ...  0.00281175  0.02193235
 -0.00105912]",0
Narcissism,Authoritative,Dominant,Command,Authority,"[ 0.03462612  0.03269935  0.02612318 ... -0.02388923  0.01360611
  0.00371742]",0
Narcissism,Authoritative,Commanding,Control,Dominance,"[ 0.03602607  0.03184671  0.03741919 ... -0.01755331  0.01347843
  0.00011798]",0
Narcissism,Authoritative,Assertive,Dominate,Control,"[ 0.02522105  0.02756242  0.02476921 ... -0.01447267  0.01878572
  0.00066493]",0
Narcissism,Authoritative,Controlling,Assert,Assertiveness,"[ 0.01777644  0.02302035  0.03992048 ... -0.02834771  0.01052955
 -0.00449627]",0
Narcissism,Superior,Haughty,Look down,Superiority,"[ 0.0230941  -0.05011012  0.0258733  ...  0.0110815   0.0152644
 -0.01783198]",0
Narcissism,Superior,Arrogant,Condescend,Haughtiness,"[ 0.01852008 -0.03509067  0.01690029 ... -0.00850031  0.02359446
 -0.02730708]",0
Narcissism,Superior,Snobbish,Disdain,Condescension,"[ 0.01569925 -0.02141471 -0.00584702 ... -0.00584337  0.02824111
 -0.00929676]",0
Narcissism,Superior,Condescending,Belittle,Arrogance,"[ 0.01233044 -0.02470436  0.00514372 ... -0.01176536  0.00786772
 -0.00727004]",0
Psychopathy,Callous,Cold-hearted,Dismiss,Callousness,"[ 0.03446605  0.01099098  0.00506796 ... -0.01108965  0.00479499
  0.01803548]",3
Psychopathy,Callous,Insensitive,Neglect,Insensitivity,"[ 0.03102863  0.01644054  0.00847226 ... -0.00704206  0.00341376
  0.02947584]",3
Psychopathy,Callous,Unfeeling,Ignore,Heartlessness,"[ 0.01723892  0.01881816  0.00774358 ... -0.01782284  0.0021615
  0.0142397 ]",3
Psychopathy,Callous,Heartless,Disregard,Cruelty,"[ 0.03897455  0.02537878  0.02056694 ... -0.0039821  -0.00535833
  0.01033012]",3
Psychopathy,Impulsive,Reckless,Act impulsively,Impulsivity,"[ 0.03410083  0.02359924  0.01690692 ... -0.02250342 -0.02956101
  0.04268475]",3
Psychopathy,Impulsive,Hasty,Rush,Recklessness,"[ 0.02201209  0.0219433   0.00483578 ... -0.03315571 -0.03021159
  0.03023911]",3
Psychopathy,Impulsive,Impudent,React,Rashness,"[ 0.0230591   0.01168622  0.00024435 ... -0.00469656 -0.02637767
  0.01306065]",3
Psychopathy,Impulsive,Uncontrolled,Risk,Hastiness,"[ 0.01327535  0.00888865  0.01780611 ... -0.02506686 -0.01900183
  0.01067502]",3
Psychopathy,Aggressive,Hostile,Attack,Aggression,"[-0.00948615  0.02576735  0.02155577 ... -0.01025312 -0.03689508
  0.0132537 ]",3
Psychopathy,Aggressive,Combative,Confront,Hostility,"[ 0.00072996  0.01712704  0.02934915 ... -0.0130865  -0.03862294
 -0.00725018]",3
Psychopathy,Aggressive,Violent,Fight,Violence,"[-0.02452558  0.04239324  0.00288736 ...  0.01009557 -0.01479687
  0.01495992]",3
Psychopathy,Aggressive,Belligerent,Threaten,Belligerence,"[-0.00138181  0.03818208  0.00329962 ... -0.00607008 -0.03176377
  0.00499467]",3
Psychopathy,Remorseless,Unrepentant,Ignore guilt,Remorselessness,"[ 0.04498474  0.02369349 -0.01334814 ... -0.00953745  0.00797886
  0.00986633]",3
Psychopathy,Remorseless,Unapologetic,Justify,Ruthlessness,"[ 0.03463604  0.0391275  -0.00378247 ...  0.0008417   0.00269559
 -0.00755774]",3
Psychopathy,Remorseless,Guiltless,Harm,Guiltlessness,"[ 0.04323276  0.02087099 -0.00357929 ... -0.02213675  0.01637051
  0.00070144]",3
