Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Narcissism,Arrogant,Pompous,Boast,Arrogance,"[ 0.02171421 -0.0130891   0.00539234 ... -0.01506432  0.02056859
  0.01121265]",2
Narcissism,Arrogant,Conceited,Brag,Conceit,"[ 0.02744378 -0.04151486  0.00878149 ... -0.03732457  0.01961933
  0.01392882]",2
Narcissism,Arrogant,Haughty,Show off,Haughtiness,"[ 0.00955187 -0.03084594 -0.00195217 ... -0.0194148   0.02603761
 -0.01008325]",2
Narcissism,Manipulative,Crafty,Manipulate,Manipulation,"[ 2.64968220e-02  4.54153344e-02  8.15673484e-05 ... -4.36161682e-02
 -1.71193462e-02  3.34788172e-04]",2
Narcissism,Manipulative,Devious,Scheme,Deception,"[ 0.01455216  0.01026759 -0.01778131 ... -0.02600097 -0.02274386
 -0.00701048]",2
Narcissism,Manipulative,Sly,Exploit,Scheming,"[ 0.01902869  0.0216562   0.00064651 ... -0.04439105 -0.0247124
 -0.00328266]",2
Narcissism,Entitled,Presumptuous,Demand,Entitlement,"[ 0.02624258 -0.00668032 -0.00065552 ... -0.00355232  0.01997569
 -0.01020545]",2
Narcissism,Entitled,Pretentious,Expect,Presumption,"[ 0.04291886 -0.0186484  -0.03242823 ... -0.00917206  0.01843106
 -0.01285248]",2
Narcissism,Entitled,Assuming,Assume,Pretension,"[ 0.03033062 -0.01124325 -0.00282495 ... -0.00575943  0.00792186
 -0.00505275]",2
Narcissism,Grandiose,Pompous,Exaggerate,Grandiosity,"[ 0.01811714 -0.00045215  0.01591444 ... -0.00940962  0.01230754
  0.00059197]",2
Narcissism,Grandiose,Highfalutin,Flaunt,Pomposity,"[ 0.01108862 -0.00819562  0.00831827 ... -0.00183067  0.01451549
 -0.00493108]",2
Narcissism,Grandiose,Grandiloquent,Ostentate,Flamboyance,"[ 0.03890895 -0.00536218  0.0100357  ...  0.00071197  0.02248169
 -0.00768997]",2
Narcissism,Self-centered,Egocentric,Focus on self,Self-centeredness,"[ 0.03738575 -0.01282102  0.02306125 ... -0.01267895  0.01619497
  0.01283285]",2
Narcissism,Self-centered,Egotistical,Prioritize self,Egocentrism,"[ 3.96050364e-02 -7.17538036e-03  2.71438770e-02 ... -9.79273394e-03
  2.80120727e-02  7.08201769e-05]",2
Narcissism,Self-centered,Self-involved,Promote self,Selfishness,"[ 0.04644885 -0.01128247  0.01647434 ... -0.01876316  0.01317042
 -0.00276404]",2
Narcissism,Domineering,Overbearing,Dominate,Domination,"[ 0.03029862  0.00143612  0.02828154 ... -0.01186978  0.00900636
  0.01070608]",2
Narcissism,Domineering,Autocratic,Control,Control,"[ 0.00499103  0.02363583  0.05553652 ... -0.02265857  0.01897288
 -0.01296969]",2
Narcissism,Domineering,Imperious,Dictate,Authority,"[ 0.01554166  0.00970665  0.02703256 ... -0.01807682  0.00596935
 -0.00332051]",2
Machiavellianism,Deceptive,Dishonest,Deceive,Deception,"[ 0.00143836 -0.03066749 -0.03544443 ... -0.02300061 -0.02969098
  0.02707818]",0
Machiavellianism,Deceptive,Duplicitous,Mislead,Duplicity,"[ 0.0057548  -0.004092   -0.00619959 ... -0.02871243 -0.0478723
  0.02457937]",0
Machiavellianism,Deceptive,Fraudulent,Cheat,Fraudulence,"[-0.00613951 -0.01163493 -0.02446213 ... -0.02894343 -0.03626151
  0.04144172]",0
Machiavellianism,Cunning,Crafty,Plot,Cunning,"[ 0.00986544  0.00156214 -0.01398523 ... -0.05858639 -0.02943098
  0.00690994]",0
Machiavellianism,Cunning,Sly,Plan,Slyness,"[ 0.00577126 -0.01177648 -0.01033721 ... -0.03632913 -0.04452516
  0.00925953]",0
Machiavellianism,Cunning,Scheming,Conspire,Scheming,"[-0.00260206 -0.02479673  0.01010974 ... -0.0439681  -0.04643583
  0.00543299]",0
Machiavellianism,Unemotional,Apathetic,Detach,Apathy,"[ 0.01042865  0.02062934 -0.01960358 ... -0.0270119   0.00062107
 -0.01429665]",0
Machiavellianism,Unemotional,Passionless,Disengage,Indifference,"[ 0.00359593  0.03997301 -0.00939736 ... -0.02547971 -0.00490416
  0.00523293]",0
Machiavellianism,Unemotional,Indifferent,Withdraw,Dispassion,"[ 0.00027886  0.01242662 -0.0151098  ... -0.0224411   0.00100788
  0.01133574]",0
Machiavellianism,Manipulative,Controlling,Manipulate,Manipulation,"[-0.00672224  0.00915511 -0.00159427 ... -0.05903235 -0.02741171
  0.00948351]",0
Machiavellianism,Manipulative,Crafty,Influence,Control,"[ 0.01041603  0.01547957  0.00371166 ... -0.06395473 -0.02384542
  0.01256253]",0
Machiavellianism,Manipulative,Devious,Control,Craftiness,"[ 0.00797162  0.01828175 -0.01068843 ... -0.05502409 -0.02262866
  0.01213281]",0
Machiavellianism,Exploitative,User,Exploit,Exploitation,"[-0.0323033   0.0375009   0.02334724 ... -0.04839907 -0.04286615
  0.00346331]",0
Machiavellianism,Exploitative,Opportunistic,Take advantage,Opportunism,"[-0.01614677  0.01340251  0.02070667 ... -0.04537727 -0.04684642
  0.00959104]",0
Machiavellianism,Exploitative,Predatory,Use,Predation,"[ 0.00812134  0.04307841  0.04022535 ... -0.03748528 -0.04991446
  0.02090362]",0
Machiavellianism,Strategic,Calculating,Strategize,Strategy,"[ 0.01192718  0.00543807  0.03573496 ... -0.03685251 -0.01182739
  0.01287842]",0
Machiavellianism,Strategic,Tactical,Plan,Tactics,"[-0.01407962  0.03497732  0.04234972 ... -0.03813692 -0.03525448
  0.01383018]",0
Machiavellianism,Strategic,Devious,Scheme,Calculation,"[ 0.004812    0.00042218  0.0129361  ... -0.03846691 -0.02287968
  0.02298136]",0
Psychopathy,Impulsive,Rash,Act impulsively,Impulsiveness,"[ 0.0112998   0.02274618  0.01122651 ... -0.00692246 -0.03240697
  0.01625679]",3
Psychopathy,Impulsive,Reckless,React quickly,Recklessness,"[ 0.03083108  0.02630276  0.00827897 ... -0.03116141 -0.02487132
  0.04231014]",3
Psychopathy,Impulsive,Hasty,Jump into,Hastiness,"[-5.98225561e-05  1.06759574e-02  1.05403662e-02 ... -3.09146028e-02
 -8.77769198e-03  1.51004847e-02]",3
Psychopathy,Insensitive,Heartless,Ignore,Insensitivity,"[ 0.018219   -0.0062692   0.00237833 ... -0.01431786  0.00874676
  0.02225702]",1
Psychopathy,Insensitive,Unfeeling,Disregard,Heartlessness,"[ 0.0202476   0.00887729  0.0098402  ... -0.01367867  0.01260364
  0.01770181]",1
Psychopathy,Insensitive,Callous,Neglect,Callousness,"[ 0.03623329  0.00815872  0.01020705 ... -0.00687159  0.00222998
  0.03293935]",1
Psychopathy,Remorseless,Ruthless,Act without remorse,Remorselessness,"[ 0.03654575  0.02672769 -0.00386939 ... -0.00417233  0.01440349
  0.01027935]",4
Psychopathy,Remorseless,Merciless,Show no pity,Ruthlessness,"[ 0.02958593  0.03448291  0.01134613 ... -0.00792116  0.01311691
 -0.01198012]",4
Psychopathy,Remorseless,Pitiless,Be merciless,Mercilessness,"[ 0.03020058  0.00500923  0.00213437 ... -0.00996038  0.00737591
  0.01800419]",4
Psychopathy,Irresponsible,Neglectful,Neglect,Irresponsibility,"[ 0.03184813  0.02179082  0.01785171 ... -0.00984778 -0.01340275
  0.0267217 ]",3
Psychopathy,Irresponsible,Careless,Ignore,Negligence,"[ 0.04964141  0.01909504  0.01290052 ... -0.01390926 -0.02168082
  0.03514965]",3
Psychopathy,Irresponsible,Inattentive,Overlook,Carelessness,"[ 0.05334771  0.02716629  0.00075319 ... -0.01884952 -0.00181074
  0.02782288]",3
Psychopathy,Reckless,Foolhardy,Act recklessly,Recklessness,"[ 0.08093724  0.00887073  0.03332539 ... -0.03425838 -0.02398087
  0.05186864]",3
Psychopathy,Reckless,Thoughtless,Take risks,Risk-taking,"[ 0.07123318  0.01558767  0.03570311 ... -0.01995683 -0.0208941
  0.03103114]",3
Psychopathy,Reckless,Risky,Disregard safety,Foolhardiness,"[ 0.07060387  0.01355629  0.0331376  ... -0.02838486 -0.02057573
  0.03682281]",3
Psychopathy,Callous,Cold-hearted,Show indifference,Callousness,"[ 0.03841425  0.00361378  0.00155054 ... -0.00985576  0.01879564
  0.01612761]",1
Psychopathy,Callous,Unsympathetic,Be unsympathetic,Cold-heartedness,"[ 0.03346038  0.00573176  0.00421601 ... -0.00660842  0.01576653
  0.01785446]",1
Psychopathy,Callous,Insensitive,Ignore feelings,Indifference,"[ 0.03336116  0.00379752  0.00139329 ... -0.01719901  0.0169398
  0.02471629]",1
