Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Extraversion,Sociable,Gregarious,Engage socially,Parties,"[-0.00478782 -0.04359074  0.00065463 ... -0.00975825  0.01843549
  0.01693085]",4
Extraversion,Sociable,Outgoing,Interact joyfully,Social gatherings,"[ 0.00457814 -0.03912105  0.0142883  ... -0.00636944  0.00857438
  0.02525341]",4
Extraversion,Sociable,Friendly,Participate in social activities,Meetups,"[-0.02574156 -0.04326541  0.00183674 ... -0.00661226 -0.00183844
  0.0007347 ]",4
Extraversion,Assertive,Confident,State clearly,Debates,"[ 0.02813568 -0.03373137  0.01233883 ... -0.00476656  0.00563106
  0.01290469]",4
Extraversion,Assertive,Dominant,Command respectfully,Leadership roles,"[ 0.01175365 -0.02560514  0.04529035 ... -0.01630855 -0.00181585
  0.01995822]",2
Extraversion,Assertive,Bold,Assert confidently,Public speaking events,"[ 0.02451324 -0.03943434  0.02798468 ...  0.01118321 -0.01524845
  0.00224958]",4
Extraversion,Active,Energetic,Move energetically,Sports,"[ 0.01170492  0.03577922 -0.02154055 ... -0.00274186  0.01190207
  0.01670671]",2
Extraversion,Active,Vivacious,Act dynamically,Dance events,"[ 0.01742204  0.0249407   0.01329816 ... -0.00158822  0.00423399
 -0.00519471]",4
Extraversion,Active,Dynamic,Perform actively,Gym sessions,"[-0.00932356  0.01948467  0.01379571 ... -0.0018894   0.0131162
  0.00723761]",2
Extraversion,Talkative,Loquacious,Speak freely,Conversations,"[ 0.02512399 -0.04296989  0.01981098 ... -0.0166814  -0.00758378
  0.03906883]",4
Extraversion,Talkative,Chatty,Converse openly,Dialogues,"[ 0.01649518 -0.0459382   0.01281481 ... -0.02055986 -0.01386423
  0.02140235]",4
Extraversion,Talkative,Communicative,Communicate effectively,Discussions,"[ 0.02720232 -0.04408496  0.02789633 ... -0.00455635 -0.00310797
  0.02842439]",4
Extraversion,Adventurous,Daring,Explore bravely,Adventures,"[ 0.01751882 -0.03054935  0.04696781 ... -0.02536609 -0.02380243
  0.00333002]",2
Extraversion,Adventurous,Bold,Try new things,Expeditions,"[ 0.00956387 -0.03350614  0.0425415  ... -0.03683648 -0.0315369
 -0.0046299 ]",2
Extraversion,Adventurous,Fearless,Venture out,Challenges,"[ 0.0069889  -0.03859305  0.05423723 ... -0.02177707 -0.0118701
  0.00689379]",2
Extraversion,Fun-loving,Playful,Enjoy life,Parties,"[ 0.01565317 -0.03222882  0.03047036 ... -0.00892923  0.01901154
  0.0109111 ]",4
Extraversion,Fun-loving,Cheerful,Play gleefully,Games,"[ 0.02655459 -0.02651158  0.01245284 ... -0.01150651  0.01871153
  0.02179427]",4
Extraversion,Fun-loving,Joyful,Celebrate often,Festivals,"[ 0.04378304 -0.02047781  0.01316431 ... -0.00989597  0.01914808
  0.01168761]",4
Introversion,Reserved,Restrained,Keep to oneself,Quiet places,"[ 0.02090135 -0.01537519  0.0347613  ... -0.03823743  0.01164652
  0.01672702]",0
Introversion,Reserved,Quiet,Stay reserved,Private settings,"[ 0.02533961 -0.01468546  0.04347309 ... -0.04453629 -0.00252141
  0.02305078]",0
Introversion,Reserved,Withdrawn,Limit social interactions,Solitary activities,"[ 0.00536508 -0.02714567  0.05492464 ... -0.03629978 -0.0187688
  0.03313326]",0
Introversion,Reflective,Thoughtful,Think deeply,Journals,"[ 0.01790982 -0.00625866  0.00402342 ... -0.01737895 -0.00178033
  0.01263606]",0
Introversion,Reflective,Contemplative,Reflect regularly,Quiet times,"[ 0.00127484  0.0029127   0.05628377 ... -0.04046759  0.0025207
  0.00817396]",0
Introversion,Reflective,Introspective,Consider thoughtfully,Reflection sessions,"[ 0.01049293 -0.02157777  0.02319206 ... -0.02125491 -0.01331122
  0.02095895]",0
Introversion,Peaceful,Calm,Maintain calm,Nature walks,"[ 0.04318565  0.00811198  0.02964612 ... -0.00360125 -0.01874703
  0.00182446]",0
Introversion,Peaceful,Tranquil,Seek peace,Quiet mornings,"[ 0.0399692  -0.01807808  0.01905162 ...  0.00296456 -0.01309546
  0.00494882]",0
Introversion,Peaceful,Serene,Embrace tranquility,Peaceful evenings,"[ 0.03599205 -0.06675497  0.03437881 ...  0.00298659  0.00606358
  0.00414785]",0
Introversion,Independent,Self-reliant,Operate independently,Solo projects,"[ 0.01263508 -0.01850319  0.06600347 ... -0.02535784 -0.03244635
  0.01329277]",0
Introversion,Independent,Self-sufficient,Rely on oneself,Independent tasks,"[ 0.0020121  -0.01947443  0.05203544 ... -0.03479393 -0.03459608
  0.01680341]",0
Introversion,Independent,Autonomous,Manage alone,Self-employment,"[ 0.02491184 -0.01347702  0.07079598 ... -0.0251291  -0.03455794
  0.0206102 ]",0
Introversion,Quiet,Hushed,Speak softly,Libraries,"[-0.00499547 -0.01666947 -0.00882547 ... -0.04563786 -0.01929181
  0.00521784]",0
Introversion,Quiet,Silent,Reduce noise,Study rooms,"[-0.01485766 -0.00128744 -0.00226202 ... -0.04586989 -0.02558945
  0.00816071]",0
Introversion,Quiet,Low-key,Maintain silence,Quiet zones,"[ 0.02489605  0.00867312  0.00891764 ... -0.03655699 -0.007695
  0.01448067]",0
Introversion,Deliberate,Thoughtful,Plan carefully,Strategic plans,"[ 0.04498475 -0.00621482  0.04072158 ... -0.04088768 -0.01084478
  0.00652971]",0
Introversion,Deliberate,Intentional,Act intentionally,Careful decisions,"[ 0.05555643 -0.01294844  0.03209674 ... -0.0313556  -0.01906991
  0.01626216]",0
Introversion,Deliberate,Careful,Consider consequences,Thoughtful gestures,"[ 0.05697889 -0.01309903  0.00968488 ... -0.04246684 -0.00187511
  0.00825659]",0
Neuroticism,Anxious,Worried,Worry often,Anxiety triggers,"[-0.00412835 -0.00938015 -0.01302121 ... -0.03906364 -0.02518968
  0.0127099 ]",3
Neuroticism,Anxious,Uneasy,Feel uneasy,Stressful situations,"[-0.00741935 -0.0219695  -0.027218   ... -0.02518455 -0.02408539
  0.01163051]",3
Neuroticism,Anxious,Apprehensive,Express anxiety,Worrisome thoughts,"[ 0.00204978 -0.00946001 -0.01604385 ... -0.0202695  -0.00920102
  0.022764  ]",3
Neuroticism,Irritable,Grumpy,Get irritated easily,Traffic jams,"[ 0.00790516 -0.00604832 -0.02394713 ... -0.00747081 -0.01430458
  0.01067052]",3
Neuroticism,Irritable,Impatient,Show impatience,Long lines,"[-0.00679252  0.00571042 -0.00725049 ... -0.01429834 -0.02532201
  0.0056091 ]",3
Neuroticism,Irritable,Crabby,React quickly,Waiting times,"[-0.02206244  0.03563688 -0.00164515 ... -0.01525932 -0.01333601
  0.00923507]",3
Neuroticism,Moody,Temperamental,Change moods often,Emotional swings,"[ 0.01013707  0.00338402 -0.01566215 ... -0.0262191  -0.02677894
  0.0170884 ]",3
Neuroticism,Moody,Changeable,Display emotions,Unpredictable days,"[ 0.01447971 -0.00944542 -0.00602504 ... -0.02233572 -0.02844128
  0.01202908]",3
Neuroticism,Moody,Mercurial,React spontaneously,Moody episodes,"[ 0.00873107  0.0108253  -0.02165059 ... -0.0371109  -0.03150577
  0.01112557]",3
Neuroticism,Tense,Tight,Feel tensed,High-pressure situations,"[-0.00381279  0.00290376 -0.03150339 ... -0.00800834 -0.00705514
 -0.00633012]",3
Neuroticism,Tense,Rigid,Hold stress,Stressful meetings,"[-0.01787418  0.01799344  0.01584675 ... -0.02783244 -0.01354353
 -0.00221564]",3
Neuroticism,Tense,Stressed,React sharply,Tight deadlines,"[ 0.0004841   0.03363128 -0.01664625 ... -0.01370506 -0.01212667
  0.00292387]",3
Neuroticism,Frustrated,Disappointed,Express frustration,Failed attempts,"[ 0.01171663  0.00784657  0.0111768  ... -0.00662244 -0.03737764
  0.00974738]",3
Neuroticism,Frustrated,Dissatisfied,Feel dissatisfaction,Unmet goals,"[ 0.0078628   0.02007673 -0.0054424  ...  0.00598105 -0.03651586
  0.00684148]",3
Neuroticism,Frustrated,Unfulfilled,React to setbacks,Thwarted plans,"[ 0.00722903  0.00332446  0.00244229 ... -0.02533249 -0.02313564
  0.01037328]",3
Neuroticism,Over-sensitive,Touchy,Take offense easily,Critical comments,"[ 0.03724508  0.009726   -0.03542564 ... -0.01621445 -0.00021614
 -0.00796675]",3
Neuroticism,Over-sensitive,Thin-skinned,React sensitively,Harsh feedback,"[ 0.0039231   0.00972754 -0.03990189 ... -0.01933842 -0.00346371
 -0.01567783]",3
Neuroticism,Over-sensitive,Delicate,Feel deeply,Sensitive topics,"[ 0.04365969 -0.01444205 -0.01510205 ... -0.00553553  0.01039685
 -0.00187356]",3
Stability,Calm,Relaxed,Stay calm,Relaxing environments,"[ 0.04983579  0.01105329  0.01029903 ... -0.03582034 -0.00129338
  0.01001104]",1
Stability,Calm,Composed,Maintain composure,Calm situations,"[ 0.0639044  -0.01065073 -0.00151644 ... -0.01298737  0.01593534
  0.01419645]",1
Stability,Calm,Unruffled,Handle stress well,Stress-free zones,"[ 0.05914447  0.00574974  0.02602594 ... -0.00764902 -0.00696276
  0.0100231 ]",1
Stability,Even-tempered,Balanced,Keep an even keel,Balanced discussions,"[ 0.06637675 -0.00812671  0.03570714 ... -0.00846007  0.00421152
  0.00721551]",1
Stability,Even-tempered,Steady,Balance emotions,Steady relationships,"[ 0.04993882  0.00036618  0.01812166 ... -0.03317595 -0.01257215
  0.01720683]",1
Stability,Even-tempered,Placid,React calmly,Even interactions,"[ 0.04992927 -0.01294568  0.01384389 ... -0.02172821 -0.00870412
  0.04479662]",1
Stability,Contented,Satisfied,Feel content,Contented living,"[ 0.08678275 -0.01636139  0.01385914 ...  0.00805164 -0.01677723
  0.0109769 ]",1
Stability,Contented,Gratified,Show satisfaction,Satisfactory outcomes,"[ 0.05016018 -0.00308835 -0.00259486 ...  0.02136186 -0.00555581
 -0.00155046]",1
Stability,Contented,Pleased,Live gratifyingly,Gratifying experiences,"[ 0.03900434 -0.01180965  0.0263496  ...  0.00313118 -0.00541005
  0.01112346]",1
Stability,Patient,Tolerant,Practice patience,Waiting periods,"[-0.0079342  -0.0091821   0.06002258 ... -0.00890479 -0.00704834
  0.00166868]",1
Stability,Patient,Forbearing,Exhibit tolerance,Patient practices,"[ 0.01588478  0.01126636  0.0489967  ...  0.00448657 -0.01303223
  0.0002492 ]",1
Stability,Patient,Understanding,Show forbearance,Tolerance tests,"[ 0.01930101  0.00784006  0.03069202 ...  0.01319368 -0.01233897
  0.00569162]",1
Stability,Reliable,Dependable,Prove reliability,Reliable services,"[ 0.02060844 -0.01260752  0.02343229 ... -0.02425949 -0.02664122
  0.00053393]",1
Stability,Reliable,Trustworthy,Act dependably,Dependable systems,"[ 0.01114921  0.01320545  0.03674188 ... -0.01632182 -0.00998235
  0.00468523]",1
Stability,Reliable,Consistent,Maintain consistency,Consistent performance,"[ 0.04588678  0.00299523  0.05257921 ... -0.03587723 -0.00989315
  0.00979131]",1
Stability,Peaceful,Tranquil,Live peacefully,Peaceful retreats,"[ 0.04449707  0.00215336  0.04310141 ... -0.01673429 -0.00529532
  0.01192472]",1
Stability,Peaceful,Calm,Promote tranquility,Tranquil spaces,"[ 0.05073704 -0.00600017  0.03398451 ... -0.02724401  0.00563353
  0.01068185]",1
Stability,Peaceful,Serene,Foster serenity,Serene atmospheres,"[ 0.05723625 -0.02666433  0.00818062 ... -0.01906001 -0.00054599
  0.01821665]",1
