Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Authority,Dominant,Authoritative,Dominate,Dominance,"[ 0.0437779   0.01741076  0.03003951 ... -0.01487445 -0.00058041
  0.01620865]",2
Authority,Dominant,Controlling,Control,Authority,"[ 0.00246346 -0.00233187  0.0618182  ... -0.04601273  0.00132911
  0.03220049]",2
Authority,Dominant,Commanding,Command,Command,"[ 0.03000271 -0.0019679   0.03882219 ... -0.01493267 -0.00237487
  0.03417891]",2
Authority,Dominant,Assertive,Assert,Assertiveness,"[ 0.02309453 -0.01666674  0.0276594  ... -0.01196678 -0.0132822
  0.02872596]",2
Authority,Powerful,Influential,Influence,Power,"[ 0.01189931 -0.0542169   0.02085059 ... -0.05250168 -0.00278388
  0.02787226]",2
Authority,Powerful,Potent,Empower,Influence,"[ 0.02359261 -0.06084118 -0.01068607 ... -0.04929468 -0.01336452
  0.01466905]",2
Authority,Powerful,Commanding,Command,Command,"[ 0.03312851 -0.01391943  0.03053822 ... -0.03454636 -0.00997945
  0.01484648]",2
Authority,Powerful,Dominating,Dominate,Domination,"[ 0.03999714 -0.02076285  0.04084633 ... -0.01821526 -0.01200197
  0.01913522]",2
Authority,Ambitious,Driven,Aspire,Ambition,"[ 0.02386135 -0.04365424 -0.00414641 ... -0.00636996 -0.01381642
  0.00426891]",2
Authority,Ambitious,Aspiring,Strive,Aspiration,"[ 0.02565655 -0.03925375  0.0076056  ... -0.00509705 -0.02294624
  0.00744192]",2
Authority,Ambitious,Determined,Pursue,Determination,"[ 0.01933204 -0.02996615  0.0082809  ... -0.01967459 -0.0355364
  0.0139703 ]",2
Authority,Ambitious,Motivated,Push,Motivation,"[ 0.01941428 -0.01915171 -0.038705   ... -0.00544048 -0.05180229
  0.00607372]",2
Authority,Confident,Self-assured,Assure,Confidence,"[ 0.02079875 -0.05316788  0.02238076 ... -0.02548274 -0.02162078
  0.00051473]",2
Authority,Confident,Assured,Convince,Assurance,"[ 0.01562358 -0.03913692 -0.00439706 ... -0.01591204 -0.0139396
 -0.00198023]",2
