Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Grandiose Narcissism,Acclaim-Seeking,Approval-seeking,Seek praise,Admiration,"[ 0.03937373 -0.02739733  0.03908227 ... -0.0085981   0.01300314
 -0.01220824]",2
Grandiose Narcissism,Acclaim-Seeking,Recognition-hungry,Crave recognition,Recognition,"[ 0.02191032 -0.00358422  0.01347289 ... -0.01136015  0.01345264
 -0.01191365]",2
Grandiose Narcissism,Acclaim-Seeking,Praise-craving,Demand attention,Praise,"[ 0.01451553 -0.01312772  0.03872578 ... -0.0130082   0.0123973
 -0.02191274]",2
Grandiose Narcissism,Acclaim-Seeking,Attention-demanding,Solicit approval,Attention,"[ 0.0317343  -0.01078664  0.03770167 ... -0.00382929  0.02177952
 -0.01435468]",2
Grandiose Narcissism,Arrogance,Haughty,Condescend,Arrogance,"[ 0.02192083 -0.04530398  0.0302589  ... -0.02363625  0.00466468
 -0.01715421]",4
Grandiose Narcissism,Arrogance,Conceited,Belittle,Conceit,"[ 0.03471054 -0.04336097  0.02095962 ... -0.02131325  0.00130828
  0.00923529]",4
Grandiose Narcissism,Arrogance,Superior,Scoff,Superiority,"[ 0.01989838 -0.02833309  0.01274627 ... -0.00062409  0.03202871
 -0.01576798]",4
Grandiose Narcissism,Arrogance,Pompous,Patronize,Pride,"[ 0.01394553 -0.01787126  0.03112235 ... -0.01329361  0.00804986
  0.00584607]",4
Grandiose Narcissism,Authoritativeness,Dominant,Command,Authority,"[ 0.03643045  0.01475664  0.02691934 ... -0.02109738  0.01022445
 -0.00035239]",2
Grandiose Narcissism,Authoritativeness,Commanding,Lead,Dominance,"[ 0.03730983  0.00944414  0.04384415 ... -0.02190749  0.00947331
 -0.0081752 ]",2
Grandiose Narcissism,Authoritativeness,Assertive,Direct,Leadership,"[ 0.00180371  0.02016168  0.02848701 ... -0.01605221  0.00270307
 -0.01043992]",2
Grandiose Narcissism,Authoritativeness,Controlling,Dominate,Control,"[ 0.02870175  0.02829572  0.04415869 ... -0.03007383  0.00760946
 -0.01100467]",2
Grandiose Narcissism,Entitlement,Privileged,Demand,Entitlement,"[ 0.03250448  0.00325884  0.01725889 ...  0.00440226  0.00592317
 -0.02167938]",4
Grandiose Narcissism,Entitlement,Demanding,Expect,Privilege,"[ 0.03828768  0.00553535  0.04558608 ... -0.00639335 -0.00184361
 -0.02167801]",4
Grandiose Narcissism,Entitlement,Presumptuous,Assert,Expectation,"[ 0.04636393 -0.01222721  0.00378444 ... -0.00010581  0.00917041
 -0.00932398]",4
Grandiose Narcissism,Entitlement,Superior,Claim,Rights,"[ 0.04375559 -0.0011552   0.02531723 ...  0.00047526  0.0094734
 -0.01210531]",4
Grandiose Narcissism,Exhibitionism,Showy,Flaunt,Exhibitionism,"[ 0.02580235 -0.01228894 -0.01135215 ...  0.00063114 -0.00746483
 -0.01758513]",3
Grandiose Narcissism,Exhibitionism,Flamboyant,Show off,Showmanship,"[ 0.02473253 -0.01325161 -0.0152365  ... -0.00357886 -0.00097013
 -0.02040577]",3
Grandiose Narcissism,Exhibitionism,Attention-seeking,Perform,Spectacle,"[ 2.89108977e-02 -7.95996864e-04  5.24251373e-05 ...  9.02008358e-03
  9.70861176e-04 -3.46522778e-02]",3
Grandiose Narcissism,Exhibitionism,Dramatic,Display,Flamboyance,"[ 0.0219936  -0.00016751 -0.01347526 ...  0.0002319  -0.00409563
 -0.0166878 ]",3
