Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Active,Engaged,Involved,Engage,Engagement,"[ 0.00787744  0.0203824  -0.0042698  ... -0.0252687   0.01056414
  0.0241727 ]",4
Active,Engaged,Participating,Participate,Participation,"[ 0.00884483  0.02021243  0.01197186 ... -0.0163905   0.0224784
  0.01262899]",4
Active,Engaged,Active,Act,Activity,"[ 0.00877598  0.04431539 -0.02054864 ... -0.01728625  0.0093148
  0.02826915]",4
Active,Engaged,Busy,Busy oneself,Busyness,"[ 0.00463344  0.03577949  0.00093116 ... -0.01495583 -0.00250993
  0.02838029]",4
Active,Engaged,Committed,Commit,Commitment,"[ 0.02489525  0.03291807  0.01501217 ... -0.01670401 -0.00299516
  0.00424107]",4
Active,Engaged,Dedicated,Dedicate,Dedication,"[ 0.05063053  0.01848561 -0.00203562 ... -0.01731698  0.00778581
  0.00827147]",4
Active,Experimental,Testing,Experiment,Experimentation,"[ 0.00638109 -0.00094489  0.00418759 ... -0.03816837 -0.02664696
  0.00993353]",4
Active,Experimental,Investigative,Investigate,Investigation,"[ 0.00213757 -0.00210706 -0.02788566 ... -0.03453672 -0.03682493
  0.01067069]",4
Active,Experimental,Trial,Try,Trial,"[ 0.0108476   0.00121507 -0.02401186 ... -0.03082096 -0.03374809
 -0.01948811]",4
Active,Experimental,Exploratory,Explore,Exploration,"[ 0.01179653 -0.00512398  0.01344379 ... -0.04588046 -0.03831974
  0.00928388]",4
Active,Experimental,Pioneering,Pioneer,Pioneering,"[ 0.01017048 -0.04309449  0.02356777 ... -0.03658056 -0.02950872
  0.01477698]",4
Active,Experimental,Innovative,Innovate,Innovation,"[ 0.00828381 -0.00376026 -0.00129023 ... -0.04637073 -0.01963627
  0.02701343]",4
Active,Practical,Functional,Practice,Practicality,"[-0.02828978  0.04162461  0.01387227 ... -0.01998666 -0.0250028
  0.01799267]",4
Active,Practical,Useful,Utilize,Utility,"[-0.01938292  0.02913012 -0.02791968 ... -0.01415096 -0.01822026
  0.03857471]",4
Active,Practical,Applicable,Apply,Application,"[-0.03789081  0.02993374  0.00241554 ... -0.01794509 -0.01522453
  0.02978218]",4
Active,Practical,Pragmatic,Execute,Pragmatism,"[-0.00274803  0.06362429  0.00497443 ... -0.02726107 -0.01059901
  0.00348512]",4
Active,Practical,Realistic,Adapt,Realism,"[ 0.01914841  0.05533538  0.01922832 ... -0.0157359  -0.01614348
  0.01830127]",4
