Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Sanguine,Talkative,Communicative,Chat,Talkativeness,"[ 0.02403068 -0.0137694  -0.02441072 ... -0.00067056 -0.00492965
  0.04616112]",2
Sanguine,Talkative,Chatty,Converse,Chattiness,"[ 0.03444511 -0.02823172 -0.02449162 ... -0.01977125 -0.01595575
  0.04358423]",2
Sanguine,Talkative,Garrulous,Speak,Conversation,"[ 0.01433538 -0.01315854 -0.02724384 ... -0.0039277  -0.00540978
  0.04966263]",2
Sanguine,Talkative,Loquacious,Discuss,Dialogue,"[ 0.02034408 -0.00892887 -0.01815026 ...  0.00685205 -0.01469864
  0.04911246]",2
Sanguine,Sociable,Outgoing,Socialize,Sociability,"[ 0.0162921  -0.01535834 -0.02773421 ...  0.00930281 -0.00075651
  0.05176123]",2
Sanguine,Sociable,Friendly,Mingle,Friendliness,"[ 0.01198524 -0.01790652 -0.01512423 ... -0.0047941  -0.01528118
  0.05458991]",2
Sanguine,Sociable,Gregarious,Interact,Conviviality,"[-0.00990159 -0.00389927 -0.00952738 ...  0.00591626  0.00212925
  0.05358684]",2
Sanguine,Sociable,Convivial,Associate,Gregariousness,"[-3.67298722e-03 -1.73889492e-02 -5.18318193e-05 ...  9.59595852e-03
  9.08188894e-03  4.81883995e-02]",2
Sanguine,Active,Energetic,Act,Activity,"[ 0.01517457  0.05134378 -0.01436475 ...  0.01349439 -0.01716505
  0.04362404]",2
Sanguine,Active,Dynamic,Perform,Energy,"[ 0.00610126  0.05904654 -0.01401421 ... -0.00107138 -0.00798607
  0.03737123]",2
Sanguine,Active,Vigorous,Do,Dynamism,"[ 0.02887391  0.0568268   0.00110906 ...  0.0118274  -0.02479073
  0.03963447]",2
Sanguine,Active,Busy,Execute,Vigour,"[ 0.0001174   0.09334425  0.00027643 ... -0.00020368 -0.02147044
  0.02860091]",2
Sanguine,Optimistic,Positive,Hope,Optimism,"[ 0.01301616 -0.02223501  0.01297908 ...  0.00348025 -0.01406932
  0.02610648]",2
Sanguine,Optimistic,Cheerful,Expect,Positivity,"[ 0.02615068 -0.02206927 -0.01596943 ...  0.00532809 -0.01408456
  0.03383856]",2
Sanguine,Optimistic,Hopeful,Anticipate,Hopefulness,"[ 0.01739846 -0.0343214   0.00113548 ...  0.01113278 -0.01296493
  0.02197185]",2
Sanguine,Optimistic,Uplifted,Look forward,Cheerfulness,"[ 0.04084837 -0.0325027   0.01601006 ...  0.00921146 -0.01882034
  0.02099192]",2
