Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
"Feeling Nervous, Anxious, or On Edge",Anxious,Apprehensive,Worry,Anxiety,"[-0.01500632 -0.01921167 -0.03412851 ... -0.02796749 -0.02858103
  0.01671914]",2
"Feeling Nervous, Anxious, or On Edge",Anxious,Uneasy,Fret,Distress,"[-0.00356049 -0.02190461 -0.02572272 ... -0.01758446 -0.02121761
  0.01410984]",2
"Feeling Nervous, Anxious, or On Edge",Anxious,Distressed,Stress,Agitation,"[ 0.00073352 -0.01783613 -0.0249547  ... -0.0150972  -0.04763358
  0.00434326]",2
"Feeling Nervous, Anxious, or On Edge",Anxious,Agitated,Obsess,Unease,"[-0.00611062 -0.01483433 -0.04373917 ... -0.01944409 -0.03811096
  0.00026738]",2
"Feeling Nervous, Anxious, or On Edge",Anxious,Concerned,Panic,Apprehension,"[ 0.00226021 -0.03806404 -0.02913383 ... -0.02681666 -0.01722255
  0.01101306]",2
"Feeling Nervous, Anxious, or On Edge",Anxious,Uncertain,Brood,Nervousness,"[-0.00013225 -0.0141804  -0.02216374 ... -0.02114693 -0.02987227
  0.00977651]",2
"Feeling Nervous, Anxious, or On Edge",Nervous,Fidgety,Shake,Nervousness,"[-0.01687433 -0.0272851  -0.04719385 ... -0.02274581 -0.02634764
  0.02085855]",2
"Feeling Nervous, Anxious, or On Edge",Nervous,Tense,Tremble,Tension,"[-0.01782135 -0.01807685 -0.05066627 ... -0.02084906 -0.02303361
  0.00016318]",2
"Feeling Nervous, Anxious, or On Edge",Nervous,Restless,Quiver,Restlessness,"[-0.00141182 -0.01284428 -0.03109945 ... -0.02952347 -0.01763791
  0.01388181]",2
"Feeling Nervous, Anxious, or On Edge",Nervous,Wary,Flinch,Jitters,"[-0.02778853 -0.01738089 -0.05928569 ... -0.04131716 -0.02379263
  0.00906914]",2
"Feeling Nervous, Anxious, or On Edge",Nervous,Unsettled,Shudder,Unease,"[-0.02753958 -0.02479086 -0.05848233 ... -0.03005269 -0.02483012
  0.00432269]",2
"Feeling Nervous, Anxious, or On Edge",Nervous,Twitchy,Shift,Apprehension,"[-0.00017472 -0.00851627 -0.05125757 ... -0.01801878 -0.0277212
  0.02032444]",2
"Feeling Nervous, Anxious, or On Edge",Edgy,Irritable,Snap,Edginess,"[-0.02444939 -0.01724504 -0.06120856 ... -0.03032064 -0.03505736
  0.0017745 ]",2
"Feeling Nervous, Anxious, or On Edge",Edgy,Jumpy,React,Irritability,"[-0.01896922 -0.00781325 -0.0389168  ... -0.02001552 -0.03940598
  0.0089139 ]",2
"Feeling Nervous, Anxious, or On Edge",Edgy,Tetchy,Overreact,Jumpiness,"[-0.00814716 -0.01172108 -0.04982673 ... -0.02380302 -0.02555181
  0.01175578]",2
"Feeling Nervous, Anxious, or On Edge",Edgy,On edge,Flare up,Tetchiness,"[-0.02069866 -0.02505627 -0.05681444 ... -0.0285727  -0.03643295
 -0.00541944]",2
"Feeling Nervous, Anxious, or On Edge",Edgy,High-strung,Startle,Restlessness,"[-0.00824885 -0.02774049 -0.04710075 ... -0.03028498 -0.03520802
  0.00457732]",2
"Feeling Nervous, Anxious, or On Edge",Edgy,Skittish,Bridle,Tension,"[ 0.01187281 -0.00509768 -0.03717969 ... -0.02605483 -0.03683113
 -0.00688405]",2
"Feeling Nervous, Anxious, or On Edge",Jittery,Shaky,Twitch,Jitters,"[-0.01200133 -0.02206886 -0.05001752 ... -0.02064464 -0.03240425
  0.03506976]",2
"Feeling Nervous, Anxious, or On Edge",Jittery,Tremulous,Shiver,Tremors,"[-0.01682053 -0.03178536 -0.05309931 ... -0.02234784 -0.02442886
  0.02644362]",2
"Feeling Nervous, Anxious, or On Edge",Jittery,Twitchy,Shake,Shakiness,"[-0.01222513 -0.03007498 -0.06193558 ... -0.01308606 -0.03532981
  0.03397784]",2
"Feeling Nervous, Anxious, or On Edge",Jittery,Shivery,Jitter,Fidgeting,"[-0.01011835 -0.02753475 -0.04777147 ... -0.03435161 -0.02583722
  0.0363031 ]",2
"Feeling Nervous, Anxious, or On Edge",Jittery,Fretful,Quiver,Nervousness,"[-0.02050238 -0.01387042 -0.04361534 ... -0.03222367 -0.0128486
  0.02726618]",2
"Feeling Nervous, Anxious, or On Edge",Jittery,Quivery,Fidget,Unease,"[-0.01020227 -0.01399361 -0.05099114 ... -0.02494337 -0.0350985
  0.02708483]",2
"Feeling Nervous, Anxious, or On Edge",Tense,Stressed,Tighten,Tension,"[-0.00703374 -0.01059949 -0.04982935 ... -0.01733988 -0.03460154
 -0.00516611]",2
"Feeling Nervous, Anxious, or On Edge",Tense,Strained,Strain,Stress,"[-0.00193198 -0.00145405 -0.03253297 ... -0.0334787  -0.03601865
  0.00926136]",2
"Feeling Nervous, Anxious, or On Edge",Tense,Anxious,Stiffen,Strain,"[ 0.00189367 -0.00916792 -0.05084885 ... -0.02921851 -0.03599656
  0.00563374]",2
"Feeling Nervous, Anxious, or On Edge",Tense,Nervous,Constrict,Tightness,"[-0.01017988 -0.01746991 -0.04574082 ... -0.01641073 -0.02751249
 -0.00937569]",2
"Feeling Nervous, Anxious, or On Edge",Tense,Keyed-up,Tense up,Nervousness,"[-0.00402309 -0.01014792 -0.06467324 ... -0.00660913 -0.01986537
 -0.00502965]",2
"Feeling Nervous, Anxious, or On Edge",Tense,Rigid,Lock,Rigidity,"[ 0.00406589  0.00883829 -0.05294664 ... -0.01403322 -0.02555901
  0.00377498]",2
"Feeling Nervous, Anxious, or On Edge",Worried,Concerned,Concern,Worry,"[ 0.01637887 -0.03855354 -0.02610662 ... -0.02846834 -0.02343851
  0.00575431]",2
"Feeling Nervous, Anxious, or On Edge",Worried,Troubled,Trouble,Concern,"[ 0.00935737 -0.04479791 -0.00959097 ... -0.02530895 -0.02987417
  0.00239107]",2
"Feeling Nervous, Anxious, or On Edge",Worried,Fretful,Fret,Unease,"[-0.00228106 -0.02450922 -0.03415411 ... -0.0266829  -0.02720354
  0.01138904]",2
"Feeling Nervous, Anxious, or On Edge",Worried,Uneasy,Fear,Apprehension,"[ 0.00471704 -0.03092887 -0.04027946 ... -0.02548292 -0.02549576
  0.00605605]",2
"Feeling Nervous, Anxious, or On Edge",Worried,Apprehensive,Dread,Dread,"[ 0.0078696  -0.00332091 -0.02541783 ... -0.01461591 -0.03495279
  0.01551716]",2
"Feeling Nervous, Anxious, or On Edge",Worried,Disturbed,Ruminate,Ruminations,"[ 0.01368055 -0.00584508 -0.01104661 ... -0.03067839 -0.0220136
  0.01023719]",2
