Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Honesty-Humility,Sincere,Genuine,Act sincerely,Heartfelt conversations,"[ 0.01006648 -0.04017963  0.01633646 ... -0.02719387  0.00160075
  0.0180909 ]",2
Honesty-Humility,Sincere,Authentic,Present truthfully,Truthful disclosures,"[ 0.01214762 -0.02242413  0.01004262 ... -0.0167377  -0.00182543
  0.01075891]",2
Honesty-Humility,Sincere,Heartfelt,Communicate openly,Open discussions,"[ 0.00573161 -0.02894019  0.03768224 ... -0.01224173 -0.00065887
  0.00189447]",2
Honesty-Humility,Honest,Truthful,Practice honesty,Trustworthy dealings,"[-0.01059652 -0.03305257  0.02737255 ... -0.04030244  0.00899812
  0.01016124]",2
Honesty-Humility,Honest,Upright,Uphold integrity,Honest negotiations,"[-0.00926326 -0.02167482  0.02810763 ... -0.02895525 -0.00101506
 -0.01552958]",2
Honesty-Humility,Honest,Candid,Adhere to truth,Integrity tests,"[-0.0095956  -0.01618518  0.03852157 ... -0.00821784 -0.01433425
  0.00044621]",2
Honesty-Humility,Faithful,Devoted,Remain loyal,Long-term relationships,"[-0.00971994 -0.0047039   0.03617939 ... -0.00210514  0.00766562
  0.01945441]",2
Honesty-Humility,Faithful,Loyal,Stay committed,Loyalty pledges,"[-0.00177088  0.00534584  0.03642107 ... -0.0114812   0.00354729
  0.00933401]",2
Honesty-Humility,Faithful,Steadfast,Keep promises,Commitment ceremonies,"[ 0.02344631  0.01502007  0.03581153 ... -0.02307117 -0.01829533
  0.00224363]",2
Honesty-Humility,Modest,Humble,Display modesty,Modest attire,"[ 0.03897275 -0.00920063 -0.03233974 ... -0.01997545  0.01821785
  0.00612484]",2
Honesty-Humility,Modest,Unpretentious,Maintain humility,Humble abodes,"[ 0.02985104 -0.01716821  0.01375777 ... -0.01602367  0.00704902
  0.01499512]",2
Honesty-Humility,Modest,Reserved,Understate abilities,Low-key events,"[ 0.02532186 -0.009447   -0.01610211 ... -0.03114913  0.00607075
  0.02389345]",2
Honesty-Humility,Loyal,Dedicated,Stand by,Loyal friendships,"[ 1.39439944e-02 -1.21746659e-02  6.21020282e-03 ... -1.88728385e-02
  9.22622348e-05  2.88744597e-03]",2
Honesty-Humility,Loyal,Committed,Support consistently,Faithful partnerships,"[ 0.00029807 -0.0077555   0.04353182 ... -0.02914997 -0.0029826
  0.0065892 ]",2
