Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Oversensitivity,Hypersensitive,Thin-skinned,React strongly,Sensitivity,"[ 0.01084287  0.00173136 -0.02086474 ... -0.01443121  0.00527988
 -0.00922918]",2
Oversensitivity,Hypersensitive,Easily hurt,Take offense,Fragility,"[ 0.04636313 -0.00031056 -0.01764048 ... -0.01838999 -0.00400524
 -0.0104732 ]",2
Oversensitivity,Hypersensitive,Fragile,Feel hurt,Insecurity,"[ 0.04962021 -0.00921141 -0.00660833 ... -0.02458576  0.00808308
 -0.00374131]",2
Oversensitivity,Hypersensitive,Reactive,Internalize criticism,Vulnerability,"[ 0.00812154  0.01259871 -0.00123051 ... -0.02484153 -0.00158641
 -0.00153569]",2
Oversensitivity,Insecure,Uncertain,Question oneself,Insecurity,"[ 0.02213295 -0.03414308  0.01136673 ... -0.02444919  0.0153844
  0.00866445]",2
Oversensitivity,Insecure,Self-doubting,Doubt oneself,Self-doubt,"[ 0.02477382 -0.0373771   0.00778239 ... -0.02607201  0.0208522
  0.01498329]",0
Oversensitivity,Insecure,Anxious,Worry,Anxiety,"[ 0.00643085 -0.00674048 -0.00169107 ... -0.02354574  0.01929934
  0.00614843]",2
Oversensitivity,Insecure,Self-conscious,Second guess,Uncertainty,"[ 0.04328109 -0.01392922 -0.01331174 ... -0.02708299 -0.0028738
  0.00407466]",2
Oversensitivity,Fragile,Delicate,Break down,Fragility,"[ 0.05385663  0.01579916  0.00681926 ... -0.02269802 -0.0039877
  0.01422227]",2
Oversensitivity,Fragile,Vulnerable,Withdraw,Vulnerability,"[ 0.03041976  0.00944497  0.00920012 ... -0.02289644 -0.00487087
  0.01181177]",2
Oversensitivity,Fragile,Easily upset,Get upset,Sensitivity,"[ 0.03247805 -0.00254561 -0.02197822 ... -0.020312   -0.00294233
  0.00812612]",2
Oversensitivity,Fragile,Sensitive,Feel overwhelmed,Weakness,"[ 0.05529233 -0.00952273  0.00787045 ... -0.01556388 -0.01845536
  0.02086002]",2
Oversensitivity,Defensive,Protective,Defend oneself,Defensiveness,"[ 0.02316839 -0.00286932 -0.00589903 ... -0.00516833  0.01978937
 -0.00976637]",2
Oversensitivity,Defensive,Guarded,Protect self-esteem,Guardedness,"[ 0.03536689 -0.01905035 -0.0031259  ... -0.00615827  0.0289784
 -0.02015826]",0
Oversensitivity,Defensive,Reactive,Deflect criticism,Protection,"[ 0.03548157  0.01722568 -0.01042328 ... -0.01418051  0.00714328
 -0.02566429]",2
Oversensitivity,Defensive,Defensive,Guard emotions,Self-defense,"[ 0.02652043  0.01403681 -0.01499486 ... -0.00978367  0.02688333
 -0.01974154]",2
Oversensitivity,Shame-prone,Embarrassed,Feel ashamed,Shame,"[ 0.03208289 -0.05023541 -0.01905342 ... -0.00880061  0.01276055
 -0.01605489]",0
Oversensitivity,Shame-prone,Self-conscious,Avoid exposure,Embarrassment,"[ 0.03227271 -0.04166166 -0.00791026 ... -0.01793088  0.01907937
 -0.00791744]",0
Oversensitivity,Shame-prone,Humiliated,Feel embarrassed,Humiliation,"[ 0.02351192 -0.05220492 -0.02224481 ... -0.00718029  0.02054126
 -0.00236879]",0
Oversensitivity,Shame-prone,Guilt-ridden,Hide self,Self-consciousness,"[ 0.03998948 -0.03313105 -0.01151621 ... -0.00749971  0.0193602
 -0.01657903]",0
Oversensitivity,Anxious,Nervous,Worry,Anxiety,"[-0.00173323 -0.01344338 -0.02203855 ... -0.01635923  0.02431028
  0.00468891]",2
Oversensitivity,Anxious,Apprehensive,Stress,Nervousness,"[-0.0091251  -0.0190604  -0.02496528 ... -0.02052975  0.01664352
  0.01196768]",2
Oversensitivity,Anxious,Worried,Feel nervous,Stress,"[ 0.01870557 -0.03088659 -0.01531729 ... -0.02451606  0.00020466
  0.005975  ]",2
Oversensitivity,Anxious,Uneasy,Fret,Unease,"[ 0.00355741 -0.02769941 -0.03277477 ... -0.00875284  0.01437301
 -0.00365956]",2
Egocentrism,Self-centered,Self-focused,Prioritize oneself,Self-absorption,"[ 0.02699504  0.00045196  0.0265386  ... -0.01122185  0.02707329
 -0.00158531]",1
Egocentrism,Self-centered,Egotistical,Ignore others,Egocentrism,"[ 0.02394686 -0.00871457  0.02932368 ... -0.01816951  0.01365445
  0.00787103]",1
Egocentrism,Self-centered,Self-absorbed,Focus inward,Self-interest,"[ 0.01327736  0.00149956  0.04473766 ... -0.00760593  0.02383455
  0.00952062]",1
Egocentrism,Self-centered,Self-interested,Dominate conversations,Self-focus,"[ 0.03750916 -0.02294356  0.05303303 ... -0.01343622  0.01963071
  0.01767311]",1
Egocentrism,Entitled,Demanding,Demand,Entitlement,"[ 0.04602297  0.00956322  0.03013907 ...  0.01630229  0.01220057
 -0.01797586]",1
Egocentrism,Entitled,Expectant,Expect special treatment,Privilege,"[ 0.08230398  0.00646231  0.03358924 ... -0.00493351  0.00235967
 -0.01642535]",1
Egocentrism,Entitled,Privileged,Claim privileges,Expectation,"[ 7.41962790e-02 -1.06795467e-02  1.58118457e-02 ... -5.80204418e-03
  1.19535215e-02 -5.40301735e-05]",1
Egocentrism,Entitled,Presumptuous,Assert rights,Demands,"[ 0.05449514 -0.00056109  0.02871879 ...  0.00085102  0.01307583
 -0.0075475 ]",1
Egocentrism,Self-absorbed,Narcissistic,Obsess over oneself,Self-absorption,"[ 0.01588711  0.00683486  0.01262401 ... -0.01157201  0.0255882
 -0.00777977]",1
Egocentrism,Self-absorbed,Self-focused,Disregard others,Narcissism,"[ 0.00640232  0.01659905  0.03465655 ... -0.02002268  0.00765064
 -0.00331239]",1
