Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Entitlement Rage,Entitled,Deserving,Demand,Entitlement,"[ 2.85142418e-02  9.87502208e-05 -1.64231341e-02 ...  2.87071057e-02
  6.87264418e-03 -1.71797555e-02]",2
Entitlement Rage,Entitled,Privileged,Expect,Privilege,"[ 0.04489713  0.0056722  -0.0033579  ...  0.01298864 -0.00370326
 -0.00284549]",2
Entitlement Rage,Entitled,Superior,Insist,Expectation,"[ 0.03736967 -0.01543868 -0.03152969 ...  0.03255479 -0.00835614
 -0.01352826]",2
Entitlement Rage,Entitled,Demanding,Require,Right,"[ 0.0342818   0.02524992  0.00124056 ...  0.02292009 -0.02130131
 -0.00984883]",2
Entitlement Rage,Resentful,Bitter,Resent,Resentment,"[ 0.02078951  0.02374223 -0.02157288 ...  0.02952713 -0.01089943
 -0.00365323]",2
Entitlement Rage,Resentful,Indignant,Brood,Bitterness,"[ 0.00760129  0.0370351  -0.0134603  ...  0.03157697 -0.01051538
 -0.00539645]",2
Entitlement Rage,Resentful,Aggrieved,Complain,Grudge,"[ 0.01124571  0.0229458  -0.01156377 ...  0.01719042 -0.01120785
 -0.00965541]",2
Entitlement Rage,Resentful,Disgruntled,Rant,Frustration,"[ 0.00450447  0.02326028 -0.01677262 ...  0.02684234 -0.02575081
 -0.0062071 ]",2
Entitlement Rage,Irritable,Testy,Irritate,Irritation,"[ 0.00190582 -0.01149289 -0.04085698 ...  0.02415228 -0.02334471
  0.00690172]",2
Entitlement Rage,Irritable,Touchy,Annoy,Annoyance,"[ 0.02725337 -0.00193247 -0.05035469 ...  0.00343428 -0.00542564
 -0.00741333]",2
Entitlement Rage,Irritable,Short-tempered,Agitate,Agitation,"[-0.00062961 -0.00420298 -0.03660208 ...  0.0332665  -0.01748203
  0.00239373]",2
Entitlement Rage,Irritable,Cranky,Provoke,Temper,"[ 0.00997948  0.00517125 -0.03079044 ...  0.00852738 -0.03090897
 -0.0017327 ]",2
Entitlement Rage,Demanding,Exigent,Demand,Demand,"[ 0.00376027  0.00356408  0.01723376 ...  0.02923584 -0.01527188
 -0.01454098]",2
Entitlement Rage,Demanding,Pushy,Pressure,Pressure,"[ 0.01441643  0.00174218  0.00153017 ...  0.00990933 -0.02704258
 -0.01202939]",2
Entitlement Rage,Demanding,Insistent,Urge,Command,"[ 0.01781094  0.00501577 -0.00248608 ...  0.02093539 -0.02542381
 -0.00657799]",2
Entitlement Rage,Demanding,Pressing,Command,Exigency,"[ 0.00890449  0.02406931  0.02757839 ...  0.01584028 -0.03509079
 -0.00194812]",2
Entitlement Rage,Arrogant,Haughty,Dominate,Arrogance,"[ 0.02405745 -0.01947791 -0.00483231 ...  0.00076481 -0.00973896
 -0.00766478]",2
Entitlement Rage,Arrogant,Conceited,Belittle,Haughtiness,"[ 0.02229176 -0.02056121 -0.01988659 ... -0.00411004 -0.01100655
  0.0012255 ]",2
Entitlement Rage,Arrogant,Supercilious,Condescend,Superiority,"[ 0.02859882 -0.03798187 -0.0058007  ...  0.01482402 -0.01450176
 -0.00387463]",2
Entitlement Rage,Arrogant,Overbearing,Scoff,Conceit,"[ 0.03828891 -0.01712771 -0.02557465 ... -0.00133719  0.0016724
  0.00106957]",2
Entitlement Rage,Vindictive,Spiteful,Retaliate,Vindictiveness,"[ 0.00031554  0.02354135  0.00051756 ...  0.01112708 -0.01012593
 -0.01300066]",2
Entitlement Rage,Vindictive,Vengeful,Punish,Spite,"[ 0.00705773  0.03204751  0.01325413 ...  0.01503619 -0.01949879
 -0.01581585]",2
Entitlement Rage,Vindictive,Retaliatory,Seek revenge,Revenge,"[ 0.02370496  0.01887177  0.02047788 ...  0.01643286 -0.01430626
 -0.02023993]",2
Entitlement Rage,Vindictive,Malevolent,Get even,Retaliation,"[ 0.01924743  0.03583265  0.01173512 ...  0.01666173 -0.01776333
 -0.01582022]",2
Exploitativeness,Manipulative,Scheming,Manipulate,Manipulation,"[ 0.01383705  0.02734154 -0.00391833 ... -0.04224854 -0.03091286
  0.00746073]",0
Exploitativeness,Manipulative,Deceptive,Control,Exploitation,"[ 0.02033521  0.04025451  0.00762756 ... -0.03639246 -0.02274157
 -0.00245092]",0
Exploitativeness,Manipulative,Machiavellian,Use,Deception,"[ 0.02504719  0.03144898 -0.00188138 ... -0.02870968 -0.04394988
  0.01351489]",0
Exploitativeness,Manipulative,Calculating,Exploit,Machiavellianism,"[ 0.03112134  0.03364469  0.02669822 ... -0.04353507 -0.02184004
  0.00562316]",0
Exploitativeness,Exploitative,Ruthless,Exploit,Exploitation,"[ 0.02048714  0.03682756  0.03053498 ... -0.0227055  -0.0097941
  0.00569087]",0
