Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Extraversion,Outgoing,Sociable,Socialize,Social events,"[-0.01103918 -0.02731681 -0.00789326 ...  0.00155694  0.01303207
  0.01961572]",4
Extraversion,Outgoing,Friendly,Engage,Networking sessions,"[-0.02294631 -0.03512882  0.03701017 ... -0.02661648  0.00449519
  0.01547488]",4
Extraversion,Outgoing,Convivial,Participate,Team activities,"[-0.00208909 -0.01293552  0.0297382  ...  0.00128718  0.02867398
  0.01545367]",4
Extraversion,Energetic,Vivacious,Energize,Sports,"[ 0.02235771  0.01026198 -0.02031237 ... -0.01172898  0.01974814
  0.02721011]",4
Extraversion,Energetic,Vibrant,Animate,Fitness challenges,"[ 0.0265737   0.02024138  0.03468601 ... -0.00290428 -0.00852973
  0.01857166]",4
Extraversion,Energetic,Active,Activate,Dance floors,"[ 0.01977748  0.01619001  0.01823116 ... -0.00739529  0.00910785
 -0.00861302]",4
Extraversion,Assertive,Confident,Assert,Leadership roles,"[-0.00044242 -0.02462157  0.02815915 ... -0.02197546 -0.0061377
  0.0099406 ]",4
Extraversion,Assertive,Bold,Dominate,Debate platforms,"[ 0.02687588 -0.03394359  0.03220766 ...  0.0107333  -0.00325874
  0.01793276]",4
Extraversion,Assertive,Dominant,Command,Management positions,"[ 0.00131012 -0.00951763  0.07990752 ... -0.01835439  0.00387876
  0.02133861]",4
Extraversion,Active,Engaged,Participate,Community projects,"[-0.00662224  0.00117376  0.03794109 ... -0.0085415   0.01998569
 -0.00062703]",4
Extraversion,Active,Involved,Engage,Volunteer work,"[-0.03139539  0.02469647  0.01578259 ...  0.00187056  0.00601591
  0.00428715]",4
Extraversion,Active,Participatory,Act,Group sports,"[-0.00413621  0.04137763  0.02706774 ...  0.01891948  0.00734507
  0.01589298]",4
Extraversion,Enthusiastic,Passionate,Inspire,Rallies,"[ 0.04480093 -0.03674818 -0.00541607 ...  0.01681162 -0.0050217
 -0.00171553]",4
Extraversion,Enthusiastic,Excited,Motivate,Fundraisers,"[ 0.01877711 -0.00676528 -0.02671783 ... -0.00505251 -0.01129911
 -0.0057615 ]",4
Extraversion,Enthusiastic,Zealous,Enthuse,Campaigns,"[ 0.04694758 -0.02023763  0.01119495 ...  0.00436263 -0.00061597
 -0.00861686]",4
Extraversion,Talkative,Chatty,Converse,Conversations,"[ 0.01019017 -0.05566502  0.00926996 ... -0.02487577 -0.00343381
  0.02834541]",4
Extraversion,Talkative,Loquacious,Chat,Dialogues,"[ 0.00540177 -0.04017638  0.00230627 ... -0.01605268 -0.00327047
  0.03130124]",4
Extraversion,Talkative,Garrulous,Discuss,Debates,"[-0.00101861 -0.0265701  -0.0075701  ... -0.00323502  0.01481057
  0.03492597]",4
Introversion,Reserved,Restrained,Reserve,Quiet corners,"[ 0.01210556  0.00226428  0.03683812 ... -0.04803716 -0.00211587
  0.01180874]",2
Introversion,Reserved,Quiet,Refrain,Private spaces,"[ 0.03408815  0.00682317  0.0493898  ... -0.02909848  0.00206517
  0.00677565]",2
Introversion,Reserved,Modest,Withdraw,Secluded areas,"[ 0.01507613 -0.03033954  0.037862   ... -0.03730015 -0.02745229
  0.02177143]",2
Introversion,Reflective,Thoughtful,Reflect,Journals,"[ 0.01671476 -0.00651677  0.00349468 ... -0.01475333  0.00501727
  0.01982745]",2
Introversion,Reflective,Contemplative,Meditate,Personal blogs,"[ 0.01330193 -0.00982416  0.0105183  ... -0.02146158 -0.00700158
 -0.0100579 ]",2
Introversion,Reflective,Deliberative,Ponder,Quiet mornings,"[ 0.01561905  0.00805675  0.03970206 ... -0.02620627 -0.00360482
  0.01251415]",2
Introversion,Quiet,Soft-spoken,Quiet,Libraries,"[-0.01065012 -0.0186734  -0.01254173 ... -0.04274324 -0.00930815
  0.00215751]",2
Introversion,Quiet,Muted,Mute,Study rooms,"[-0.01882987  0.00785917 -0.00586151 ... -0.03690013 -0.02493607
  0.01095609]",2
Introversion,Quiet,Subdued,Hush,Peaceful retreats,"[ 0.00414333 -0.00652331  0.02426139 ... -0.04246465 -0.01364523
  0.00404597]",2
Introversion,Independent,Self-reliant,Operate independently,Solo projects,"[ 0.01264088 -0.01854094  0.06603381 ... -0.02532563 -0.03249051
  0.01329157]",2
Introversion,Independent,Autonomous,Function solo,Independent research,"[ 0.02748349 -0.03091141  0.03418898 ... -0.02446151 -0.02997926
  0.02844571]",2
Introversion,Independent,Solitary,Manage alone,One-person tasks,"[ 0.00367182 -0.01386506  0.07887556 ... -0.04719603 -0.02432886
  0.02785662]",2
