Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Personality Patterns,Schizoid,Isolated,Avoid,Isolation,"[ 0.00703361 -0.02559022  0.06170729 ... -0.04687277 -0.00975955
  0.01276819]",2
Personality Patterns,Schizoid,Detached,Withdraw,Detachment,"[ 0.00409535  0.01207915  0.03959385 ... -0.04952516  0.02371165
 -0.01752429]",2
Personality Patterns,Schizoid,Withdrawn,Isolate,Withdrawal,"[-0.00302474 -0.01252373  0.02729071 ... -0.04369699  0.00418785
 -0.00725407]",2
Personality Patterns,Avoidant,Shy,Avoid,Avoidance,"[ 0.01367082  0.00932526  0.02800915 ... -0.0593826   0.02503201
  0.0083173 ]",2
Personality Patterns,Avoidant,Timid,Hesitate,Hesitation,"[-0.00379798 -0.00944272  0.02213411 ... -0.0459667  -0.01077724
  0.00282911]",2
Personality Patterns,Avoidant,Inhibited,Withdraw,Withdrawal,"[ 0.00772734  0.00061112  0.01659544 ... -0.05546299  0.01872759
  0.00499085]",2
Personality Patterns,Melancholic,Depressed,Feel sad,Sadness,"[ 0.00294295 -0.00807497  0.02128512 ... -0.01016942  0.00807497
  0.00870583]",2
Personality Patterns,Melancholic,Gloomy,Suffer despair,Despair,"[ 0.00169356 -0.00689764  0.0430669  ... -0.0066208   0.00537002
  0.00660079]",2
Personality Patterns,Melancholic,Sad,Experience melancholy,Melancholy,"[-0.00653287 -0.00894649  0.00966735 ... -0.00651999  0.00778795
 -0.00378134]",2
Personality Patterns,Dependent,Submissive,Cling,Dependency,"[-0.02513931  0.03852996  0.03550079 ... -0.03388711 -0.01150803
  0.01473537]",2
Personality Patterns,Dependent,Clingy,Depend,Submissiveness,"[-0.03220807  0.02422475  0.03182333 ... -0.03957305 -0.01433149
  0.00693215]",2
Personality Patterns,Dependent,Needy,Submit,Clinginess,"[-0.02348232  0.01136864  0.01659767 ... -0.04707502  0.00152628
 -0.00133399]",2
Personality Patterns,Histrionic,Dramatic,Exaggerate,Exaggeration,"[ 0.00243752  0.00518015 -0.01256648 ... -0.06652055 -0.00779202
 -0.00946845]",2
Personality Patterns,Histrionic,Attention-seeking,Flirt,Attention-seeking,"[-0.00325746  0.00544744 -0.00962682 ... -0.04495105  0.0312613
 -0.01419439]",2
Personality Patterns,Histrionic,Expressive,Perform,Dramatics,"[-0.0052412  -0.01389023 -0.00461492 ... -0.0652176   0.00159283
 -0.01676624]",2
Personality Patterns,Turbulent,Erratic,Fluctuate,Instability,"[-0.02067054  0.0067318   0.03856651 ... -0.045059   -0.01209712
  0.00333468]",2
Personality Patterns,Turbulent,Volatile,Spiral,Volatility,"[-0.01472136  0.0042949   0.01949737 ... -0.04048373 -0.01472136
 -0.02011544]",0
Personality Patterns,Turbulent,Unpredictable,Erupt,Erraticism,"[-0.00227798 -0.00169542  0.02018835 ... -0.03987512 -0.01492182
 -0.00822024]",0
Personality Patterns,Narcissistic,Grandiose,Boast,Grandiosity,"[ 0.02499584 -0.00931518  0.02887107 ... -0.02306489  0.026221
  0.00824983]",0
Personality Patterns,Narcissistic,Entitled,Demand admiration,Entitlement,"[ 0.01350652  0.00509788  0.00779716 ... -0.02675629  0.01814833
 -0.0172024 ]",0
Personality Patterns,Narcissistic,Arrogant,Exploit,Arrogance,"[ 0.00781523 -0.01096653  0.02590039 ... -0.05944351  0.00409006
 -0.01096653]",0
Personality Patterns,Antisocial,Manipulative,Exploit,Manipulation,"[ 0.00129397  0.00015025  0.02769225 ... -0.0703604  -0.01772147
  0.00860457]",0
Personality Patterns,Antisocial,Irresponsible,Violate,Deceit,"[ 0.02604168  0.0176957   0.0051664  ... -0.03280647 -0.01937314
  0.0350889 ]",0
Personality Patterns,Antisocial,Reckless,Deceive,Recklessness,"[ 0.04562127 -0.00284482  0.01404333 ... -0.0472627  -0.01809479
  0.04593392]",0
Personality Patterns,Sadistic,Cruel,Dominate,Cruelty,"[ 0.02609462  0.00352197  0.04066278 ... -0.0162491  -0.01873049
 -0.01311401]",0
Personality Patterns,Sadistic,Aggressive,Mistreat,Aggression,"[ 0.00539816  0.01540185  0.03381027 ... -0.02293195 -0.02622551
 -0.01117898]",0
Personality Patterns,Sadistic,Vengeful,Punish,Vengeance,"[-0.00309357  0.02341801  0.04372249 ... -0.01576724 -0.00498298
 -0.02780888]",0
Personality Patterns,Compulsive,Perfectionistic,Organize,Perfectionism,"[ 0.02322933 -0.00476984  0.0211152  ... -0.0558026  -0.00495907
 -0.01871397]",0
Personality Patterns,Compulsive,Rigid,Control,Rigidity,"[ 0.02244233  0.02350898  0.02932578 ... -0.05648981  0.01407979
 -0.01275003]",0
Personality Patterns,Compulsive,Controlled,Correct,Control,"[ 0.02064657  0.0067769   0.00592979 ... -0.05573713  0.00341537
 -0.00998588]",0
Personality Patterns,Negativistic,Stubborn,Resist,Resistance,"[-0.00296775  0.01674098  0.02694208 ... -0.02909409 -0.00704644
  0.02070962]",0
Personality Patterns,Negativistic,Resistant,Procrastinate,Stubbornness,"[-0.01013673  0.01626101  0.03466199 ... -0.04074403 -0.02200515
  0.01727468]",0
Personality Patterns,Negativistic,Passive-aggressive,Sabotage,Sabotage,"[ 0.01996254  0.03623337  0.01119816 ... -0.04561303 -0.00688092
  0.00500431]",0
Personality Patterns,Masochistic,Self-defeating,Submit,Self-sacrifice,"[ 0.00405757  0.01989604  0.04344422 ... -0.01700702  0.0042722
 -0.00292649]",0
Personality Patterns,Masochistic,Victim-like,Undermine,Submission,"[ 0.00211319  0.00505174  0.02345144 ... -0.03079425 -0.0065637
  0.00021823]",0
Personality Patterns,Masochistic,Sacrificing,Sacrifice,Victimhood,"[ 0.01060923  0.02150931  0.04789388 ... -0.01666175  0.01161337
 -0.01930713]",0
Personality Patterns,Schizotypal,Eccentric,Isolate,Eccentricity,"[ 0.0261752  -0.03852096  0.04099828 ... -0.0499003  -0.00647914
  0.00574752]",2
Personality Patterns,Schizotypal,Paranoid,Mistrust,Paranoia,"[ 0.00115279  0.00646584  0.02791562 ... -0.04774974 -0.02149121
 -0.01151041]",2
Personality Patterns,Schizotypal,Superstitious,Fantacize,Odd beliefs,"[ 0.03111744 -0.03636364  0.03201679 ... -0.03405531 -0.00165443
  0.00844638]",2
Personality Patterns,Borderline,Unstable,Self-harm,Instability,"[-0.01273819  0.03014401  0.05637659 ... -0.05580292 -0.032882
  0.00196223]",2
Personality Patterns,Borderline,Impulsive,Overreact,Impulsivity,"[-0.00050195  0.02447427  0.01536576 ... -0.0602245  -0.03362148
  0.00547026]",0
Personality Patterns,Borderline,Self-harming,Idealize/devalue,Self-destruction,"[ 9.75327566e-03  3.93745936e-02  2.76400745e-02 ... -2.60967892e-02
 -5.90896962e-05 -1.05318688e-02]",0
Personality Patterns,Paranoid,Suspicious,Mistrust,Suspicion,"[-0.00989138  0.00423396  0.00038876 ... -0.05662052 -0.02567521
 -0.02045807]",2
Personality Patterns,Paranoid,Distrustful,Suspect,Distrust,"[-0.01239085 -0.00406145  0.00276604 ... -0.04983877 -0.01373007
 -0.01682152]",2
Personality Patterns,Paranoid,Cynical,Question motives,Cynicism,"[-0.00330621  0.0003071  -0.00329742 ... -0.03373741 -0.02895395
 -0.02872885]",0
Clinical Syndromes,Generalized Anxiety,Worried,Worry,Worry,"[-0.01627952  0.00341345  0.01592942 ... -0.00818977 -0.01791747
  0.01722978]",1
Clinical Syndromes,Generalized Anxiety,Nervous,Fret,Nervousness,"[-0.01446659  0.00079229  0.01108901 ...  0.00183131  0.00248108
  0.02402925]",1
Clinical Syndromes,Generalized Anxiety,Tense,Tremble,Tension,"[-0.02305762  0.01118006 -0.00576776 ...  0.0109185  -0.00846385
  0.0082157 ]",4
Clinical Syndromes,Somatic Symptom Disorder,Hypochondriacal,Report pain,Somatic complaints,"[-0.00439875  0.01483526  0.03340201 ...  0.0218318  -0.0226092
 -0.01771162]",1
Clinical Syndromes,Somatic Symptom Disorder,Complaining,Complain,Preoccupation,"[ 0.01480569  0.00692981  0.019101   ...  0.01939104 -0.01388034
  0.00042211]",1
Clinical Syndromes,Somatic Symptom Disorder,Pained,Monitor symptoms,Health Anxiety,"[-0.03650689  0.00669137  0.00452661 ... -0.00045183 -0.02505506
 -0.00458341]",1
Clinical Syndromes,Bipolar Spectrum,Elevated mood,Energize,Euphoria,"[ 0.00841038 -0.01596523 -0.02109839 ...  0.0268939  -0.03027461
  0.01418518]",4
Clinical Syndromes,Bipolar Spectrum,Labile,Spiral,Mood swings,"[-0.01879272  0.0003262   0.03525873 ...  0.02209104 -0.03927295
  0.02246178]",1
Clinical Syndromes,Bipolar Spectrum,Manic,Depress,Depression,"[-0.0279361   0.00875656  0.01451729 ...  0.0372731  -0.04091803
  0.01176487]",1
Clinical Syndromes,Persistent Depression,Hopeless,Feel sad,Hopelessness,"[ 0.0160198  -0.03894604  0.04494372 ...  0.0222252  -0.03899796
  0.0105349 ]",4
Clinical Syndromes,Persistent Depression,Fatigued,Lose hope,Fatigue,"[-0.00438807 -0.01962039  0.01451643 ...  0.02844956 -0.02093283
  0.01855982]",4
Clinical Syndromes,Persistent Depression,Low mood,Tire easily,Dysphoria,"[ 0.00933154 -0.00232767  0.02320012 ...  0.02070892 -0.03543341
  0.02009656]",4
Clinical Syndromes,Alcohol Use Disorder,Craving,Crave,Craving,"[-0.02705195  0.01015109 -0.02330061 ...  0.02747464 -0.0356642
  0.01213904]",1
Clinical Syndromes,Alcohol Use Disorder,Tolerance,Tolerate,Tolerance,"[ 0.00575444  0.01635688 -0.01679636 ...  0.02467953 -0.02327869
  0.0349661 ]",1
