Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Interpersonally Exploitive,Manipulative,Scheming,Manipulate,Manipulation,"[-0.00361877  0.01419071 -0.01608641 ... -0.05817106 -0.0285439
  0.01703426]",2
Interpersonally Exploitive,Manipulative,Deceptive,Use others,Exploitation,"[-0.00493345  0.0095025   0.00868259 ... -0.03607585 -0.03890697
 -0.00262089]",2
Interpersonally Exploitive,Manipulative,Exploitative,Deceive,Deception,"[ 0.00944052  0.00980962 -0.01210232 ... -0.04023223 -0.03151572
  0.02072656]",2
Interpersonally Exploitive,Manipulative,Cunning,Exploit,Cunning,"[ 0.00193397  0.01432929  0.01152167 ... -0.06672564 -0.03826121
  0.01321669]",2
Interpersonally Exploitive,Calculating,Strategic,Calculate,Strategy,"[ 0.02001711  0.01038638  0.03250743 ... -0.0513244   0.00069777
  0.01855028]",2
Interpersonally Exploitive,Calculating,Deliberate,Scheme,Scheme,"[ 0.02822968  0.00403062  0.00818385 ... -0.05127933 -0.00904974
  0.01206888]",2
Interpersonally Exploitive,Calculating,Crafty,Strategize,Calculation,"[ 0.04259748  0.01097599  0.01833636 ... -0.0593691  -0.00390047
  0.03187215]",2
Interpersonally Exploitive,Calculating,Machiavellian,Take advantage,Exploitation,"[ 0.00402883  0.00182439  0.02954973 ... -0.05089203 -0.01383131
  0.02213609]",2
Interpersonally Exploitive,Selfish,Self-centered,Prioritize self,Selfishness,"[ 0.02003961 -0.0150868   0.01848383 ... -0.0263341   0.00755054
  0.00712591]",2
Interpersonally Exploitive,Selfish,Egocentric,Ignore needs of others,Egoism,"[ 0.00885477  0.00591902  0.02619696 ... -0.01551802 -0.00670759
  0.00482642]",2
Interpersonally Exploitive,Selfish,Self-serving,Demand,Dominance,"[ 0.00587899  0.00476752  0.03290804 ... -0.00977806 -0.00741217
 -0.00383117]",2
Interpersonally Exploitive,Selfish,Unempathetic,Dominate,Entitlement,"[ 0.01537057  0.00931934  0.00489098 ... -0.02268278 -0.00018479
  0.00042763]",2
Interpersonally Exploitive,Unscrupulous,Unethical,Exploit,Corruption,"[-0.00842403 -0.00279241  0.01765927 ... -0.05410101 -0.03190212
  0.01965608]",2
Interpersonally Exploitive,Unscrupulous,Immoral,Manipulate,Dishonesty,"[-0.0022605  -0.00161172 -0.00844395 ... -0.04966694 -0.04459773
  0.02339529]",2
Interpersonally Exploitive,Unscrupulous,Dishonest,Deceive,Exploitation,"[ 0.00261286  0.00044506 -0.01261738 ... -0.03165841 -0.02198583
  0.02204517]",2
Interpersonally Exploitive,Unscrupulous,Corrupt,Use,Manipulation,"[-0.01073038  0.00343836  0.01270584 ... -0.05731846 -0.04205349
  0.01637243]",2
Interpersonally Exploitive,Dominant,Authoritative,Dominate,Dominance,"[ 0.02731596  0.0166419   0.03302864 ... -0.02255304 -0.01188606
  0.02103627]",2
Interpersonally Exploitive,Dominant,Controlling,Control,Authority,"[-0.00307255  0.0098615   0.0446996  ... -0.04745847 -0.00606438
  0.02168943]",2
Interpersonally Exploitive,Dominant,Assertive,Command,Control,"[ 2.87906881e-02 -1.05767313e-03  1.84428901e-03 ... -2.47321539e-02
 -5.80060478e-05  2.96258386e-02]",2
Interpersonally Exploitive,Dominant,Forceful,Enforce,Power,"[-0.00297957  0.01329488  0.01073734 ... -0.03625481 -0.02190938
  0.02860392]",2
Interpersonally Exploitive,Entitled,Privileged,Demand,Entitlement,"[ 0.01904071  0.00576921  0.00502592 ... -0.01897909  0.00861916
 -0.00763708]",2
Interpersonally Exploitive,Entitled,Demanding,Expect favors,Privilege,"[ 0.02831488  0.00115794  0.03355838 ... -0.03254146  0.00052882
  0.00153928]",2
