Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Hypochondriasis,Obsessed,Preoccupied,Obsess,Obsession,"[ 0.00517587 -0.01278539  0.01384441 ... -0.01235056 -0.01744929
  0.00983977]",1
Hypochondriasis,Obsessed,Absorbed,Concentrate,Preoccupation,"[-0.00280138  0.00160691  0.0089352  ... -0.01581181 -0.01059231
 -0.00072544]",1
Hypochondriasis,Obsessed,Engrossed,Engross,Absorption,"[ 0.01002042  0.00890948  0.00406006 ... -0.011241   -0.01549475
  0.00495905]",1
Hypochondriasis,Obsessed,Fixated,Fixate,Fixation,"[-0.00347746  0.00475772  0.01993054 ... -0.01797901 -0.02552216
  0.00885802]",1
Hypochondriasis,Obsessed,Compulsive,Compel,Compulsion,"[ 0.00084013  0.00424248  0.01902604 ... -0.01042137 -0.03329204
  0.00152272]",1
Hypochondriasis,Obsessed,Fanatical,Ponder,Fascination,"[-0.00420292 -0.01632546  0.02279377 ... -0.01196415 -0.01446896
  0.00115019]",1
Hypochondriasis,Worried,Anxious,Worry,Worry,"[-0.01622389 -0.01528126  0.00392321 ... -0.01841451 -0.0274027
  0.00366432]",1
Hypochondriasis,Worried,Nervous,Fret,Anxiety,"[-0.02228554 -0.02611918 -0.01154073 ... -0.01047288 -0.02383757
  0.005127  ]",1
Hypochondriasis,Worried,Apprehensive,Stress,Apprehension,"[-0.00511431 -0.02084432  0.00368073 ... -0.01080923 -0.03870679
  0.00848682]",1
Hypochondriasis,Worried,Tense,Panic,Tension,"[-2.16004122e-02 -1.88399758e-02 -1.24003964e-05 ...  3.93707212e-03
 -3.46434712e-02 -1.17042493e-02]",1
Hypochondriasis,Worried,Distressed,Agitate,Distress,"[-0.00749794 -0.01840992  0.0057549  ...  0.01073912 -0.04497322
  0.00489419]",1
Hypochondriasis,Worried,Uneasy,Overthink,Uneasiness,"[-0.00138338 -0.04383202 -0.02154802 ... -0.00393888 -0.03320112
 -0.00332216]",1
Hypochondriasis,Complaining,Grousing,Complain,Complaint,"[-0.04455926  0.00229666  0.05837263 ...  0.00396577 -0.02425509
  0.00124302]",1
Hypochondriasis,Complaining,Grumbling,Grumble,Grumbling,"[-0.05108545  0.01559769  0.05262709 ... -0.00296613 -0.03246496
 -0.01074608]",1
Hypochondriasis,Complaining,Moaning,Moan,Moan,"[-0.01953615  0.021804    0.02069231 ...  0.00467282 -0.02250066
 -0.00085508]",1
Hypochondriasis,Complaining,Murmuring,Murmur,Murmur,"[-0.03167929  0.00601455  0.02088152 ... -0.01582507 -0.03916924
 -0.01868116]",1
Hypochondriasis,Complaining,Protesting,Protest,Protest,"[-0.01268469 -0.00049985  0.06862106 ...  0.01749559 -0.04891339
 -0.02897368]",1
Hypochondriasis,Complaining,Whining,Whine,Whine,"[-0.04132246  0.01277402  0.02493904 ... -0.00342002 -0.01813613
 -0.00264207]",1
Hypochondriasis,Fearful,Afraid,Fear,Fear,"[-0.02755984 -0.03458329  0.0249038  ...  0.0092003  -0.0218918
 -0.00842677]",1
Hypochondriasis,Fearful,Panic-stricken,Dread,Dread,"[-0.01043826 -0.02013388  0.01802972 ...  0.00578299 -0.02288441
  0.00267489]",1
Hypochondriasis,Fearful,Hesitant,Tremble,Trembling,"[-0.03272051 -0.02390439  0.00545342 ...  0.00235754 -0.03254506
 -0.00039475]",1
Hypochondriasis,Fearful,Cautious,Hesitate,Hesitation,"[ 0.00194171 -0.02565209  0.02959857 ... -0.00533368 -0.04352992
 -0.01618648]",1
Hypochondriasis,Fearful,Alarmed,Cower,Cowardice,"[ 0.00947109 -0.02802287  0.00306184 ... -0.0110472  -0.02878923
 -0.00894331]",1
Hypochondriasis,Fearful,Timid,Shrink,Timidity,"[-0.03318647 -0.02341662 -0.02161209 ... -0.02054065 -0.02644767
  0.01869382]",1
Hypochondriasis,Self-Diagnosing,Hypochondriac,Diagnose,Diagnosis,"[-0.03042043 -0.03519385 -0.00026737 ...  0.02408284 -0.04959501
 -0.008549  ]",1
Hypochondriasis,Self-Diagnosing,Overanalyzing,Speculate,Speculation,"[-0.007417   -0.03429382  0.01102199 ...  0.00677453 -0.03812011
  0.01247113]",1
Hypochondriasis,Self-Diagnosing,Speculative,Overanalyze,Overanalysis,"[-0.0142371  -0.03300419  0.00407405 ...  0.00815545 -0.03635756
  0.00915558]",1
Hypochondriasis,Self-Diagnosing,Worried,Fixate,Fixation,"[-0.0254138  -0.03049655  0.01682767 ...  0.00175527 -0.04626172
  0.00531249]",1
Hypochondriasis,Self-Diagnosing,Fixated,Examine,Examination,"[-0.02023403 -0.02528526  0.03062762 ...  0.00539331 -0.05682996
  0.0077588 ]",1
Hypochondriasis,Self-Diagnosing,Obsessive,Suspect,Suspicion,"[-0.01296212 -0.03526053  0.00469048 ...  0.00592267 -0.05077635
  0.00061376]",1
Hypochondriasis,Avoidant,Evading,Avoid,Avoidance,"[ 0.00677389  0.01270472  0.06457192 ... -0.00588317 -0.03307771
  0.01510197]",1
Hypochondriasis,Avoidant,Escaping,Evade,Evasion,"[-0.00657889  0.01739398  0.07186829 ... -0.02132815 -0.05650334
  0.01736301]",1
Hypochondriasis,Avoidant,Dodging,Dodge,Dodging,"[-0.00505767 -0.00656079  0.04374368 ... -0.0221786  -0.03678028
  0.01863555]",1
Hypochondriasis,Avoidant,Fleeing,Escape,Escape,"[-0.0229248   0.01555393  0.06255283 ... -0.00590743 -0.04364294
  0.00731724]",1
Hypochondriasis,Avoidant,Withdrawing,Withdraw,Withdrawal,"[-0.00718817  0.00337949  0.05089787 ... -0.00753802 -0.02755526
  0.00111537]",1
Hypochondriasis,Avoidant,Hiding,Hide,Concealment,"[-0.01563912 -0.01332879  0.04614725 ... -0.025458   -0.0398679
  0.0053093 ]",1
Depression,Sad,Unhappy,Sadden,Sadness,"[-3.40601429e-04 -6.33589402e-02 -7.70969200e-05 ...  1.19363712e-02
 -1.73482802e-02  2.09436491e-02]",2
Depression,Sad,Downcast,Grieve,Unhappiness,"[-0.01043875 -0.01064102  0.00061871 ...  0.02535212  0.00355518
  0.02618575]",2
Depression,Sad,Miserable,Mope,Misery,"[ 0.00827845 -0.008851   -0.0367512  ...  0.02173009 -0.02428974
  0.03014999]",2
Depression,Sad,Gloomy,Despair,Gloom,"[-0.01487943 -0.02385167  0.00893741 ...  0.03062265 -0.00240154
  0.01932376]",2
Depression,Sad,Melancholic,Lament,Melancholy,"[-0.00034037 -0.0323335  -0.01771897 ...  0.03138638  0.003749
  0.01499601]",2
Depression,Sad,Dismal,Mourn,Despondency,"[ 0.01123501 -0.01919369  0.0054517  ...  0.02185985 -0.01197782
  0.0187029 ]",2
Depression,Hopeless,Despairing,Despair,Hopelessness,"[ 0.01169826 -0.04940045  0.02893375 ...  0.01773314 -0.02748987
  0.01512573]",2
Depression,Hopeless,Pessimistic,Lose hope,Despair,"[ 0.00063517 -0.04707799  0.01211763 ...  0.01372439 -0.02236071
  0.01327583]",2
Depression,Hopeless,Despondent,Depress,Pessimism,"[ 0.00049832 -0.04527546  0.00712798 ...  0.01246876 -0.01295366
  0.01780262]",2
Depression,Hopeless,Dejected,Demoralize,Dejection,"[ 0.0101152  -0.04939577 -0.01152879 ...  0.03203257 -0.02621816
  0.02899201]",2
Depression,Hopeless,Forlorn,Resign,Forlornness,"[-0.00582772 -0.03279468  0.01267942 ...  0.05113001 -0.03900725
  0.00664209]",2
Depression,Hopeless,Resigned,Surrender,Resignation,"[-0.00393735 -0.01939039  0.01083124 ...  0.03940172 -0.0307085
  0.02003956]",2
Depression,Lethargic,Sluggish,Languish,Lethargy,"[ 0.01270757 -0.01186956 -0.03288856 ...  0.01770817 -0.01097659
  0.01809283]",2
Depression,Lethargic,Lazy,Stagnate,Sluggishness,"[ 0.01345537 -0.00223504 -0.01892226 ...  0.0253964  -0.01476826
  0.03742773]",2
