Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Behavioral Activation System,Approach Motivation,Driven,Pursue,Drive,"[ 0.0078918   0.01555007 -0.03373761 ...  0.00274393 -0.04324348
  0.02762473]",2
Behavioral Activation System,Approach Motivation,Ambitious,Strive,Ambition,"[ 0.01300646  0.00213067 -0.02732628 ...  0.01518127 -0.04386327
  0.02053354]",2
Behavioral Activation System,Approach Motivation,Energetic,Exert,Energy,"[ 0.00587875  0.0197305  -0.06185625 ...  0.01329541 -0.01760437
  0.02799406]",2
Behavioral Activation System,Approach Motivation,Motivated,Engage,Motivation,"[ 0.00473911  0.00351205 -0.06141172 ...  0.01953633 -0.03134096
  0.0358143 ]",2
Behavioral Activation System,Reward-Seeking,Desire for rewards,Seek,Reward-seeking,"[ 0.02369971 -0.01571997 -0.03035579 ... -0.00384805 -0.01011019
  0.01937577]",2
Behavioral Activation System,Reward-Seeking,Seeking pleasure,Chase,Pleasure-seeking,"[ 0.02627026 -0.02258529 -0.01890032 ... -0.01661537 -0.01252097
  0.0101964 ]",2
Behavioral Activation System,Reward-Seeking,Chasing gratification,Pursue,Gratification,"[ 0.00532372 -0.00629196 -0.01096909 ... -0.02684834 -0.01929929
  0.03114145]",2
Behavioral Activation System,Reward-Seeking,Goal-oriented,Strive for,Goal orientation,"[ 0.02830962  0.02066579 -0.03369966 ... -0.00246994 -0.0260439
  0.02214447]",2
Behavioral Activation System,Positive Affect,Happiness,Enjoy,Happiness,"[ 0.03612524 -0.03968107 -0.0241565  ...  0.00153233 -0.01522826
  0.03705285]",2
Behavioral Activation System,Positive Affect,Joy,Rejoice,Joy,"[ 0.02480887 -0.02802747 -0.04064553 ...  0.00492047 -0.00361381
  0.04263935]",2
Behavioral Activation System,Positive Affect,Excitement,Celebrate,Excitement,"[ 0.02567208 -0.03338208 -0.0553109  ... -0.00127714 -0.02877284
  0.03547719]",2
Behavioral Activation System,Positive Affect,Elation,Delight in,Elation,"[ 0.02112144 -0.04811458 -0.04608314 ...  0.01137469 -0.01060246
  0.03603724]",2
Behavioral Activation System,Impulsivity,Spontaneous,Act impulsively,Impulsiveness,"[ 0.01703809  0.00131587 -0.02454993 ... -0.01684315 -0.03927469
  0.04135409]",2
Behavioral Activation System,Impulsivity,Impulsive,Risk,Spontaneity,"[ 0.02145964  0.01341228 -0.01441136 ... -0.02304722 -0.03760912
  0.02876797]",2
Behavioral Activation System,Impulsivity,Risk-taking,Venture,Risk-taking,"[ 0.01654463  0.00883045 -0.00276907 ... -0.01375397 -0.0169433
  0.0329298 ]",2
Behavioral Activation System,Impulsivity,Adventurous,Dare,Adventurousness,"[ 0.0374     -0.00122069 -0.01753931 ... -0.01177885 -0.04095371
  0.03143892]",2
Behavioral Inhibition System,Avoidance Motivation,Avoiding punishment,Avoid,Avoidance,"[ 0.02551988  0.02457185  0.00383054 ... -0.01623177 -0.01226671
  0.01984453]",0
