Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Narcissistic Admiration,Grandiose,Impressive,Boast,Grandiosity,"[ 0.04036317 -0.01183274  0.01045861 ...  0.01562893  0.01911282
  0.00695737]",2
Narcissistic Admiration,Grandiose,Majestic,Exaggerate,Grandeur,"[ 0.03806201 -0.00842241  0.01044743 ...  0.00274324  0.01102901
 -0.00898998]",2
Narcissistic Admiration,Grandiose,Ambitious,Glorify,Splendor,"[ 0.02584441 -0.01328386  0.02040568 ...  0.01266487  0.01217108
 -0.00510142]",2
Narcissistic Admiration,Grandiose,Self-important,Magnify,Magnificence,"[ 0.04595562 -0.01207079  0.00828176 ... -0.00483441  0.00472277
 -0.00536893]",2
Narcissistic Admiration,Unique,Exceptional,Differentiate,Uniqueness,"[ 0.03803597 -0.01972454  0.00469194 ...  0.00147198  0.00367259
 -0.00161458]",2
Narcissistic Admiration,Unique,Distinctive,Distinguish,Singularity,"[ 0.05860877 -0.020226    0.00846636 ...  0.0175156   0.00459384
  0.00356287]",2
Narcissistic Admiration,Unique,Special,Stand out,Individuality,"[ 0.06236379 -0.02676613  0.01600537 ...  0.0014746   0.00453724
  0.00130848]",2
Narcissistic Admiration,Unique,Extraordinary,Excel,Specialness,"[ 0.05074927 -0.0114347   0.01558811 ... -0.01161051  0.00666963
  0.0091419 ]",2
Narcissistic Admiration,Charming,Captivating,Charm,Charm,"[ 0.05063786 -0.02239539 -0.01478317 ... -0.02865618  0.01603808
 -0.00906021]",2
Narcissistic Admiration,Charming,Engaging,Captivate,Charisma,"[ 0.05809986 -0.02267211 -0.01832422 ... -0.02610105  0.01355115
 -0.00828431]",2
Narcissistic Admiration,Charming,Charismatic,Attract,Allure,"[ 0.0419995  -0.02929056 -0.02399972 ... -0.01611799  0.00831808
 -0.00914307]",2
Narcissistic Admiration,Charming,Enchanting,Engage,Appeal,"[ 0.0619635  -0.02454815 -0.01208567 ... -0.01864487  0.00484264
  0.00127433]",2
Narcissistic Admiration,Confident,Self-assured,Assert,Confidence,"[ 0.03861921 -0.04748445  0.00637536 ...  0.00340585  0.01112311
 -0.00408979]",0
Narcissistic Admiration,Confident,Assertive,Declare,Self-assurance,"[ 0.03539281 -0.02542917  0.00300757 ...  0.00977203  0.00492023
  0.00639151]",0
Narcissistic Admiration,Confident,Bold,Proclaim,Boldness,"[ 0.05312641 -0.04237058  0.02437798 ...  0.00276168 -0.01119571
 -0.00191207]",2
Narcissistic Admiration,Confident,Assured,Express,Certainty,"[ 0.02990744 -0.034382   -0.01360413 ... -0.00243936  0.0041931
 -0.01976027]",0
Narcissistic Admiration,Admired,Respected,Admire,Admiration,"[ 0.05232625 -0.03141703 -0.00288466 ...  0.00335352  0.02411477
  0.00018715]",0
Narcissistic Admiration,Admired,Esteemed,Respect,Respect,"[ 0.0541255  -0.02753939 -0.00642144 ...  0.00303033  0.02009846
 -0.00301047]",0
Narcissistic Admiration,Admired,Valued,Esteem,Esteem,"[ 0.04960042 -0.0153997  -0.00043479 ... -0.00114577  0.03112078
  0.0003375 ]",0
Narcissistic Admiration,Admired,Appreciated,Value,Approval,"[ 0.03442178 -0.00460073 -0.01257668 ...  0.00124729  0.0386274
 -0.00202077]",0
Narcissistic Admiration,Self-Promoting,Ambitious,Promote oneself,Self-promotion,"[ 0.0445922  -0.02748536  0.01763803 ... -0.00864195  0.01351114
 -0.00701435]",2
Narcissistic Admiration,Self-Promoting,Egotistical,Advertise,Advertising,"[ 0.03859396 -0.02943363  0.0131877  ...  0.00359844  0.02014409
 -0.00725072]",2
Narcissistic Admiration,Self-Promoting,Braggart,Showcase,Publicity,"[ 0.032116   -0.03553699 -0.0064549  ... -0.01872696  0.01094864
 -0.01939051]",2
Narcissistic Admiration,Self-Promoting,Self-glorifying,Publicize,Self-advocacy,"[ 0.05280642 -0.02726357  0.03963302 ...  0.00716497 -0.00025498
 -0.01147383]",2
Narcissistic Rivalry,Devaluing,Belittling,Devalue,Devaluation,"[ 0.00600046  0.01650553  0.01959947 ... -0.00430698  0.00369705
  0.02709579]",1
Narcissistic Rivalry,Devaluing,Derogatory,Belittle,Derogation,"[ 0.03831973  0.01636187  0.02620456 ...  0.00236303 -0.00071503
  0.02802255]",1
Narcissistic Rivalry,Devaluing,Dismissive,Disparage,Disparagement,"[ 0.03417412  0.01795379  0.02164086 ...  0.00421673 -0.00225454
  0.02248008]",1
Narcissistic Rivalry,Devaluing,Critical,Criticize,Criticism,"[ 0.02077313  0.017871    0.00411713 ... -0.02261994  0.01299709
  0.02198119]",1
Narcissistic Rivalry,Supremacist,Dominating,Dominate,Supremacy,"[ 0.03099968  0.00227574  0.05208173 ...  0.0092234   0.00685733
 -0.00043035]",1
Narcissistic Rivalry,Supremacist,Superior,Assert superiority,Dominance,"[ 0.0257691  -0.00234985  0.04807415 ...  0.00927265  0.00724492
 -0.00694217]",1
Narcissistic Rivalry,Supremacist,Elitist,Control,Superiority,"[ 0.01365155  0.00409042  0.04451531 ...  0.00151364  0.02070077
 -0.01686623]",1
Narcissistic Rivalry,Supremacist,Overbearing,Overpower,Control,"[ 0.02768565  0.00032148  0.03189106 ... -0.0102507   0.01442691
 -0.0037637 ]",1
Narcissistic Rivalry,Aggressive,Hostile,Attack,Aggression,"[ 0.01237949  0.0211889   0.04226878 ... -0.0120184  -0.01800034
  0.01746892]",1
Narcissistic Rivalry,Aggressive,Confrontational,Confront,Hostility,"[ 0.01301992  0.01072229  0.06121599 ... -0.01030207 -0.0201297
  0.00724534]",1
Narcissistic Rivalry,Aggressive,Belligerent,Provoke,Confrontation,"[ 0.01476911 -0.00191978  0.0432763  ... -0.00670836 -0.02446343
  0.00264117]",1
Narcissistic Rivalry,Aggressive,Combative,Intimidate,Belligerence,"[ 0.0306006   0.02260487  0.0260471  ... -0.01723825 -0.01191906
  0.00219713]",1
Narcissistic Rivalry,Vindictive,Revengeful,Retaliate,Vindictiveness,"[ 0.0085615   0.02719306  0.02943956 ... -0.01236879  0.00830028
 -0.00463993]",4
Narcissistic Rivalry,Vindictive,Resentful,Punish,Revenge,"[ 0.01706888  0.03632258  0.03012316 ... -0.0031714  -0.00043952
 -0.00978388]",4
Narcissistic Rivalry,Vindictive,Spiteful,Exact revenge,Resentment,"[ 0.00848589  0.02474776  0.02429659 ...  0.0062168  -0.00377519
 -0.01107346]",4
Narcissistic Rivalry,Vindictive,Unforgiving,Settle scores,Spite,"[ 0.02489765  0.01453325  0.01797362 ...  0.00375773  0.00023069
 -0.00608377]",4
Narcissistic Rivalry,Envious,Jealous,Envy,Envy,"[ 0.01464679 -0.00608941  0.00744411 ... -0.03235169  0.01500893
  0.00934202]",3
Narcissistic Rivalry,Envious,Covetous,Covet,Jealousy,"[ 0.01891814 -0.00158588  0.00166939 ... -0.0245142   0.01762165
 -0.00096162]",3
Narcissistic Rivalry,Envious,Resentful,Resent,Covetousness,"[ 0.02163112  0.01050073  0.01258645 ... -0.00369264  0.0179188
  0.00245629]",3
Narcissistic Rivalry,Envious,Grudging,Grudge,Resentment,"[ 0.00659584  0.03128621  0.03513266 ... -0.00335379  0.00829559
  0.00503153]",3
