Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Authority,Dominant,Commanding,Lead,Leadership,"[ 0.01728888 -0.00834297  0.05089914 ... -0.01643355 -0.01034809
  0.02389315]",2
Authority,Dominant,Assertive,Command,Authority,"[ 0.01656316 -0.00531504  0.01449822 ... -0.03289365 -0.00642386
  0.0195297 ]",2
Authority,Dominant,Influential,Influence,Influence,"[ 0.00813076 -0.06073178  0.02061728 ... -0.03667137  0.00330139
  0.04803784]",2
Authority,Dominant,Authoritative,Direct,Command,"[ 0.03243174  0.01263432  0.02687997 ... -0.02018561  0.00094849
  0.00249207]",2
Authority,Power-Seeking,Ambitious,Seek power,Power,"[ 0.00504838 -0.00752098  0.03442347 ... -0.03487606 -0.0228558
 -0.01266587]",2
Authority,Power-Seeking,Status-oriented,Aspire,Status,"[ 0.02538336 -0.02191865  0.00070102 ... -0.01838055 -0.03420661
  0.01901183]",2
Authority,Power-Seeking,Aspiring,Dominate,Ambition,"[ 0.03264775 -0.00927161  0.03250174 ... -0.02775643 -0.02515746
 -0.00302422]",2
Authority,Power-Seeking,Controlling,Take charge,Control,"[ 0.02892878 -0.01240797  0.0569683  ... -0.04510222 -0.02778941
 -0.01800754]",2
Authority,Confident,Self-assured,Assert,Confidence,"[ 0.02186854 -0.03897243  0.03432994 ... -0.02622087 -0.02289172
  0.00370711]",2
Authority,Confident,Decisive,Convince,Assurance,"[ 0.02252293 -0.03305835 -0.00861989 ... -0.01264405 -0.01055859
  0.00554963]",2
Authority,Confident,Bold,Command,Self-belief,"[ 0.04114782 -0.01525333  0.02456811 ... -0.02218667 -0.01423594
 -0.00600638]",2
Authority,Confident,Self-reliant,Direct,Certainty,"[ 0.02752025 -0.01839863  0.029789   ... -0.02309152 -0.0409929
 -0.01010837]",2
Authority,Leader-Oriented,Guiding,Guide,Leadership,"[-0.00645353 -0.023212    0.01258342 ... -0.03984749 -0.01370971
 -0.00203898]",2
Authority,Leader-Oriented,Inspiring,Motivate,Guidance,"[ 0.01812753 -0.05314877 -0.00819603 ... -0.0363364  -0.04352234
  0.00035336]",2
Authority,Leader-Oriented,Directing,Influence,Direction,"[ 0.00272938 -0.0205149   0.01398023 ... -0.04464697 -0.00804622
  0.00037149]",2
Authority,Leader-Oriented,Motivational,Lead,Motivation,"[ 0.00212583 -0.03522907 -0.02126178 ... -0.02754775 -0.04177753
 -0.00472829]",2
Authority,Authoritative,Decisive,Establish authority,Authority,"[ 0.0135868  -0.01289756  0.0101338  ... -0.04075357  0.01487655
 -0.00303843]",2
Authority,Authoritative,Commanding,Enforce,Control,"[ 0.04553598  0.02088691  0.02197376 ... -0.03717564 -0.00664995
 -0.00638173]",2
Authority,Authoritative,Strong-willed,Govern,Command,"[ 0.0555113   0.00133005  0.0184606  ... -0.02094983 -0.00474825
 -0.02274841]",2
Authority,Authoritative,Assertive,Dictate,Regulation,"[ 0.03634431  0.02644134  0.01237512 ... -0.01633774 -0.01628042
 -0.00984564]",2
Authority,Influential,Persuasive,Influence,Influence,"[ 0.00367989 -0.05564167 -0.02306442 ... -0.05051938  0.00949877
  0.02071435]",2
Authority,Influential,Powerful,Persuade,Persuasion,"[ 0.01868207 -0.05445975 -0.02918561 ... -0.04896181 -0.00208224
  0.0113378 ]",2
Authority,Influential,Charismatic,Convince,Charisma,"[ 0.02472005 -0.02861861 -0.04243146 ... -0.0626105  -0.00212814
  0.01279076]",2
Authority,Influential,Compelling,Shape opinion,Impact,"[ 0.05011243 -0.03817124 -0.02609962 ... -0.03292523 -0.00179516
 -0.00879649]",2
Self-Sufficiency,Independent,Self-reliant,Function alone,Independence,"[ 0.05000972 -0.00999218  0.06019017 ... -0.01252335 -0.04568652
  0.01568905]",4
Self-Sufficiency,Independent,Autonomous,Operate independently,Autonomy,"[ 0.02926094 -0.0052491   0.03883589 ...  0.0027958  -0.04458384
  0.02827813]",4
Self-Sufficiency,Independent,Self-governing,Sustain,Self-sufficiency,"[ 0.04331559 -0.00694408  0.02796214 ... -0.00339877 -0.04900523
  0.02191512]",4
