Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Extraversion,Active,Energetic,Activate,Activator,"[ 0.01025766  0.01355082 -0.03115114 ... -0.01100611 -0.00538488
  0.02503751]",2
Extraversion,Active,Vigorous,Mobilize,Mobilization,"[ 0.027024    0.04365532 -0.00403698 ...  0.01047577 -0.02237146
  0.01063438]",2
Extraversion,Active,Dynamic,Energize,Energy,"[ 0.00309241  0.00404168 -0.0299884  ... -0.00426686  0.00557138
  0.02529835]",2
Extraversion,Active,Vital,Animate,Animation,"[ 0.0225153   0.06343442  0.01132291 ... -0.00647315 -0.01293814
  0.03197826]",2
Extraversion,Assertive,Confident,Assert,Assertion,"[ 0.01417908 -0.04815594 -0.0059174  ...  0.0027791  -0.00456755
  0.01964653]",2
Extraversion,Assertive,Decisive,Command,Command,"[ 0.00919023 -0.01381135  0.0257802  ...  0.00039005  0.00751861
  0.02612196]",2
Extraversion,Assertive,Aggressive,Declare,Declaration,"[ 0.01142552 -0.02716684  0.01320484 ...  0.003464   -0.014015
  0.02000412]",2
Extraversion,Assertive,Dominant,Insist,Insistence,"[ 0.01244384 -0.02926319  0.03577991 ...  0.01014747 -0.02285508
  0.02094661]",2
Extraversion,Energetic,Vivacious,Revitalize,Revitalization,"[ 0.02107673  0.01355656 -0.00337467 ... -0.00447663 -0.00090428
  0.01509823]",2
Extraversion,Energetic,Vibrant,Stimulate,Stimulation,"[ 0.02711065 -0.02766684 -0.02442953 ... -0.01255704 -0.00180583
  0.02760979]",2
Extraversion,Energetic,Lively,Invigorate,Invigoration,"[ 0.01625585 -0.00064224 -0.01744043 ... -0.00729301 -0.00220146
  0.01131772]",2
Extraversion,Energetic,Effervescent,Animate,Animation,"[ 0.03573273  0.02024654 -0.02178311 ... -0.01376885  0.00494865
  0.02452483]",2
Extraversion,Enthusiastic,Excited,Inspire,Inspiration,"[ 0.02221046 -0.049279   -0.04526453 ... -0.00361447 -0.01521424
  0.00969435]",2
Extraversion,Enthusiastic,Eager,Motivate,Motivation,"[ 0.02474154 -0.02225897 -0.03646713 ...  0.00870302 -0.02436285
  0.00990924]",2
Extraversion,Enthusiastic,Zealous,Excite,Excitement,"[ 0.02399484 -0.02527208 -0.0364228  ...  0.00909852 -0.01152384
  0.00037918]",2
Extraversion,Enthusiastic,Passionate,Stir,Stirring,"[ 0.02754894 -0.03606514 -0.00897216 ... -0.01181089  0.00138076
  0.01525267]",2
Extraversion,Outgoing,Sociable,Socialize,Socialization,"[ 0.00569167 -0.03127825 -0.00378176 ... -0.00338386  0.00650477
  0.02254525]",2
Extraversion,Outgoing,Friendly,Mingle,Mingling,"[-0.00694368 -0.03926771  0.01538203 ... -0.02797788 -0.00129877
  0.03070601]",2
Extraversion,Outgoing,Convivial,Interact,Interaction,"[-0.01301198 -0.02825029  0.01821678 ... -0.01218463  0.01454634
  0.03628312]",2
Extraversion,Outgoing,Extroverted,Engage,Engagement,"[-0.01324007 -0.01244098  0.02162692 ... -0.01963285  0.02262396
  0.03123074]",2
Extraversion,Talkative,Chatty,Chat,Chatting,"[ 0.00435282 -0.04053973  0.00603476 ... -0.03568883  0.00297948
  0.02564052]",2
Extraversion,Talkative,Loquacious,Discuss,Discussion,"[ 0.01168228 -0.04229245 -0.00148639 ... -0.00222914  0.00174208
  0.04266698]",2
Extraversion,Talkative,Garrulous,Converse,Conversation,"[ 0.00181886 -0.05031345 -0.01005386 ... -0.01817938  0.01296845
  0.0406276 ]",2
Extraversion,Talkative,Verbose,Express,Expression,"[ 0.00592443 -0.03231779 -0.02305195 ...  0.0014736  -0.00606709
  0.00959622]",2
Agreeableness,Appreciative,Grateful,Thank,Thanks,"[-8.65536349e-05 -3.05683874e-02 -1.15719037e-02 ... -2.46954281e-02
  6.61614165e-03  3.03073656e-02]",0
Agreeableness,Appreciative,Thankful,Praise,Praise,"[-0.02359735 -0.04877728 -0.0094672  ... -0.02414843  0.0039847
  0.01695618]",0
Agreeableness,Appreciative,Pleased,Value,Valuation,"[-0.00928532 -0.03227718 -0.02573167 ... -0.00809181  0.03037058
  0.03101612]",0
Agreeableness,Appreciative,Gratified,Cherish,Cherishing,"[ 0.02607779 -0.03984592 -0.01167521 ... -0.02845512  0.02354001
  0.01637883]",0
Agreeableness,Forgiving,Merciful,Forgive,Forgiveness,"[-0.00578883 -0.01440251  0.00220908 ... -0.01458341 -0.00055357
  0.03587407]",0
Agreeableness,Forgiving,Indulgent,Excuse,Excuse,"[-0.02183599 -0.02076282 -0.03141997 ... -0.01030688 -0.01155146
  0.03359612]",0
Agreeableness,Forgiving,Lenient,Pardon,Pardon,"[ 0.00383328 -0.01660967  0.00317527 ... -0.0210131  -0.00461858
  0.03938701]",0
Agreeableness,Forgiving,Pardoning,Overlook,Oversight,"[ 0.02422266 -0.00761326  0.01254999 ... -0.0159254   0.00085547
  0.02715199]",0
Agreeableness,Generous,Bountiful,Give,Giving,"[-0.00259693 -0.04269093  0.01684537 ... -0.04974108  0.03897085
  0.02938564]",0
Agreeableness,Generous,Benevolent,Share,Sharing,"[-0.00461455 -0.05571473  0.02229208 ... -0.03648356  0.03016078
  0.00898949]",0
Agreeableness,Generous,Liberal,Donate,Donation,"[-0.01464792 -0.04293196  0.00297122 ... -0.03250251  0.02657174
  0.01364389]",0
Agreeableness,Generous,Philanthropic,Contribute,Contribution,"[ 0.01309605 -0.03879536  0.00927326 ... -0.0277899   0.05543048
  0.02885013]",0
Agreeableness,Kind,Compassionate,Care,Care,"[ 0.03309958 -0.03796973  0.00965283 ... -0.01210978 -0.00399892
 -0.00681676]",0
Agreeableness,Kind,Gentle,Comfort,Comfort,"[ 0.01085424 -0.0393079   0.00038452 ... -0.01708579  0.01402667
  0.00194878]",0
Agreeableness,Kind,Considerate,Nurture,Nurturing,"[ 0.01124281 -0.00865382 -0.00271415 ... -0.03779073 -0.00092081
  0.00581451]",0
Agreeableness,Kind,Benevolent,Support,Support,"[-0.01806238 -0.02948483  0.01657059 ... -0.01829639  0.00221758
  0.01476435]",0
Agreeableness,Sympathetic,Compassionate,Empathize,Empathy,"[-0.00553547 -0.02841446 -0.00436117 ... -0.02228642  0.02172275
  0.00257081]",0
Agreeableness,Sympathetic,Understanding,Console,Consolation,"[-0.00576862 -0.02627389 -0.01399335 ...  0.00205113  0.01171499
  0.01320966]",0
Agreeableness,Sympathetic,Considerate,Commiserate,Commiseration,"[ 0.00815666 -0.03383395 -0.00068095 ...  0.00048495  0.00407465
  0.01805067]",0
Agreeableness,Sympathetic,Empathetic,Sympathize,Sympathy,"[-0.00340525 -0.02697268 -0.00673963 ... -0.01147366  0.01954562
  0.00790187]",0
Agreeableness,Trusting,Confident,Trust,Trust,"[-0.00465039 -0.02984396  0.01653635 ... -0.0358942   0.00471948
  0.01196958]",0
Agreeableness,Trusting,Assured,Rely,Reliance,"[-0.0035053  -0.02603291  0.01246497 ... -0.02248228 -0.00442318
  0.02680347]",0
Agreeableness,Trusting,Optimistic,Believe,Belief,"[-0.00269316 -0.03987791 -0.01054422 ... -0.01559159  0.00392737
  0.01939369]",0
Agreeableness,Trusting,Sanguine,Depend,Dependence,"[-0.01374997 -0.00161086  0.0260739  ... -0.00308474 -0.02116535
  0.04434215]",0
