Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Person,Person ID,ID,Identify,Identity,"[ 0.01473207 -0.01979788 -0.0110557  ...  0.00359992  0.0064619
  0.02084827]",2
Person,Person ID,Identifier,Recognize,Record,"[ 0.03477335 -0.02332129 -0.02006465 ... -0.00180494  0.01086667
  0.01773656]",2
Person,Person ID,Key,Tag,Key,"[ 0.03353349 -0.00516865 -0.00896427 ... -0.01380946  0.01870746
  0.01107661]",2
Person,Age,Demographics,Age,Demographic,"[ 0.01864964  0.01560278  0.02686908 ...  0.00234538  0.00230818
 -0.0145966 ]",2
Person,Age,Life Stage,Mature,Years,"[ 0.07422163  0.01152598  0.03127668 ...  0.00106811 -0.02847344
 -0.000848  ]",2
Person,Age,Years,Calculate,Age,"[ 0.03341382  0.00054563  0.01974697 ... -0.00924126  0.01127245
  0.03500111]",2
Person,Gender,Demographics,Identify,Demographic,"[ 1.72681790e-02  3.91750643e-03  1.00764902e-02 ...  9.06748697e-03
  4.24562277e-05 -9.46025271e-03]",2
Person,Gender,Sex,Classify,Gender,"[ 1.32028339e-02  2.76877601e-02 -7.14016892e-03 ...  1.67217702e-02
  3.49240436e-05 -9.23379976e-03]",2
Person,Gender,Identity,Determine,Sex,"[ 0.03180684  0.0021897  -0.00115521 ...  0.00844786 -0.01910527
  0.02008435]",2
Person,Ethnicity,Demographics,Classify,Demographic,"[-0.00301447  0.01914123 -0.01152394 ...  0.02203405 -0.00158243
 -0.0382284 ]",2
Person,Ethnicity,Race,Identify,Ethnic Group,"[ 0.00538535  0.00117453  0.00230612 ...  0.01256141 -0.02209645
 -0.02282331]",2
Person,Ethnicity,Cultural Group,Group,Race,"[ 0.01613027  0.02225848  0.01794412 ...  0.00199847 -0.02088514
 -0.02632668]",2
Person,Education Level,Education,Study,Level,"[-0.00239305 -0.00579472  0.00463968 ... -0.00050228 -0.02181237
  0.02379058]",2
Person,Education Level,Academic Attainment,Graduate,Degree,"[-0.01333589  0.03008536  0.03892501 ... -0.01119603 -0.00700548
 -0.00314451]",2
Person,Education Level,Qualification,Certify,Qualification,"[ 0.02287071  0.02260873 -0.00938537 ...  0.00973249 -0.03751529
 -0.00432592]",2
Person,Occupation,Employment,Work,Occupation,"[ 0.0062824   0.00077982  0.02894691 ...  0.00325585  0.02310627
 -0.00668031]",2
Person,Occupation,Job,Employ,Job,"[-0.01379705 -0.00221545  0.00506727 ... -0.0097148   0.010121
  0.00169078]",2
Person,Occupation,Career,Occupy,Employment,"[ 0.02472822 -0.00817064  0.03770635 ...  0.00200777  0.01909041
 -0.01120585]",2
Health,Height,Physical Attribute,Measure,Height,"[-0.01508938  0.0338338   0.04289731 ... -0.00194174  0.01150226
  0.00275054]",0
Health,Height,Stature,Scale,Length,[0.03856508 0.0073303  0.05575674 ... 0.02266952 0.0002113  0.02641109],0
Health,Height,Tallness,Assess,Measurement,"[-0.0081528  -0.01049422  0.05593458 ...  0.02783757  0.00490984
  0.00263815]",0
Health,Weight,Physical Attribute,Weigh,Weight,[0.01162492 0.0378577  0.01459559 ... 0.00345556 0.01441146 0.01433781],0
Health,Weight,Mass,Scale,Mass,"[ 0.03695995  0.02824095  0.02675585 ...  0.00450023 -0.01074306
  0.00748541]",0
Health,Weight,Heaviness,Calculate,Measurement,"[ 0.01332114  0.01250428  0.03601736 ... -0.012919    0.01500514
  0.00644693]",0
Health,Body Mass Index (BMI),Physical Measure,Calculate,BMI,"[-0.00387051  0.04819916  0.00987956 ...  0.01574604 -0.0055391
  0.0200865 ]",0
Health,Body Mass Index (BMI),BMI,Determine,Index,"[ 0.00754296  0.01997804  0.01684936 ...  0.03253827 -0.00892527
  0.03064968]",0
Health,Body Mass Index (BMI),Body Composition,Assess,Body Mass Index,"[ 0.02021614  0.04361951  0.04277717 ...  0.02975506 -0.00433691
  0.0133636 ]",0
Health,Blood Pressure,Vital Sign,Measure,Blood Pressure,"[-0.0081592   0.02409599  0.02386582 ...  0.01540981 -0.01391971
 -0.00153553]",0
Health,Blood Pressure,BP,Monitor,BP,"[-0.04186361  0.00545001  0.01636764 ...  0.00774383 -0.00640626
 -0.01644977]",0
Health,Blood Pressure,Circulatory Measure,Record,Pressure,"[ 0.01601289  0.00997315  0.02534869 ... -0.00182861 -0.00448883
  0.00184531]",0
Health,Chronic Conditions,Long-term Illness,Diagnose,Condition,"[-0.0212726  -0.02001609  0.03417689 ...  0.01695023 -0.02112182
  0.00457053]",0
Health,Chronic Conditions,Chronic Illness,Treat,Disease,"[ 0.00222642  0.00633304  0.01246908 ...  0.0174405  -0.00874342
 -0.01131604]",0
Health,Chronic Conditions,Health Condition,Manage,Illness,"[-0.00976564  0.01942121  0.0251693  ...  0.00696497 -0.01889532
  0.00027709]",0
Lifestyle,Physical Activity Level,Exercise,Exercise,Activity,"[-0.00471066  0.01101837 -0.00489946 ...  0.01764177 -0.02130631
  0.01753035]",3
