Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Cognitive Flexibility,Understanding,Comprehending,Comprehend,Comprehension,"[ 0.0345402   0.01433573 -0.01714083 ...  0.00439185  0.0125066
  0.02543979]",2
Cognitive Flexibility,Understanding,Grasping,Grasp,Grasp,"[ 0.02080244  0.02685406 -0.00098609 ...  0.00472107  0.01301503
  0.02578692]",2
Cognitive Flexibility,Understanding,Perceiving,Perceive,Perception,"[ 0.02263095 -0.01492108 -0.00283686 ... -0.01284338  0.00794001
  0.01700518]",2
Cognitive Flexibility,Understanding,Apprehending,Apprehend,Apprehension,"[ 0.01285371  0.00217205 -0.0326094  ... -0.00064036  0.01201775
  0.02480716]",2
Cognitive Flexibility,Understanding,Recognizing,Recognize,Recognition,"[ 0.0228532  -0.00305882 -0.0289281  ...  0.00771854  0.0049112
  0.03116345]",2
Cognitive Flexibility,Adaptable,Flexible,Adapt,Adaptability,"[ 0.03727216  0.01663747  0.01228287 ... -0.01250126  0.00216406
  0.01610803]",2
Cognitive Flexibility,Adaptable,Versatile,Flex,Flexibility,"[ 0.0328259   0.01025298  0.01679496 ... -0.01199932 -0.00376556
  0.02406687]",2
Cognitive Flexibility,Adaptable,Pliant,Versatilize,Versatility,"[ 0.03784778  0.02550727  0.01262037 ... -0.01066134  0.00714976
  0.02662671]",2
Cognitive Flexibility,Adaptable,Adjustable,Adjust,Adjustability,"[ 0.03342679  0.01672628 -0.01463872 ... -0.01354339 -0.00404949
  0.01305372]",2
Cognitive Flexibility,Adaptable,Malleable,Mold,Malleability,"[ 0.06562266  0.04432176 -0.00258654 ... -0.03000649 -0.02013663
  0.02654013]",2
Cognitive Flexibility,Insightful,Perceptive,Perceive,Perception,"[ 0.02847702 -0.04591085 -0.01656481 ... -0.00994022  0.00148903
  0.0230089 ]",2
Cognitive Flexibility,Insightful,Discerning,Discern,Discernment,"[ 0.03185206 -0.01565949 -0.00986881 ... -0.00138936 -0.01060181
  0.0263879 ]",2
Cognitive Flexibility,Insightful,Intuitive,Intuit,Intuition,"[ 0.01002773 -0.01712537 -0.01457932 ... -0.00673138 -0.01143588
  0.039798  ]",2
Cognitive Flexibility,Insightful,Keen,Keen,Keenness,"[ 0.02717069  0.0086369  -0.01534511 ...  0.0053919  -0.00478303
  0.00960829]",2
Cognitive Flexibility,Insightful,Observant,Observe,Observation,"[ 0.03287972 -0.01230921 -0.02843875 ... -0.00957842 -0.01068867
  0.02806637]",2
Cognitive Flexibility,Resourceful,Inventive,Invent,Inventiveness,"[ 0.04953589  0.03520546  0.00120948 ... -0.03805462 -0.00397401
  0.02292022]",2
Cognitive Flexibility,Resourceful,Clever,Solve,Cleverness,"[ 0.03939338  0.00857543 -0.01405418 ... -0.01901185 -0.01057041
  0.0324854 ]",2
