Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Exploitativeness,Manipulative,Scheming,Manipulate,Manipulation,"[ 0.01383705  0.02734154 -0.00391833 ... -0.04224854 -0.03091286
  0.00746073]",2
Exploitativeness,Manipulative,Calculating,Control,Exploitation,"[ 0.02289707  0.03039146  0.03488514 ... -0.03926056 -0.00460824
 -0.00128048]",2
Exploitativeness,Manipulative,Deceptive,Deceive,Deception,"[ 0.02629136  0.0211993  -0.00369817 ... -0.02020204 -0.03167051
  0.00607799]",2
Exploitativeness,Manipulative,Crafty,Exploit,Scheme,"[ 0.03218685  0.0528652   0.01897055 ... -0.04597242 -0.04427999
  0.00797748]",2
Exploitativeness,Opportunistic,Cunning,Capitalize,Opportunity,"[ 0.02697997  0.01432457  0.02983274 ... -0.01999977 -0.03999955
  0.02031844]",2
Exploitativeness,Opportunistic,Astute,Leverage,Advantage,"[ 0.00309405  0.01814378  0.0303698  ... -0.02404651 -0.03505594
  0.01326238]",2
Exploitativeness,Opportunistic,Strategic,Utilize,Opportunism,"[ 0.00491688  0.0354646   0.02990265 ... -0.02166007 -0.04386486
  0.01909412]",2
Exploitativeness,Opportunistic,Resourceful,Take advantage,Leverage,"[ 0.01808073  0.024437    0.01931954 ... -0.02769626 -0.0378427
  0.01199729]",2
Exploitativeness,Exploitative,Unscrupulous,Exploit,Exploitation,"[ 0.0049665   0.02870186  0.03452415 ... -0.02858483 -0.02413765
  0.01203957]",2
Exploitativeness,Exploitative,Predatory,Abuse,Abuse,"[ 0.02312284  0.03994471  0.0480377  ... -0.01463965 -0.01991455
  0.01857053]",2
Exploitativeness,Exploitative,Self-serving,Use,Predation,"[ 0.0520113   0.04123956  0.0505618  ... -0.01086411 -0.03888058
  0.0087325 ]",2
Exploitativeness,Exploitative,Ruthless,Prey upon,Self-interest,"[ 0.01938239  0.02202083  0.04615821 ... -0.00405189  0.00114798
 -0.00159647]",2
Exploitativeness,Calculating,Strategic,Plan,Calculation,"[ 0.01424356  0.03556972  0.06122095 ... -0.01943794  0.00694008
  0.02851563]",2
Exploitativeness,Calculating,Scheming,Scheme,Strategy,"[ 0.0293091   0.02465946  0.04206963 ... -0.03832615 -0.01608807
  0.01124531]",2
