Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Promotion Focus,Eagerness,Excitement,Energize,Excitement,"[ 0.03772505 -0.01247338 -0.03154155 ...  0.00447808 -0.00843141
  0.00631469]",2
Promotion Focus,Eagerness,Enthusiasm,Animate,Enthusiasm,"[ 0.06017546 -0.00787667 -0.00721787 ...  0.0098386   0.00282525
  0.0162746 ]",2
Promotion Focus,Eagerness,Anticipation,Expect,Anticipation,"[ 0.04371798 -0.02168539 -0.01113203 ...  0.0210344   0.00777578
  0.00906331]",2
Promotion Focus,Eagerness,Hope,Hope for,Hope,"[ 0.05344194 -0.03286581 -0.00885333 ...  0.0133045  -0.01127488
  0.00339261]",2
Promotion Focus,Optimism,Positive,Believe,Positivity,"[ 0.01507045 -0.03398686 -0.01034847 ... -0.00300376  0.00072112
  0.03185022]",2
Promotion Focus,Optimism,Confident,Assure,Confidence,"[ 0.03328101 -0.04524364  0.01204228 ...  0.00826232 -0.00084904
  0.01704602]",2
Promotion Focus,Optimism,Cheerful,Cheer,Cheerfulness,"[ 0.04253568 -0.04557595  0.00259162 ...  0.00013767  0.01313229
  0.03034644]",2
Promotion Focus,Optimism,Hopeful,Hope,Hopefulness,"[ 0.03088713 -0.04072677  0.01319471 ... -0.0030385  -0.00839134
  0.02148417]",2
Promotion Focus,Aspiration,Ambition,Strive,Ambition,"[ 0.03031092  0.0005251   0.01916093 ...  0.00363262 -0.01263428
  0.01579463]",0
Promotion Focus,Aspiration,Goals,Aim,Goal,"[ 0.0255498  -0.01983525  0.0221542  ...  0.00226373 -0.01031792
  0.02723379]",0
Promotion Focus,Aspiration,Achievement,Achieve,Achievement,"[ 0.03749609 -0.02990659  0.00900724 ...  0.00202434 -0.0054911
  0.03775001]",0
Promotion Focus,Aspiration,Success,Succeed,Success,"[ 0.03134926 -0.02307654  0.03073127 ... -0.00144755 -0.01449482
  0.03896185]",0
Promotion Focus,Creativity,Innovation,Create,Innovation,"[ 0.05217452 -0.00410507  0.02976344 ... -0.03523686 -0.0070392
  0.02765304]",0
Promotion Focus,Creativity,Originality,Innovate,Originality,"[ 0.0540764  -0.02092921  0.02837411 ... -0.03690443 -0.00586547
  0.01956547]",0
Promotion Focus,Creativity,Imagination,Imagine,Imagination,"[ 0.04228997 -0.01977761  0.00703423 ... -0.03659492 -0.01199626
  0.03901955]",0
Promotion Focus,Creativity,Ingenuity,Invent,Ingenuity,"[ 0.05919591 -0.00403214  0.00854121 ... -0.03881841 -0.00392737
  0.02520451]",0
Promotion Focus,Adventure,Thrill,Thrill,Adventure,"[ 0.01204946  0.03497092 -0.00444187 ... -0.00259462 -0.0084184
  0.00922922]",0
Promotion Focus,Adventure,Venture,Venture,Venture,"[ 0.00067074  0.00248463  0.01846669 ... -0.00693052  0.00153522
  0.01942161]",0
Promotion Focus,Adventure,Exploration,Explore,Exploration,"[ 0.02865192  0.00573669  0.03675407 ... -0.01173271 -0.02469896
  0.03187596]",0
Promotion Focus,Adventure,Daring,Dare,Daring,"[ 0.03326565  0.00530468  0.01196069 ... -0.00718072 -0.01886108
  0.02751533]",0
Promotion Focus,Passion,Zeal,Passionate,Passion,[0.04982367 0.00849234 0.01833244 ... 0.012311   0.0050686  0.00298536],0
Promotion Focus,Passion,Fervor,Ardent,Fervor,"[ 0.01117321 -0.0156485   0.00318189 ...  0.01486757  0.01374124
  0.0084625 ]",0
Promotion Focus,Passion,Intensity,Intensify,Intensity,"[ 0.01299682  0.01526337  0.00814812 ... -0.00156543 -0.0028583
  0.010013  ]",0
Promotion Focus,Passion,Devotion,Devote,Devotion,"[ 0.03722032  0.00495306  0.02095498 ...  0.01366823  0.01647311
 -0.00212221]",0
Promotion Focus,Inspiration,Motivation,Inspire,Inspiration,"[ 0.02752089 -0.02779755 -0.01213686 ... -0.01074625 -0.0371896
  0.01967234]",0
Promotion Focus,Inspiration,Stimulation,Stimulate,Stimulation,"[ 0.0239863  -0.03408273 -0.01736235 ... -0.01543644 -0.01708513
  0.0320401 ]",0
Promotion Focus,Inspiration,Enlivenment,Enliven,Enlivenment,"[ 0.03293002 -0.00861235  0.01125669 ... -0.01360884 -0.01239624
  0.01681564]",0
Promotion Focus,Inspiration,Upliftment,Uplift,Uplift,"[ 0.01666415 -0.03554635  0.01778758 ...  0.00318304 -0.01348831
  0.00585118]",0
Prevention Focus,Vigilance,Alertness,Monitor,Vigilance,"[ 0.02226303  0.0070803  -0.00399526 ...  0.01134788  0.01376518
 -0.01769702]",3
