Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Realistic,Practical,Useful,Use,Practicality,"[-0.00200235  0.02196861 -0.02072634 ... -0.00840169 -0.03004339
  0.04413338]",2
Realistic,Practical,Functional,Apply,Usefulness,"[-0.02590239  0.03974476 -0.01367579 ... -0.00574267 -0.02923388
  0.03867868]",2
Realistic,Practical,Sensible,Utilize,Functionality,"[ 0.01276485  0.04409533 -0.02551408 ... -0.01533343 -0.03297781
  0.02515495]",2
Realistic,Practical,Workable,Implement,Sensibility,"[ 0.03050635  0.04848476 -0.03268654 ... -0.0134716  -0.01190968
 -0.00212121]",2
Realistic,Physical,Bodily,Touch,Physicality,"[ 0.01381633  0.06057988 -0.02879709 ... -0.01034546  0.00756875
  0.02548296]",2
Realistic,Physical,Corporeal,Move,Tangibility,"[ 0.02954545  0.06784511 -0.04146419 ... -0.00282626  0.00919044
  0.02262489]",2
Realistic,Physical,Tangible,Lift,Material,"[ 0.01552585  0.01861584 -0.04184768 ...  0.02058979 -0.01397706
  0.03179573]",2
Realistic,Physical,Material,Manipulate,Body,"[ 0.01717181  0.06265243 -0.04600181 ... -0.01601971 -0.01562196
  0.0153065 ]",2
Realistic,Hands-on,Practical,Handle,Manual work,"[ 0.0217094   0.05032502  0.00581346 ...  0.00403227 -0.00176571
 -0.01682843]",2
Realistic,Hands-on,Manual,Work,Practicality,"[-0.0103209   0.06253824  0.01904248 ...  0.00976039 -0.00637489
 -0.01360177]",2
Realistic,Hands-on,Tangible,Operate,Tangible work,"[-0.01421974  0.05595541 -0.01917197 ... -0.00157544  0.01339172
 -0.01477707]",2
Realistic,Hands-on,Direct,Manage,Directness,"[ 0.00411025  0.05285969  0.0073403  ... -0.01669589  0.00335152
 -0.02144338]",2
Realistic,Concrete,Tangible,Build,Reality,"[ 0.01000358  0.0208123  -0.00720835 ... -0.01503195 -0.02391136
  0.01342925]",2
Realistic,Concrete,Material,Construct,Materiality,"[ 0.03069547  0.00925336 -0.02186764 ...  0.01774221 -0.01455438
  0.04145619]",2
Realistic,Concrete,Real,Create,Concreteness,"[ 0.04344041 -0.00127353 -0.00961979 ... -0.01857513 -0.03059433
  0.02922113]",2
Realistic,Concrete,Actual,Form,Actuality,"[ 0.02685751  0.00292059  0.00228066 ... -0.00850062 -0.02350829
  0.03942503]",2
Realistic,Natural,Organic,Grow,Nature,"[ 0.0138973   0.04666926 -0.03597119 ... -0.03699144 -0.03366833
  0.02270791]",2
