Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Neurodevelopmental Disorders,Intellectual Disability (Intellectual Developmental Disorder),Cognitive Impairment,Exhibit,Deficits,"[ 0.04625443  0.02743431 -0.02116093 ...  0.01232437  0.01740393
  0.02837063]",4
Neurodevelopmental Disorders,Intellectual Disability (Intellectual Developmental Disorder),Mental Retardation,Demonstrate,Limitations,"[ 0.06036397  0.02593504 -0.01728605 ... -0.00545185  0.01412469
  0.03328369]",4
Neurodevelopmental Disorders,Intellectual Disability (Intellectual Developmental Disorder),Developmental Delay,Experience,Impairment,"[ 0.02333744  0.02177761 -0.03949967 ... -0.01305457  0.00293668
  0.02360141]",4
Neurodevelopmental Disorders,Global Developmental Delay,Developmental Delay,Demonstrate,Delays,"[ 0.01954833  0.02983822  0.0287331  ... -0.00071372 -0.0174486
  0.01636804]",4
Neurodevelopmental Disorders,Global Developmental Delay,Delayed Development,Show,Limitations,"[ 0.04673861  0.03633853  0.02317168 ... -0.00862762 -0.01530368
  0.03322592]",4
Neurodevelopmental Disorders,Global Developmental Delay,Developmental Disabilities,Exhibit,Impairment,"[ 0.03090123  0.02737392  0.00788056 ...  0.01281755 -0.01629518
  0.03254069]",4
Neurodevelopmental Disorders,Unspecified Intellectual Disability,Cognitive Impairment,Show,Impairment,"[ 0.03827307  0.02563196 -0.00831915 ...  0.00438441 -0.0166258
  0.04314464]",4
Neurodevelopmental Disorders,Unspecified Intellectual Disability,Developmental Delay,Exhibit,Delay,"[ 0.00241912  0.00271548 -0.00646321 ... -0.01014267 -0.00212443
  0.02621245]",4
Neurodevelopmental Disorders,Unspecified Intellectual Disability,Unspecified Delay,Struggle with,Limitation,"[ 0.03160824  0.01128404  0.03388445 ... -0.02243875 -0.02018841
  0.04627426]",4
Neurodevelopmental Disorders,Language Disorder,Language Impairment,Struggle with,Impairment,"[ 0.0391728   0.02292848  0.03282967 ...  0.00284332 -0.01856332
  0.03560337]",4
Neurodevelopmental Disorders,Language Disorder,Communication Disorder,Exhibit,Difficulties,"[ 0.03631751 -0.00123227  0.02655208 ...  0.00096341 -0.0024429
  0.02531595]",4
Neurodevelopmental Disorders,Language Disorder,Language Difficulties,Show,Deficits,[0.02399207 0.03473964 0.05336395 ... 0.01246043 0.00601309 0.01762313],4
Neurodevelopmental Disorders,Speech Sound Disorder,Articulation Disorder,Struggle with,Impairment,"[ 0.04014202  0.01602064  0.02719531 ...  0.02338604 -0.03112513
  0.03032953]",4
Neurodevelopmental Disorders,Speech Sound Disorder,Phonological Disorder,Exhibit,Difficulties,[0.04152944 0.00547958 0.02303623 ... 0.00192216 0.01598384 0.01712554],4
Neurodevelopmental Disorders,Speech Sound Disorder,Speech Impairment,Show,Errors,"[ 0.06291579  0.0091141   0.00738907 ...  0.01185783 -0.01635376
  0.00798672]",4
Neurodevelopmental Disorders,Childhood-Onset Fluency Disorder (Stuttering),Stuttering,Stutter,Stutter,"[ 0.0020585  -0.02070671 -0.00897549 ... -0.00028498  0.0085826
  0.02069564]",4
Neurodevelopmental Disorders,Childhood-Onset Fluency Disorder (Stuttering),Fluency Disorder,Hesitate,Hesitation,"[-0.000537   -0.01015627  0.00509887 ... -0.00594622 -0.00750758
  0.00651802]",4
Neurodevelopmental Disorders,Childhood-Onset Fluency Disorder (Stuttering),Speech Hesitation,Repeat,Repetition,"[ 0.01827337 -0.01786993 -0.00639568 ... -0.00839507  0.00241469
  0.01431018]",4
Neurodevelopmental Disorders,Social Communication Disorder,Pragmatic Communication Disorder,Struggle with,Difficulties,"[ 0.03232444 -0.0037526   0.03587793 ... -0.00166646 -0.02054894
  0.03435851]",4
Neurodevelopmental Disorders,Social Communication Disorder,Social Language Deficit,Exhibit,Deficits,"[ 0.0305749  -0.00310915 -0.01243661 ...  0.02042891  0.02402669
  0.03269124]",4
Neurodevelopmental Disorders,Social Communication Disorder,Communication Difficulties,Show,Impairment,"[ 0.06205605  0.00636001 -0.00865158 ...  0.01314892  0.0064703
  0.03406711]",4
Neurodevelopmental Disorders,Other Specified Attention-Deficit/Hyperactivity Disorder,ADHD,Struggle with,Inattention,"[ 0.00121656  0.01584983  0.02414977 ... -0.01206259  0.00203656
 -0.00111742]",4
Neurodevelopmental Disorders,Other Specified Attention-Deficit/Hyperactivity Disorder,Attention Deficit,Exhibit,Hyperactivity,"[-0.0118464   0.00648329 -0.01282891 ...  0.00216683  0.02653394
  0.00331987]",2
Neurodevelopmental Disorders,Other Specified Attention-Deficit/Hyperactivity Disorder,Hyperactivity,Show,Impulsivity,"[ 0.00688526  0.02039764 -0.00136189 ... -0.00700531  0.00324153
 -0.00100097]",2
Neurodevelopmental Disorders,Other Specified Attention-Deficit/Hyperactivity Disorder,Impulsivity,Have,Distractibility,"[ 0.0097526   0.02889841 -0.0068652  ... -0.01882295 -0.01003891
  0.00338996]",2
Neurodevelopmental Disorders,Unspecified Attention-Deficit/Hyperactivity Disorder,ADHD,Struggle with,Inattention,"[ 0.00203942  0.01211754  0.03109315 ... -0.01472898 -0.00278533
  0.01244702]",4
Neurodevelopmental Disorders,Unspecified Attention-Deficit/Hyperactivity Disorder,Attention Deficit,Exhibit,Hyperactivity,"[-0.00925672  0.00204053 -0.00117449 ... -0.00099416  0.01404642
  0.02409404]",2
Neurodevelopmental Disorders,Unspecified Attention-Deficit/Hyperactivity Disorder,Hyperactivity,Show,Impulsivity,"[ 0.00872182  0.01815243  0.00627106 ... -0.00722613 -0.00538206
  0.01219973]",2
Neurodevelopmental Disorders,Unspecified Attention-Deficit/Hyperactivity Disorder,Impulsivity,Have,Distractibility,"[ 0.00868343  0.02418824  0.00138425 ... -0.02021832 -0.01830096
  0.01707188]",2
Neurodevelopmental Disorders,Specific Learning Disorder,Learning Disability,Struggle with,Difficulties,"[ 0.01835246 -0.00806924  0.04371775 ...  0.00425377 -0.02746688
  0.03140036]",4
Neurodevelopmental Disorders,Specific Learning Disorder,Reading Disorder,Exhibit,Impairment,"[ 0.02263951  0.03062106 -0.01508464 ...  0.00033413  0.0049069
  0.00963183]",4
Neurodevelopmental Disorders,Specific Learning Disorder,Dyslexia,Show,Deficit,"[ 0.01175393  0.03156599  0.00886157 ...  0.02963775  0.01379524
 -0.00212463]",4
Neurodevelopmental Disorders,Specific Learning Disorder,Mathematics Disorder,Have,Limitation,"[ 0.02048599 -0.00039116  0.03411866 ... -0.00314316 -0.00838791
  0.02854726]",4
Neurodevelopmental Disorders,Specific Learning Disorder,Dyscalculia,Demonstrate,Challenge,"[ 0.01123061 -0.00086033  0.035703   ... -0.00532161 -0.00690181
  0.0170598 ]",4
Neurodevelopmental Disorders,Developmental Coordination Disorder,Dyspraxia,Struggle with,Impairment,"[ 0.0307375   0.04177635  0.04253765 ...  0.00027731 -0.02036478
  0.0370658 ]",4
Neurodevelopmental Disorders,Developmental Coordination Disorder,Motor Coordination Disorder,Exhibit,Difficulties,"[ 0.0276187   0.00196896  0.04390922 ...  0.00415095 -0.01235573
  0.02156614]",4
Neurodevelopmental Disorders,Developmental Coordination Disorder,Clumsiness,Show,Deficits,"[ 0.0344408   0.02692785  0.04525841 ...  0.01202459 -0.00493441
  0.01784003]",4
Neurodevelopmental Disorders,Stereotypic Movement Disorder,Repetitive Movement Disorder,Exhibit,Movements,"[ 0.01494699  0.02185255 -0.01610867 ...  0.01263008  0.00455961
  0.00795753]",2
Neurodevelopmental Disorders,Stereotypic Movement Disorder,Stereotypies,Show,Behaviors,"[ 0.01793036  0.01880501 -0.01004563 ...  0.01176921 -0.0044633
  0.00617723]",2
Neurodevelopmental Disorders,Stereotypic Movement Disorder,Motor Stereotypies,Engage in,Stereotypies,"[ 0.0187335   0.03334537 -0.01412771 ... -0.00173958 -0.00978884
  0.01278695]",2
Neurodevelopmental Disorders,Tourette's Disorder,Tic Disorder,Exhibit,Tics,"[-0.01782838 -0.02194986 -0.02086243 ...  0.01389486 -0.00761197
  0.0120355 ]",2
Neurodevelopmental Disorders,Tourette's Disorder,Motor Tics,Show,Movements,"[-0.00901725 -0.00461542 -0.00532625 ...  0.02314718 -0.01089946
  0.01718017]",2
Neurodevelopmental Disorders,Tourette's Disorder,Vocal Tics,Have,Vocalizations,"[-0.02067301 -0.00094155  0.01534058 ...  0.02021332 -0.01830888
  0.01946468]",2
Neurodevelopmental Disorders,Persistent (Chronic) Motor or Vocal Tic Disorder,Chronic Tic Disorder,Exhibit,Tics,"[-0.00314869 -0.01520659 -0.01576119 ...  0.00503339  0.00024365
  0.03732643]",2
Neurodevelopmental Disorders,Persistent (Chronic) Motor or Vocal Tic Disorder,Persistent Tic Disorder,Show,Movements,"[ 0.00406165 -0.00306191 -0.01295372 ...  0.00801111  0.00586646
  0.03481601]",2
Neurodevelopmental Disorders,Persistent (Chronic) Motor or Vocal Tic Disorder,Motor Tics,Have,Vocalizations,"[-0.00967353  0.00490719  0.00035752 ...  0.01755448 -0.00366519
  0.04476329]",2
Neurodevelopmental Disorders,Persistent (Chronic) Motor or Vocal Tic Disorder,Vocal Tics,Experience,Behaviors,"[-0.0101831  -0.01325046  0.00173806 ...  0.0070111  -0.00715499
  0.03628507]",2
