Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Behavior,Active,Energetic,Activate,Activity,"[-0.00112909  0.06490995 -0.05660195 ... -0.01034017  0.0031678
  0.02535732]",1
Behavior,Active,Vigorous,Energize,Energy,"[-0.00649757  0.04807133 -0.04932351 ...  0.00554317 -0.00044356
  0.01690437]",1
Behavior,Active,Dynamic,Stimulate,Dynamism,"[ 0.01860251  0.02760372 -0.03973168 ... -0.01647064 -0.01882359
  0.02185558]",1
Behavior,Active,Animated,Animate,Animation,"[ 0.01686363  0.04602037 -0.05232453 ... -0.00823123 -0.00891895
  0.03341205]",1
Behavior,Active,Lively,Invigorate,Vigor,"[ 0.01134182  0.03672589 -0.05053331 ...  0.01314993 -0.02119644
  0.0177211 ]",1
Behavior,Active,Exuberant,Revitalize,Vitality,"[ 0.01681237  0.03710967 -0.01857053 ... -0.00594163 -0.02003043
  0.0245828 ]",1
Behavior,Passive,Inactive,Rest,Inactivity,"[-0.00085494  0.03629215 -0.01767816 ... -0.01397876  0.00520548
  0.03927506]",2
Behavior,Passive,Lethargic,Stagnate,Lethargy,"[ 0.03637666  0.03053259 -0.04186978 ...  0.01259603 -0.01280202
  0.03781097]",2
Behavior,Passive,Sluggish,Laze,Sluggishness,"[ 0.03253306  0.02987438 -0.04502599 ... -0.00120784 -0.00051771
  0.03167542]",2
Behavior,Passive,Static,Idle,Stasis,"[ 0.02683089  0.02642754 -0.01514178 ... -0.01673098 -0.00966428
  0.04088362]",2
Behavior,Passive,Dormant,Recline,Dormancy,"[ 0.03951855  0.07213955 -0.00090619 ... -0.01925304  0.00152763
  0.03483581]",2
Behavior,Passive,Idle,Doze,Idleness,"[ 0.01550947  0.03077275 -0.0370504  ... -0.00588529  0.01020117
  0.03172671]",2
Behavior,Aggressive,Forceful,Attack,Aggression,"[-0.0071017   0.04118415 -0.00394658 ... -0.00228702 -0.01413923
  0.01641377]",4
