Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Warmth,Affectionate,Loving,Cherish,Affection,"[ 0.04697836 -0.04488566  0.00154353 ... -0.01950501  0.021316
 -0.01254277]",2
Warmth,Affectionate,Tender,Adore,Tenderness,"[ 0.018803   -0.04531194 -0.00787087 ... -0.01335343  0.00683506
 -0.00763996]",2
Warmth,Affectionate,Fond,Embrace,Fondness,"[ 0.02718688 -0.05825569  0.00597683 ... -0.00236764  0.00740243
 -0.00563884]",2
Warmth,Appreciative,Grateful,Value,Appreciation,"[ 0.00113616 -0.01752838 -0.01026965 ... -0.03389763  0.04987108
  0.01583209]",2
Warmth,Appreciative,Thankful,Praise,Gratitude,"[-0.00679914 -0.03882908 -0.00346881 ... -0.0311011   0.02742625
  0.0006865 ]",2
Warmth,Appreciative,Pleased,Appreciate,Thankfulness,"[ 0.00858311 -0.05086775 -0.017876   ... -0.02841759  0.03477934
  0.0203471 ]",2
Warmth,Generous,Bountiful,Give,Generosity,"[ 0.01381439 -0.0493497   0.01370417 ... -0.05437579  0.04314792
  0.00755383]",2
Warmth,Generous,Benevolent,Donate,Benevolence,"[-0.00320916 -0.04840146  0.02613441 ... -0.04236243  0.04301691
 -0.003436  ]",2
Warmth,Generous,Liberal,Contribute,Liberalness,"[ 0.01956188 -0.04315525  0.00622666 ... -0.02661698  0.02102787
 -0.0057609 ]",2
Warmth,Attentive,Observant,Attend,Attention,"[ 0.02001012  0.00287645 -0.01719987 ... -0.02666054  0.0426392
 -0.02346775]",2
Warmth,Attentive,Aware,Monitor,Awareness,"[ 0.02048118 -0.00685308 -0.02408724 ... -0.0354674   0.03122131
 -0.02517998]",2
Warmth,Attentive,Heedful,Notice,Mindfulness,"[ 0.02762519 -0.00195133 -0.0051048  ... -0.04995957  0.03687033
 -0.00898335]",2
Reasoning,Logical,Rational,Reason,Logic,"[ 0.01270156  0.00789538 -0.00891611 ...  0.0293373  -0.01028157
 -0.00232704]",0
Reasoning,Logical,Analytical,Analyze,Rationality,"[ 0.00444209  0.0097252  -0.01858267 ...  0.02321498  0.00487261
  0.01016573]",0
Reasoning,Logical,Cogent,Infer,Analysis,"[ 0.0352402   0.00928506 -0.01506689 ...  0.00981203  0.0017711
  0.00310987]",0
Reasoning,Intelligent,Smart,Understand,Intelligence,"[ 0.04013485 -0.0204663  -0.03496326 ...  0.01287396  0.00503405
  0.00301218]",0
Reasoning,Intelligent,Bright,Comprehend,Brightness,"[ 0.02446296 -0.03551791 -0.01223148 ...  0.01501372  0.00358324
  0.00825051]",0
Reasoning,Intelligent,Wise,Perceive,Wisdom,"[ 0.04692487 -0.04148055 -0.00754716 ... -0.00700704  0.01286185
 -0.00304983]",0
