Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Hero,Central figure who attempts to resolve a problem or conflict.,Protagonist,Lead,Hero,"[ 0.00246685 -0.03949443  0.0061935  ... -0.02571731 -0.00281748
  0.00803045]",2
Hero,Central figure who attempts to resolve a problem or conflict.,Lead,Resolve,Leader,"[-0.00747761 -0.01363977 -0.00284322 ... -0.01365254 -0.01278409
  0.00660916]",2
Hero,Central figure who attempts to resolve a problem or conflict.,Champion,Overcome,Protagonist,"[ 0.03135588 -0.05328773 -0.01978553 ... -0.02597777 -0.00169454
  0.01844101]",2
Villain,Opposing force that creates conflict for the protagonist.,Antagonist,Oppose,Villain,"[-0.02134388 -0.03252181  0.01399542 ...  0.01029819 -0.02598985
  0.03578779]",1
Villain,Opposing force that creates conflict for the protagonist.,Opposer,Conflict,Antagonist,"[-0.01961481 -0.02891213  0.00812647 ...  0.01063048 -0.02555026
  0.01850191]",1
Villain,Opposing force that creates conflict for the protagonist.,Adversary,Subdue,Opposer,"[-0.02806441 -0.02813788  0.02114627 ...  0.01488932 -0.03580294
  0.02423188]",1
Authotaty Figure,Person who holds power or control over other characters.,Leader,Lead,Authority,"[ 0.00966792 -0.02077449 -0.02386294 ... -0.05580338  0.01051923
  0.00209692]",2
Authotaty Figure,Person who holds power or control over other characters.,Controller,Supervise,Leader,"[ 0.02338509 -0.00818411 -0.02382783 ... -0.04816549  0.00322669
 -0.00600056]",2
Authotaty Figure,Person who holds power or control over other characters.,Supervisor,Govern,Supervisor,"[ 0.01219258 -0.01329485 -0.02588641 ... -0.04252188  0.01096859
  0.00289599]",2
Supportive Figure,Person who aids or encourages the protagonist.,Ally,Support,Supporter,"[ 0.03833413 -0.03735507 -0.03253506 ... -0.03130496 -0.01070695
  0.05327114]",0
Supportive Figure,Person who aids or encourages the protagonist.,Support,Encourage,Mentor,"[ 0.02604759 -0.04090362 -0.03894758 ... -0.04102742 -0.02239548
  0.0312472 ]",0
Supportive Figure,Person who aids or encourages the protagonist.,Mentor,Guide,Ally,"[ 0.01599792 -0.02180159 -0.04287141 ... -0.04489008 -0.01544279
  0.02911925]",0
Peer,"Equal figure in age, status, or relationship to the protagonist.",Friend,Accompany,Peer,"[ 0.01496938 -0.02760587 -0.0290056  ... -0.02667271  0.00290963
  0.0388815 ]",0
