Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Novelty Seeking,Adventurous,Bold,Explore,Adventure,"[ 0.03055783 -0.00110831  0.01032523 ...  0.00101049 -0.04297242
  0.00428129]",2
Novelty Seeking,Adventurous,Daring,Venture,Venturesomeness,"[ 0.02939098  0.00311929  0.01480149 ... -0.00819949 -0.01935171
 -0.00613637]",2
Novelty Seeking,Adventurous,Enterprising,Risk,Risk-taking,"[ 0.03672309  0.0073977   0.03042813 ... -0.01130401 -0.02498546
 -0.00768553]",2
Novelty Seeking,Adventurous,Audacious,Challenge,Daringness,"[ 0.03519916 -0.00469045  0.01354685 ... -0.0132978  -0.03148604
 -0.00917714]",2
Novelty Seeking,Adventurous,Intrepid,Dare,Bravery,"[ 0.03061461  0.00635464  0.00975236 ... -0.009924   -0.0280712
 -0.01384055]",2
Novelty Seeking,Adventurous,Venturesome,Embark,Exploration,"[ 0.03160783 -0.0022112   0.02717795 ... -0.00469927 -0.02683373
 -0.01091757]",2
Novelty Seeking,Impulsive,Rash,Act hastily,Impulsiveness,"[ 0.0268058   0.01018709 -0.00117359 ... -0.01564288 -0.04326187
 -0.00213094]",2
Novelty Seeking,Impulsive,Hasty,React spontaneously,Hastiness,"[ 0.00872802  0.01021186 -0.0038713  ... -0.01506668 -0.03208138
  0.00134021]",2
Novelty Seeking,Impulsive,Reckless,Leap impulsively,Recklessness,"[ 0.05316505  0.00888281  0.0144483  ... -0.01940598 -0.04056947
  0.02668505]",2
Novelty Seeking,Impulsive,Precipitate,Rush decisions,Spontaneity,"[ 0.00560711  0.01172601 -0.01780728 ... -0.02885592 -0.02893118
 -0.00376316]",2
Novelty Seeking,Impulsive,Unthinking,Jump ahead,Instinctiveness,"[ 0.01635123  0.02817104 -0.0204867  ... -0.02512077 -0.02866965
  0.01671785]",2
Novelty Seeking,Impulsive,Spontaneous,Dive in,Quickness,"[ 0.00732355  0.01883971 -0.02359596 ... -0.01851542 -0.00813814
 -0.00375057]",2
Novelty Seeking,Curious,Inquisitive,Explore,Curiosity,"[ 0.03452912 -0.02543453 -0.02209985 ... -0.01641573 -0.03898547
 -0.00331005]",2
Novelty Seeking,Curious,Investigative,Inquire,Inquisitiveness,"[ 0.02553581 -0.01410119 -0.03127571 ... -0.0221009  -0.03112506
  0.00300742]",2
Novelty Seeking,Curious,Probing,Probe,Inquiry,"[ 0.0144504  -0.03747031 -0.01172303 ... -0.02549159 -0.03430905
 -0.00120194]",2
Novelty Seeking,Curious,Inquiring,Examine,Exploration,"[ 0.022569   -0.01210391 -0.02620564 ... -0.01652875 -0.03817688
  0.00230606]",2
Novelty Seeking,Curious,Questioning,Research,Discovery,"[ 0.03469395 -0.02085002 -0.01229126 ... -0.00947659 -0.02513322
  0.00858935]",2
