Domain,Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Ability Model,Perceiving Emotions,Recognizing emotions in oneself and others,Perceiving Emotions,Recognize,Recognition,"[-0.01518159 -0.01080486 -0.01820086 ... -0.02595601  0.01249103
 -0.01163272]",8
Ability Model,Perceiving Emotions,Interpreting nonverbal cues,,Interpret,Interpretation,"[-0.03428023  0.01548319 -0.00908524 ... -0.02514626  0.01317881
  0.00533627]",2
Ability Model,Perceiving Emotions,Identifying emotions from facial expressions,,Identify,Identification,"[-0.0355666  -0.0099714  -0.02724084 ... -0.01250165  0.01698975
 -0.01192925]",2
Ability Model,Using Emotions,Harnessing emotions to facilitate thinking,Using Emotions,Harness,Harnessing,"[-0.01026163  0.03191645  0.00176362 ... -0.02466153 -0.01776872
 -0.01568665]",8
Ability Model,Using Emotions,Using emotions to enhance problem-solving,,Facilitate,Facilitation,"[-0.02743659  0.01825467  0.00915462 ... -0.03509045 -0.00086166
 -0.01855483]",2
Ability Model,Using Emotions,Emotional reasoning,,Enhance,Enhancement,"[ 0.00117523  0.02904629 -0.00240084 ... -0.03974755  0.00772715
 -0.01532921]",2
Ability Model,Understanding Emotions,Comprehending emotional language,Understanding Emotions,Comprehend,Comprehension,"[-0.01983891  0.01219002 -0.0261559  ... -0.00516903  0.01541194
 -0.01518361]",8
Ability Model,Understanding Emotions,Understanding the causes and consequences of emotions,,Understand,Understanding,"[-0.04190063  0.01602533 -0.01713537 ...  0.0003433   0.01139381
 -0.0098691 ]",2
Ability Model,Understanding Emotions,Knowing emotional transitions,,Know,Knowledge,"[-0.03190934  0.00861287 -0.01828498 ... -0.01636512  0.0136376
 -0.00341602]",2
Ability Model,Managing Emotions,Regulating one's own emotions,Managing Emotions,Regulate,Regulation,"[-0.00994706  0.03158721  0.02105814 ... -0.01968248  0.01222219
 -0.01621688]",4
Ability Model,Managing Emotions,Responding adaptively to emotional situations,,Respond,Response,"[-0.04550685  0.03537396  0.00604652 ... -0.02576204  0.02498058
 -0.02214129]",4
Ability Model,Managing Emotions,Emotionally self-control,,Control,Control,"[-0.01204417  0.04041324 -0.01467482 ... -0.03310964  0.02953899
 -0.02007137]",4
Trait Model,Self-Awareness,Being aware of one's emotions and their impact,Self-Awareness,Recognize,Recognition,"[-0.01316445  0.00084266 -0.02654912 ...  0.00602861  0.00156527
 -0.00434941]",11
