Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Boldness,Fearless,Brave,Challenge,Bravery,"[ 0.03256034 -0.02983717  0.05093073 ... -0.01598577 -0.00780889
  0.00421724]",2
Boldness,Fearless,Daring,Confront,Courage,"[ 0.03205066 -0.04429096  0.06843578 ... -0.01426254 -0.02206917
  0.00950836]",2
Boldness,Fearless,Courageous,Face,Daring,"[ 0.03940762 -0.04375686  0.04660737 ...  0.0001366  -0.00516472
  0.00624101]",2
Boldness,Fearless,Audacious,Endure,Audacity,"[ 0.05650108 -0.03028152  0.04199404 ... -0.0239137  -0.00974262
  0.01110933]",2
Boldness,Fearless,Intrepid,Defy,Intrepidity,"[ 0.0156345  -0.02037033  0.04133655 ... -0.01589325 -0.02727021
  0.00932268]",2
Boldness,Fearless,Valiant,Venture,Valor,"[ 0.01219941 -0.01810384  0.03758614 ... -0.00456042  0.00858477
  0.01209986]",2
Boldness,Dominant,Assertive,Lead,Authority,"[ 0.02625593 -0.02070913  0.04027393 ... -0.02064556 -0.0126909
  0.0141372 ]",2
Boldness,Dominant,Authoritative,Control,Command,"[ 0.04702856  0.01540378  0.05384385 ... -0.02763121 -0.00584388
  0.00026237]",2
Boldness,Dominant,Commanding,Command,Control,"[ 0.03912697 -0.00677227  0.06133665 ... -0.0148141  -0.00796918
  0.01841629]",2
Boldness,Dominant,Influential,Dominate,Dominance,"[ 0.04188507 -0.02161107  0.05830774 ... -0.01496933 -0.0124696
  0.03429867]",2
Boldness,Dominant,Controlling,Govern,Influence,"[ 0.0264287  -0.00852464  0.07096939 ... -0.03425258 -0.00652247
  0.02006795]",2
Boldness,Dominant,Powerful,Supervise,Supremacy,"[ 0.04481889 -0.0232548   0.05059801 ... -0.00055908 -0.01638441
 -0.01443242]",2
Boldness,Calm,Composed,Soothe,Composure,"[ 0.05794758 -0.0416489   0.00434089 ... -0.01618036 -0.00509888
  0.00407837]",2
Boldness,Calm,Serene,Stabilize,Serenity,"[ 0.04375391 -0.0209989   0.00423773 ... -0.00397357 -0.01625145
  0.00699839]",2
Boldness,Calm,Tranquil,Compose,Tranquility,"[ 0.05391088 -0.02796298  0.01348502 ... -0.01658796 -0.00885616
 -0.00640666]",2
Boldness,Calm,Relaxed,Pacify,Relaxation,"[ 0.03637064 -0.01729645 -0.01562072 ... -0.00977024  0.00955166
  0.01240041]",2
Boldness,Calm,Cool-headed,Calm,Coolness,"[ 0.06544019 -0.02379643 -0.00160905 ... -0.01796631  0.01130331
  0.01580976]",2
Boldness,Calm,Collected,Reassure,Equanimity,"[ 0.04498525 -0.03747237  0.00510569 ...  0.01464244 -0.016329
  0.00582248]",2
Boldness,Adventurous,Exploratory,Explore,Adventure,"[ 0.0193974  -0.0198485   0.04089994 ... -0.01222487 -0.05969587
  0.01855534]",2
Boldness,Adventurous,Venturesome,Venture,Exploration,"[ 0.03076562 -0.01649482  0.05535341 ... -0.01779217 -0.02773848
  0.00392293]",2
Boldness,Adventurous,Risk-taking,Risk,Venture,"[ 0.02727298 -0.01474532  0.05116804 ... -0.01136007 -0.03327978
  0.005166  ]",2
Boldness,Adventurous,Daring,Seek,Risk,"[ 0.03851225 -0.02858594  0.04028645 ... -0.00494404 -0.04879034
  0.00780798]",2
Boldness,Adventurous,Thrill-seeking,Dare,Daring,"[ 0.04630598 -0.016893    0.0068478  ... -0.00177279 -0.04456876
 -0.00576953]",2
Boldness,Adventurous,Audacious,Embark,Expedition,"[ 0.01770447 -0.03035052  0.04710848 ... -0.00284536 -0.04347759
 -0.01247537]",2
Boldness,Charming,Captivating,Charm,Charm,"[ 0.04938286 -0.04582347  0.01121658 ... -0.03783726 -0.0148358
  0.00181522]",2
Boldness,Charming,Alluring,Enchant,Allure,"[ 0.0533664  -0.06377657  0.00109124 ... -0.03812294 -0.02705499
 -0.00031906]",2
Boldness,Charming,Irresistible,Attract,Irresistibility,"[ 0.03951029 -0.05480267 -0.00972138 ...  0.00590572 -0.01425107
 -0.00211795]",2
Boldness,Charming,Enchanting,Bewitch,Enchantment,"[ 0.04515685 -0.05577197  0.01027453 ... -0.04484464 -0.02741767
  0.00659897]",2
Boldness,Charming,Appealing,Fascinate,Appeal,"[ 0.03671776 -0.0600538   0.00943277 ...  0.00382973 -0.01426092
  0.02056433]",2
Boldness,Charming,Magnetic,Mesmerize,Charisma,"[ 0.04684672 -0.03853292 -0.01181809 ... -0.05164206 -0.02628921
  0.00480597]",2
Boldness,Confident,Self-assured,Assert,Confidence,"[ 0.0319518  -0.06964088  0.03488148 ...  0.00066137 -0.02307121
  0.00349807]",2
Boldness,Confident,Poised,Proclaim,Assurance,"[ 0.04023053 -0.06351566  0.01947833 ...  0.00431782 -0.01504201
  0.00839864]",2
Boldness,Confident,Bold,Exude,Poise,"[ 0.06070338 -0.04270818 -0.00378826 ... -0.01171815 -0.0224332
  0.00495476]",2
Boldness,Confident,Certain,Demonstrate,Self-esteem,"[ 0.05102064 -0.06701218  0.00688398 ...  0.00516679 -0.01424009
 -0.01315876]",2
Boldness,Confident,Assured,Believe,Certainty,"[ 0.03085289 -0.06696752  0.00777302 ...  0.00496277 -0.01278063
 -0.00355018]",2
Boldness,Confident,Strong-willed,Trust,Determination,"[ 0.04398872 -0.03129399  0.0433097  ... -0.01236998 -0.03277012
 -0.00497087]",2
Disinhibition,Impulsive,Rash,Act,Impulsivity,"[-0.00472216  0.02633042 -0.00727943 ...  0.00352809 -0.0467886
  0.01788737]",0
Disinhibition,Impulsive,Hasty,React,Haste,"[-0.00677638  0.03885715 -0.01719931 ... -0.01997482 -0.03138689
  0.0285228 ]",0
Disinhibition,Impulsive,Reckless,Risk,Recklessness,"[ 0.0415613   0.01459763  0.01109391 ... -0.03013337 -0.03257815
  0.05324509]",0
Disinhibition,Impulsive,Careless,Jump,Carelessness,"[ 0.04906593  0.01687665  0.0090267  ... -0.03607702 -0.00592098
  0.03357456]",0
Disinhibition,Impulsive,Spontaneous,Spur,Spontaneity,"[-0.00520571  0.0026769  -0.03083438 ... -0.03486269 -0.03160449
  0.02513254]",0
Disinhibition,Impulsive,Unrestrained,Rush,Impetuosity,"[ 0.00495789  0.02129467 -0.04679033 ... -0.02539426 -0.02721951
  0.02422088]",0
Disinhibition,Irresponsible,Negligent,Neglect,Negligence,"[ 0.03334894  0.02624579 -0.02304578 ... -0.0108341  -0.02458121
  0.05912118]",0
Disinhibition,Irresponsible,Unreliable,Ignore,Unreliability,"[ 0.00871692  0.00323746 -0.02125064 ... -0.01146473 -0.03690523
  0.03320323]",0
Disinhibition,Irresponsible,Unaccountable,Overlook,Inattention,"[ 0.04248246  0.0076118  -0.01724862 ... -0.01291852 -0.0175215
  0.02987272]",0
Disinhibition,Irresponsible,Inattentive,Shirk,Irresponsibility,"[ 0.01907788  0.02169226 -0.02668077 ... -0.01455572 -0.00897367
  0.01794734]",0
Disinhibition,Irresponsible,Neglectful,Dismiss,Carelessness,"[ 0.04114122  0.02562779 -0.00795615 ... -0.01807764 -0.02851964
  0.03951723]",0
Disinhibition,Irresponsible,Carefree,Disregard,Lack of duty,"[ 0.05534138  0.02333899  0.00142881 ... -0.00869236 -0.01816704
  0.04117282]",0
Disinhibition,Impatient,Restless,Rush,Impatience,"[-0.01146392  0.02830472 -0.0382034  ... -0.01064507 -0.03602945
  0.00961607]",0
Disinhibition,Impatient,Hasty,Hurry,Restlessness,"[-0.00909229  0.01841771 -0.01615921 ... -0.01697518 -0.03199786
  0.02089478]",0
Disinhibition,Impatient,Agitated,Press,Haste,"[ 0.01172     0.04082891 -0.03234147 ... -0.0053783  -0.03404532
  0.00548181]",0
Disinhibition,Impatient,Antsy,Agitate,Eagerness,"[-0.00944059 -0.00949968 -0.04396743 ...  0.01440465 -0.03906246
  0.00460579]",0
Disinhibition,Impatient,Eager,Fidget,Urgency,"[-0.01990776  0.01004683 -0.03730574 ...  0.00205081 -0.03124821
  0.01939651]",0
Disinhibition,Impatient,Fidgety,Demand,Agitation,"[-0.02832061  0.01222024 -0.02322347 ...  0.00694413 -0.02346688
  0.01645115]",0
Disinhibition,Unrestrained,Uncontrolled,Unleash,Freedom,"[ 0.02720762  0.01753622 -0.00942222 ... -0.00392657 -0.04083479
  0.0131911 ]",0
Disinhibition,Unrestrained,Unbridled,Free,Wildness,"[ 0.03117751  0.03793415  0.00761258 ... -0.00354307 -0.03417709
  0.0181793 ]",0
Disinhibition,Unrestrained,Unchecked,Release,Abandon,"[ 0.03209363  0.05613162  0.01622404 ... -0.01000509 -0.05332826
  0.01770627]",0
Disinhibition,Unrestrained,Wild,Loose,Liberation,"[ 0.04055832  0.0275058   0.01082404 ...  0.0123601  -0.0606783
  0.00647453]",0
Disinhibition,Unrestrained,Uninhibited,Liberate,Unrestraint,"[ 0.01138068  0.01435593 -0.02717293 ...  0.00133831 -0.03669958
  0.02314243]",0
Disinhibition,Unrestrained,Freewheeling,Break free,Excess,"[ 0.03528567  0.00263317 -0.00213104 ... -0.00960876 -0.0323452
  0.02897089]",0
Disinhibition,Indulgent,Pampering,Indulge,Indulgence,"[-0.00826259  0.00944092 -0.02419504 ... -0.04387672 -0.00658793
  0.01096918]",0
Disinhibition,Indulgent,Overindulgent,Spoil,Leniency,"[ 0.02919147 -0.0161403  -0.05122918 ... -0.02755084 -0.00391314
  0.03975952]",0
Disinhibition,Indulgent,Permissive,Pamper,Permissiveness,"[ 0.00068116  0.01114942 -0.01645184 ... -0.05001476 -0.02009189
  0.00965901]",0
