Index,Subtest,Synonym,Verb,Noun,Embedding,Cluster
Verbal Comprehension Index (VCI),Similarities,Comparison,Compare,Similarity,"[-0.01859464 -0.0294253  -0.0310073  ...  0.01962903  0.00923648
  0.02374225]",2
Verbal Comprehension Index (VCI),Similarities,Matching,Match,Comparison,"[-0.02528599 -0.01968939 -0.00374478 ...  0.01392819  0.0139915
  0.0175875 ]",2
Verbal Comprehension Index (VCI),Similarities,Pairing,Pair,Match,"[-0.02081265 -0.02276542 -0.02338274 ...  0.00636537  0.01741107
  0.02024573]",2
Verbal Comprehension Index (VCI),Similarities,Resemblance,Resemble,Pair,"[-0.01504574 -0.04250355 -0.03050868 ...  0.01741863  0.01619307
  0.02348126]",2
Verbal Comprehension Index (VCI),Vocabulary,Lexicon,Define,Vocabulary,"[ 0.00836422 -0.00714637 -0.00803039 ...  0.02491338 -0.00890205
  0.01471311]",2
Verbal Comprehension Index (VCI),Vocabulary,Word list,Understand,Definition,"[-0.02351338 -0.0159082  -0.02359618 ...  0.03205295 -0.0071853
  0.01583723]",2
Verbal Comprehension Index (VCI),Vocabulary,Terminology,Explain,Word,"[-0.00333768  0.00607597 -0.00575735 ...  0.02877096  0.00342602
  0.03545895]",2
Verbal Comprehension Index (VCI),Vocabulary,Vocabulary,Interpret,Concept,"[-0.0016532  -0.00484521 -0.00533566 ...  0.02410757  0.00340679
  0.02660918]",2
Verbal Comprehension Index (VCI),Information,Knowledge,Know,Information,"[-0.00242911  0.01200493 -0.02274417 ...  0.00816949 -0.00696772
  0.02861239]",2
Verbal Comprehension Index (VCI),Information,Awareness,Learn,Fact,"[-0.01108255  0.00156799 -0.00615954 ...  0.01965235 -0.00520734
  0.02600035]",2
Verbal Comprehension Index (VCI),Information,Education,Acquire,Knowledge,"[ 0.00178053  0.00205192 -0.01028606 ...  0.01513123 -0.01004115
  0.03399561]",2
Verbal Comprehension Index (VCI),Information,Facts,Understand,Education,"[ 0.00883258 -0.00419014 -0.0062093  ...  0.01032514 -0.01695442
  0.02721494]",2
Verbal Comprehension Index (VCI),Comprehension,Understanding,Understand,Comprehension,"[-0.00040753  0.00371509 -0.01829157 ...  0.02967191  0.00248029
  0.02637503]",2
Verbal Comprehension Index (VCI),Comprehension,Awareness,Perceive,Understanding,"[ 0.00723142  0.00489491 -0.02916063 ...  0.01766085  0.00659508
  0.02071527]",2
Verbal Comprehension Index (VCI),Comprehension,Perception,Grasp,Awareness,"[ 0.01783664  0.0120108  -0.01348722 ...  0.01000235  0.01808936
  0.01773023]",2
