Factor,Adjective,Synonym,Verb,Noun
Sadness,Despondent,Down,Suffer,Sadness
Sadness,Despondent,Unhappy,Mourn,Gloom
Sadness,Despondent,Low,Grieve,Melancholy
Sadness,Despondent,Blue,Feel down,Dolor
Sadness,Despondent,Gloomy,Despair,Despondency
Sadness,Despondent,Miserable,Weep,Misery
Sadness,Mournful,Sorrowful,Mourn,Mourning
Sadness,Mournful,Grieving,Weep,Sorrow
Sadness,Mournful,Wistful,Lament,Lamentation
Sadness,Mournful,Elegiac,Bemoan,Grief
Sadness,Mournful,Aching,Wail,Wistfulness
Sadness,Mournful,Distressed,Sigh,Distress
Sadness,Somber,Dark,Reflect,Somberness
Sadness,Somber,Grave,Brood,Gravity
Sadness,Somber,Serious,Meditate,Seriousness
Sadness,Somber,Bleak,Contemplate,Bleakness
Sadness,Somber,Dreary,Dwell,Dreariness
Sadness,Somber,Overcast,Ruminate,Gloom
Sadness,Tearful,Weepy,Cry,Tears
Sadness,Tearful,Sobbing,Sob,Weeping
Sadness,Tearful,Teary,Weep,Sobbing
Sadness,Tearful,Emotional,Whimper,Whimpering
Sadness,Tearful,Sniffling,Sniffle,Sniffling
Sadness,Tearful,Forlorn,Wail,Lamentation
Sadness,Hopeless,Despairing,Despair,Hopelessness
Sadness,Hopeless,Defeated,Yield,Despair
Sadness,Hopeless,Forlorn,Mope,Defeat
Sadness,Hopeless,Bleak,Collapse,Futility
Sadness,Hopeless,Futile,Succumb,Gloom
Sadness,Hopeless,Inconsolable,Submit,Dejection
Sadness,Low-Spirited,Downcast,Droop,Low spirits
Sadness,Low-Spirited,Dejected,Slump,Downheartedness
Sadness,Low-Spirited,Crestfallen,Sigh,Dejection
Sadness,Low-Spirited,Discouraged,Wilt,Discouragement
Sadness,Low-Spirited,Weighted,Deflate,Oppression
Sadness,Low-Spirited,Oppressed,Brood,Gloom
Pessimism,Hopeless,Negative,Doubt,Pessimism
Pessimism,Hopeless,Dismal,Despair,Negativity
Pessimism,Hopeless,Defeatist,Distrust,Hopelessness
Pessimism,Hopeless,Cynical,Underestimate,Cynicism
Pessimism,Hopeless,Bleak,Resign,Defeatism
Pessimism,Hopeless,Discouraged,Lose faith,Desperation
Pessimism,Cynical,Skeptical,Scoff,Cynicism
Pessimism,Cynical,Distrustful,Mistrust,Skepticism
Pessimism,Cynical,Jaded,Deride,Distrust
Pessimism,Cynical,World-weary,Ridicule,Jadedness
Pessimism,Cynical,Suspicious,Question,Suspicion
Pessimism,Cynical,Scornful,Belittle,Scorn
Pessimism,Defeatist,Resigned,Give up,Defeatism
Pessimism,Defeatist,Beaten,Surrender,Resignation
Pessimism,Defeatist,Dejected,Yield,Abandonment
Pessimism,Defeatist,Self-defeating,Abandon,Surrender
Pessimism,Defeatist,Despairing,Submit,Yielding
Pessimism,Defeatist,Yielding,Quit,Submission
Pessimism,Negative,Downbeat,Reject,Negativity
Pessimism,Negative,Discouraging,Demean,Downbeat attitude
Pessimism,Negative,Unconstructive,Dismiss,Discouragement
Pessimism,Negative,Critical,Criticize,Criticism
Pessimism,Negative,Bleak,Undermine,Rejection
Pessimism,Negative,Gloomy,Disapprove,Dismay
Pessimism,Fatalistic,Doomed,Accept fate,Fatalism
Pessimism,Fatalistic,Predestined,Submit,Inevitability
Pessimism,Fatalistic,Inevitable,Surrender,Predestination
Pessimism,Fatalistic,Inescapable,Resign oneself,Doom
Pessimism,Fatalistic,Fated,Foretell doom,Surrender
Pessimism,Fatalistic,Foreordained,Brace for worst,Resignation
Pessimism,Foreboding,Ominous,Dread,Foreboding
Pessimism,Foreboding,Dread-laden,Anticipate doom,Dread
Pessimism,Foreboding,Gloom-laden,Sense negativity,Premonition
Pessimism,Foreboding,Worrisome,Brace,Worry
Pessimism,Foreboding,Anxious,Tremble,Tension
Pessimism,Foreboding,Tense,Expect worse,Dark expectation
Past Failure,Regretful,Remorseful,Regret,Regret
Past Failure,Regretful,Repentant,Rue,Remorse
Past Failure,Regretful,Contrite,Lament,Repentance
Past Failure,Regretful,Apologetic,Feel sorry,Contrition
Past Failure,Regretful,Sorrowful,Reflect,Apology
Past Failure,Regretful,Penitent,Bemoan,Sorrow
Past Failure,Remorseful,Guilt-ridden,Feel guilty,Remorse
Past Failure,Remorseful,Shamefaced,Atone,Guilt
Past Failure,Remorseful,Self-accusing,Self-accuse,Shame
Past Failure,Remorseful,Conscience-stricken,Confess,Conscience burden
Past Failure,Remorseful,Repentant,Reproach oneself,Self-accusation
Past Failure,Remorseful,Heavyhearted,Pine,Regretfulness
Past Failure,Ashamed,Embarrassed,Blush,Shame
Past Failure,Ashamed,Humiliated,Hide face,Embarrassment
Past Failure,Ashamed,Chagrined,Lower eyes,Humiliation
Past Failure,Ashamed,Disgraced,Falter,Disgrace
Past Failure,Ashamed,Abashed,Feel inferior,Abashment
Past Failure,Ashamed,Mortified,Apologize,Mortification
Past Failure,Defeated,Overcome,Lose,Defeat
Past Failure,Defeated,Vanquished,Give up,Loss
Past Failure,Defeated,Beaten,Bow out,Surrender
Past Failure,Defeated,Subdued,Submit,Submission
Past Failure,Defeated,Discouraged,Succumb,Discouragement
Past Failure,Defeated,Demoralized,Concede,Demoralization
Past Failure,Self-blaming,Self-accusing,Blame oneself,Self-blame
Past Failure,Self-blaming,Self-reproaching,Take fault,Self-reproach
Past Failure,Self-blaming,Self-condemning,Accept guilt,Self-condemnation
Past Failure,Self-blaming,Guilt-laden,Criticize self,Guilt acceptance
Past Failure,Self-blaming,Fault-finding,Condemn self,Fault assumption
Past Failure,Self-blaming,Self-criticizing,Accuse self,Self-criticism
Past Failure,Humbled,Penitent,Humble oneself,Humility
Past Failure,Humbled,Meek,Lower pride,Submission
Past Failure,Humbled,Subdued,Yield,Modesty
Past Failure,Humbled,Docile,Acknowledge mistakes,Meekness
Past Failure,Humbled,Modest,Bow down,Contrition
Past Failure,Humbled,Contrite,Step back,Subdued pride
Loss of Pleasure,Joyless,Uninterested,Lose interest,Joylessness
Loss of Pleasure,Joyless,Apathetic,Disengage,Apathy
Loss of Pleasure,Joyless,Unresponsive,Feel numb,Boredom
Loss of Pleasure,Joyless,Bored,Detach,Disinterest
Loss of Pleasure,Joyless,Indifferent,Withdraw,Detachment
Loss of Pleasure,Joyless,Detached,Ignore,Indifference
Loss of Pleasure,Anhedonic,Pleasureless,Feel nothing,Anhedonia
Loss of Pleasure,Anhedonic,Numb,Numb out,Flatness
Loss of Pleasure,Anhedonic,Unfeeling,Lack enjoyment,Void
Loss of Pleasure,Anhedonic,Flat,Disconnect,Emotional emptiness
Loss of Pleasure,Anhedonic,Deadened,Deaden emotion,Numbness
Loss of Pleasure,Anhedonic,Vacant,Withdraw,Affective dullness
Loss of Pleasure,Disenchanted,Disillusioned,Lose faith,Disenchantment
Loss of Pleasure,Disenchanted,Disappointed,Question illusions,Disillusionment
Loss of Pleasure,Disenchanted,Jaded,Awaken to reality,Disappointment
Loss of Pleasure,Disenchanted,Resigned,Feel let down,Jadedness
Loss of Pleasure,Disenchanted,World-weary,Turn away,Resignation
Loss of Pleasure,Disenchanted,Unimpressed,Abandon hope,World-weariness
Loss of Pleasure,Unenthusiastic,Lackluster,Drag along,Unenthusiasm
Loss of Pleasure,Unenthusiastic,Unexcited,Show no zeal,Lack of zeal
Loss of Pleasure,Unenthusiastic,Halfhearted,Go through motions,Halfheartedness
Loss of Pleasure,Unenthusiastic,Uninspired,Conserve energy,Reluctance
Loss of Pleasure,Unenthusiastic,Tepid,Hold back,Tepidity
Loss of Pleasure,Unenthusiastic,Reluctant,Shrug off,Spiritlessness
Loss of Pleasure,Lifeless,Inert,Wither,Lifelessness
Loss of Pleasure,Lifeless,Deadened,Fade,Deadness
Loss of Pleasure,Lifeless,Drained,Slack off,Inertia
Loss of Pleasure,Lifeless,Vacant,Lose vitality,Vacuum
Loss of Pleasure,Lifeless,Stagnant,Diminish,Stagnation
Loss of Pleasure,Lifeless,Hollow,Cease,Hollowness
Loss of Pleasure,Bland,Tasteless,Bore,Blandness
Loss of Pleasure,Bland,Drab,Underwhelm,Monotony
Loss of Pleasure,Bland,Monotonous,Fail to excite,Plainness
Loss of Pleasure,Bland,Plain,Fall flat,Dullness
Loss of Pleasure,Bland,Uninteresting,Lack flavor,Ennui
Loss of Pleasure,Bland,Uninspiring,Dull,Tediousness
Guilty Feelings,Ashamed,Remorseful,Feel guilty,Guilt
Guilty Feelings,Ashamed,Conscience-stricken,Regret,Remorse
Guilty Feelings,Ashamed,Sinful,Repent,Shame
Guilty Feelings,Ashamed,Culpable,Rue,Sinfulness
Guilty Feelings,Ashamed,Tormented,Atone,Culpability
Guilty Feelings,Ashamed,Blameworthy,Reproach,Moral distress
