Factor,Adjective,Synonym,Verb,Noun
Achievers,Competitive,Aggressive,Compete,Competitiveness
Achievers,Competitive,Ambitious,Strive,Ambition
Achievers,Competitive,Driven,Surpass,Drive
Achievers,Competitive,Determined,Challenge,Determination
Achievers,Goal-Oriented,Purposeful,Achieve,Goal
Achievers,Goal-Oriented,Aimed,Target,Purpose
Achievers,Goal-Oriented,Targeted,Aim,Target
Achievers,Goal-Oriented,Directed,Direct,Direction
Achievers,Skillful,Talented,Master,Skill
Achievers,Skillful,Proficient,Perfect,Proficiency
Achievers,Skillful,Adept,Refine,Mastery
Achievers,Skillful,Accomplished,Improve,Accomplishment
Achievers,Persistent,Determined,Persist,Persistence
Achievers,Persistent,Tenacious,Endure,Determination
Achievers,Persistent,Resolute,Persevere,Tenacity
Achievers,Persistent,Unyielding,Struggle,Resolution
Explorers,Curious,Inquisitive,Explore,Curiosity
Explorers,Curious,Interested,Investigate,Inquisitiveness
Explorers,Curious,Eager,Question,Interest
Explorers,Curious,Inquiring,Seek,Inquiry
Explorers,Adventurous,Daring,Adventure,Adventure
Explorers,Adventurous,Bold,Dare,Daring
Explorers,Adventurous,Brave,Explore,Bravery
Explorers,Adventurous,Fearless,Risk,Fearlessness
Explorers,Innovative,Inventive,Innovate,Innovation
Explorers,Innovative,Creative,Invent,Invention
Explorers,Innovative,Original,Create,Creativity
Explorers,Innovative,Resourceful,Experiment,Resourcefulness
Explorers,Analytical,Logical,Analyze,Analysis
Explorers,Analytical,Systematic,Examine,Logic
Explorers,Analytical,Rational,Dissect,System
Explorers,Analytical,Objective,Interpret,Objectivity
Socializers,Friendly,Amiable,Greet,Friendship
Socializers,Friendly,Affable,Welcome,Amiability
Socializers,Friendly,Cordial,Socialize,Affability
Socializers,Friendly,Kind,Befriend,Kindness
Socializers,Communicative,Talkative,Talk,Communication
Socializers,Communicative,Chatty,Chat,Conversation
Socializers,Communicative,Garrulous,Converse,Talk
Socializers,Communicative,Verbose,Communicate,Chat
Socializers,Empathetic,Compassionate,Empathize,Empathy
Socializers,Empathetic,Sympathetic,Understand,Compassion
Socializers,Empathetic,Understanding,Care,Sympathy
Socializers,Empathetic,Caring,Sympathize,Understanding
Socializers,Cooperative,Collaborative,Collaborate,Cooperation
Socializers,Cooperative,Team,Cooperate,Collaboration
Socializers,Cooperative,Joint,Unite,Teamwork
Socializers,Cooperative,United,Work together,Unity
Killers,Competitive,Aggressive,Compete,Competitiveness
Killers,Competitive,Ambitious,Strive,Ambition
Killers,Competitive,Driven,Surpass,Drive
Killers,Competitive,Determined,Challenge,Determination
Killers,Dominating,Controlling,Dominate,Domination
Killers,Dominating,Commanding,Control,Control
Killers,Dominating,Dictatorial,Command,Command
Killers,Dominating,Imperious,Dictate,Dictatorship
Killers,Provocative,Challenging,Provoke,Provocation
Killers,Provocative,Stimulating,Challenge,Challenge
Killers,Provocative,Exciting,Excite,Excitement
Killers,Provocative,Stirring,Stimulate,Stimulation
Killers,Intimidating,Frightening,Intimidate,Intimidation
Killers,Intimidating,Terrifying,Frighten,Fright
Killers,Intimidating,Alarming,Terrify,Terror
Killers,Intimidating,Menacing,Alarm,Alarm
