Domain,Subcategory,Factor,Adjective,Synonym,Verb,Noun
Type,Dominance,Assertiveness,Assertive,Decisive,Assert,Assertiveness
Type,Dominance,Competitive,Confident,Direct,Compete,Competition
Type,Dominance,Adventurous,Impatient,Strong-willed,Explore,Adventure
Type,Dominance,Independent,Dominant,Ambitious,Independently decide,Independence
Type,Influence,Sociability,Sociable,Enthusiastic,Influence,Sociability
Type,Influence,Expressive,Persuasive,Energetic,Persuade,Persuasion
Type,Influence,Enthusiastic,Collaborative,Outgoing,Inspire,Inspiration
Type,Influence,Inspirational,Impulsive,Charming,Motivate,Enthusiasm
Type,Steadiness,Cooperativeness,Cooperative,Patient,Cooperate,Cooperation
Type,Steadiness,Even-tempered,Stable,Supportive,Accommodate,Accommodation
Type,Steadiness,Accommodating,Loyal,Accommodating,Listen,Patience
Type,Steadiness,Patient,Indecisive,Reliable,Support,Loyalty
Type,Conscientiousness,Analytical Nature,Analytical,Detail-oriented,Analyze,Analysis
Type,Conscientiousness,Cautious,Conscientious,Systematic,Organize,Conscientiousness
Type,Conscientiousness,Precise,Diligent,Precise,Thoroughly review,Diligence
Type,Conscientiousness,Analytical,Perfectionistic,Thorough,Systematize,Perfectionism
Person,Person ID,Identification,Unique,ID,Identify,Identification
Person,Name,Identity,Identifiable,Full Name,Recognize,Identity
Person,Department,Organization,Organized,Division,Organize,Organization
Person,Tenure,Experience,Experienced,Seniority,Serve,Experience
Person,Job Level,Hierarchy,Hierarchical,Position Level,Promote,Hierarchy
Workplace Priorities,Priorities,Motivators,Motivated,Goals,Set goals,Priority
Workplace Priorities,Motivators Description,Intrinsic Motivators,Intrinsic,Internal Drives,Drive,Motivation
Workplace Priorities,Motivators Description,Extrinsic Motivators,Extrinsic,External Rewards,Reward,Reward
Workplace Priorities,Motivators Description,Personal Motivators,Personal,Personal Goals,Achieve,Achievement
Workplace Priorities,Strategies for Building Relationships,Interpersonal Skills,Collaborative,Interpersonal Skills,Build relationships,Relationship
Workplace Priorities,Strategies for Building Relationships,Empathy,Empathetic,Connection Building,Collaborate,Collaboration
Workplace Priorities,Strategies for Building Relationships,Active Listening,Supportive,Relational Strategies,Support,Support
Workplace Priorities,Strategies for Communication,Clarity,Clear,Communication Techniques,Communicate,Clarity
Workplace Priorities,Strategies for Communication,Active Listening,Effective,Interpersonal Communication,Listen,Effectiveness
Workplace Priorities,Strategies for Communication,Assertiveness,Adaptive,Messaging Approaches,Adapt,Adaptability
