Factor,Adjective,Synonym,Verb,Noun
Machiavellianism,Manipulative,Scheming,Manipulate,Manipulation
Machiavellianism,Manipulative,Calculating,Scheme,Deception
Machiavellianism,Manipulative,Cunning,Plot,Scheming
Machiavellianism,Manipulative,Deceptive,Deceive,Subterfuge
Machiavellianism,Strategic,Tactical,Strategize,Strategy
Machiavellianism,Strategic,Calculative,Calculate,Tactics
Machiavellianism,Strategic,Pragmatic,Plan,Planning
Machiavellianism,Strategic,Astute,Orchestrate,Orchestration
Machiavellianism,Exploitative,Predatory,Exploit,Exploitation
Machiavellianism,Exploitative,Unscrupulous,Take advantage,Advantage-taking
Machiavellianism,Exploitative,Opportunistic,Use,Opportunism
Machiavellianism,Exploitative,Abusive,Leverage,Abuse
Machiavellianism,Duplicitous,Two-faced,Deceive,Duplicity
Machiavellianism,Duplicitous,Dishonest,Mislead,Deceit
Machiavellianism,Duplicitous,Deceitful,Lie,Dishonesty
Machiavellianism,Duplicitous,Insincere,Feign,Insincerity
Machiavellianism,Cynical,Distrustful,Doubt,Cynicism
Machiavellianism,Cynical,Skeptical,Question,Distrust
Machiavellianism,Cynical,Pessimistic,Suspect,Suspicion
Machiavellianism,Cynical,Suspicious,Distrust,Skepticism
Machiavellianism,Cold-Hearted,Callous,Ignore,Callousness
Machiavellianism,Cold-Hearted,Unemotional,Dismiss,Indifference
Machiavellianism,Cold-Hearted,Detached,Detach,Detachment
Machiavellianism,Cold-Hearted,Indifferent,Disregard,Coldness
Narcissism,Grandiose,Pretentious,Boast,Grandiosity
Narcissism,Grandiose,Self-aggrandizing,Brag,Pretension
Narcissism,Grandiose,Self-important,Flaunt,Arrogance
Narcissism,Grandiose,Arrogant,Exalt,Self-aggrandizement
Narcissism,Entitled,Privileged,Expect,Entitlement
Narcissism,Entitled,Demanding,Demand,Privilege
Narcissism,Entitled,Expectant,Insist,Presumption
Narcissism,Entitled,Presumptuous,Assert,Expectation
Narcissism,Attention-Seeking,Exhibitionistic,Show off,Exhibitionism
Narcissism,Attention-Seeking,Showy,Exhibit,Flamboyance
Narcissism,Attention-Seeking,Flamboyant,Perform,Theatrics
Narcissism,Attention-Seeking,Theatrical,Attract attention,Attention-seeking
Narcissism,Self-Admiring,Vain,Admire oneself,Vanity
Narcissism,Self-Admiring,Conceited,Preen,Conceit
Narcissism,Self-Admiring,Self-loving,Praise oneself,Self-admiration
Narcissism,Self-Admiring,Self-absorbed,Self-exalt,Egotism
Narcissism,Authoritative,Dominant,Command,Authority
Narcissism,Authoritative,Commanding,Control,Dominance
Narcissism,Authoritative,Assertive,Dominate,Control
Narcissism,Authoritative,Controlling,Assert,Assertiveness
Narcissism,Superior,Haughty,Look down,Superiority
Narcissism,Superior,Arrogant,Condescend,Haughtiness
