Factor,Adjective,Synonym,Verb,Noun
Narcissism,Arrogant,Pompous,Boast,Arrogance
Narcissism,Arrogant,Conceited,Brag,Conceit
Narcissism,Arrogant,Haughty,Show off,Haughtiness
Narcissism,Manipulative,Crafty,Manipulate,Manipulation
Narcissism,Manipulative,Devious,Scheme,Deception
Narcissism,Manipulative,Sly,Exploit,Scheming
Narcissism,Entitled,Presumptuous,Demand,Entitlement
Narcissism,Entitled,Pretentious,Expect,Presumption
Narcissism,Entitled,Assuming,Assume,Pretension
Narcissism,Grandiose,Pompous,Exaggerate,Grandiosity
Narcissism,Grandiose,Highfalutin,Flaunt,Pomposity
Narcissism,Grandiose,Grandiloquent,Ostentate,Flamboyance
Narcissism,Self-centered,Egocentric,Focus on self,Self-centeredness
Narcissism,Self-centered,Egotistical,Prioritize self,Egocentrism
Narcissism,Self-centered,Self-involved,Promote self,Selfishness
Narcissism,Domineering,Overbearing,Dominate,Domination
Narcissism,Domineering,Autocratic,Control,Control
Narcissism,Domineering,Imperious,Dictate,Authority
Machiavellianism,Deceptive,Dishonest,Deceive,Deception
Machiavellianism,Deceptive,Duplicitous,Mislead,Duplicity
Machiavellianism,Deceptive,Fraudulent,Cheat,Fraudulence
Machiavellianism,Cunning,Crafty,Plot,Cunning
Machiavellianism,Cunning,Sly,Plan,Slyness
Machiavellianism,Cunning,Scheming,Conspire,Scheming
Machiavellianism,Unemotional,Apathetic,Detach,Apathy
Machiavellianism,Unemotional,Passionless,Disengage,Indifference
Machiavellianism,Unemotional,Indifferent,Withdraw,Dispassion
Machiavellianism,Manipulative,Controlling,Manipulate,Manipulation
Machiavellianism,Manipulative,Crafty,Influence,Control
Machiavellianism,Manipulative,Devious,Control,Craftiness
Machiavellianism,Exploitative,User,Exploit,Exploitation
Machiavellianism,Exploitative,Opportunistic,Take advantage,Opportunism
Machiavellianism,Exploitative,Predatory,Use,Predation
Machiavellianism,Strategic,Calculating,Strategize,Strategy
Machiavellianism,Strategic,Tactical,Plan,Tactics
Machiavellianism,Strategic,Devious,Scheme,Calculation
Psychopathy,Impulsive,Rash,Act impulsively,Impulsiveness
Psychopathy,Impulsive,Reckless,React quickly,Recklessness
Psychopathy,Impulsive,Hasty,Jump into,Hastiness
Psychopathy,Insensitive,Heartless,Ignore,Insensitivity
Psychopathy,Insensitive,Unfeeling,Disregard,Heartlessness
Psychopathy,Insensitive,Callous,Neglect,Callousness
Psychopathy,Remorseless,Ruthless,Act without remorse,Remorselessness
Psychopathy,Remorseless,Merciless,Show no pity,Ruthlessness
Psychopathy,Remorseless,Pitiless,Be merciless,Mercilessness
Psychopathy,Irresponsible,Neglectful,Neglect,Irresponsibility
Psychopathy,Irresponsible,Careless,Ignore,Negligence
Psychopathy,Irresponsible,Inattentive,Overlook,Carelessness
Psychopathy,Reckless,Foolhardy,Act recklessly,Recklessness
Psychopathy,Reckless,Thoughtless,Take risks,Risk-taking
Psychopathy,Reckless,Risky,Disregard safety,Foolhardiness
Psychopathy,Callous,Cold-hearted,Show indifference,Callousness
Psychopathy,Callous,Unsympathetic,Be unsympathetic,Cold-heartedness
Psychopathy,Callous,Insensitive,Ignore feelings,Indifference
