Type,Name,Factor,Adjective,Synonym,Verb,Noun,Adjacencies
Type 1,Perfectionist,Perfectionism,Detail-Oriented,Precision,Perfect,Precision,"['Type 9', 'Type 2', 'Type 6']"
Type 1,Perfectionist,Perfectionism,Disciplined,Discipline,Refine,Discipline,"['Type 9', 'Type 2', 'Type 6']"
Type 1,Perfectionist,Perfectionism,Inflexible,Rigidity,Structure,Rigidity,"['Type 9', 'Type 2', 'Type 6']"
Type 1,Perfectionist,Resentment,Judgmental,Critique,Criticize,Criticism,"['Type 9', 'Type 2', 'Type 6']"
Type 1,Perfectionist,Resentment,Critical,Condemnation,Condemn,Condemnation,"['Type 9', 'Type 2', 'Type 6']"
Type 1,Perfectionist,Resentment,Unforgiving,Grudge,Resent,Grudge,"['Type 9', 'Type 2', 'Type 6']"
Type 1,Perfectionist,Anger,Irritable,Irritation,Irritate,Irritation,"['Type 9', 'Type 2', 'Type 6']"
Type 1,Perfectionist,Anger,Frustrated,Frustration,Frustrate,Frustration,"['Type 9', 'Type 2', 'Type 6']"
Type 1,Perfectionist,Anger,Temperamental,Temper,Lose temper,Temper,"['Type 9', 'Type 2', 'Type 6']"
Type 2,Helper,Helpfulness,Caring,Assistance,Help,Assistance,"['Type 1', 'Type 3', 'Type 8']"
Type 2,Helper,Helpfulness,Supportive,Support,Support,Support,"['Type 1', 'Type 3', 'Type 8']"
Type 2,Helper,Helpfulness,Self-Sacrificing,Sacrifice,Sacrifice,Sacrifice,"['Type 1', 'Type 3', 'Type 8']"
Type 2,Helper,Need for Appreciation,Desire for Recognition,Recognition,Recognize,Recognition,"['Type 1', 'Type 3', 'Type 8']"
Type 2,Helper,Need for Appreciation,Approval-Seeking,Approval,Approve,Approval,"['Type 1', 'Type 3', 'Type 8']"
Type 2,Helper,Need for Appreciation,Validation-Driven,Validation,Validate,Validation,"['Type 1', 'Type 3', 'Type 8']"
Type 2,Helper,Pride,Ego-Driven,Ego,Boost ego,Ego,"['Type 1', 'Type 3', 'Type 8']"
Type 2,Helper,Pride,Self-Importance,Arrogance,Overestimate,Arrogance,"['Type 1', 'Type 3', 'Type 8']"
Type 2,Helper,Pride,Arrogant,Self-Importance,Brag,Pride,"['Type 1', 'Type 3', 'Type 8']"
Type 3,Achiever,Achievement Orientation,Goal-Oriented,Goals,Achieve,Goal,"['Type 2', 'Type 4', 'Type 9']"
Type 3,Achiever,Achievement Orientation,Ambitious,Ambition,Pursue,Ambition,"['Type 2', 'Type 4', 'Type 9']"
Type 3,Achiever,Achievement Orientation,Driven,Drive,Succeed,Achievement,"['Type 2', 'Type 4', 'Type 9']"
Type 3,Achiever,Adaptability,Flexible,Flexibility,Adapt,Flexibility,"['Type 2', 'Type 4', 'Type 9']"
Type 3,Achiever,Adaptability,Versatile,Versatility,Change,Adaptability,"['Type 2', 'Type 4', 'Type 9']"
Type 3,Achiever,Adaptability,Open-Minded,Open-Mindedness,Pivot,Versatility,"['Type 2', 'Type 4', 'Type 9']"
Type 3,Achiever,Vanity,Self-Centered,Ego,Boast,Ego,"['Type 2', 'Type 4', 'Type 9']"
Type 3,Achiever,Vanity,Narcissistic,Pride,Show off,Pride,"['Type 2', 'Type 4', 'Type 9']"
Type 3,Achiever,Vanity,Egotistical,Arrogance,Brag,Vanity,"['Type 2', 'Type 4', 'Type 9']"
Type 4,Individualist,Emotional Sensitivity,Empathetic,Empathy,Empathize,Empathy,"['Type 3', 'Type 5', 'Type 8']"
Type 4,Individualist,Emotional Sensitivity,Sensitive,Sensitivity,Feel,Sensitivity,"['Type 3', 'Type 5', 'Type 8']"
Type 4,Individualist,Emotional Sensitivity,Moody,Moodiness,Perceive,Mood,"['Type 3', 'Type 5', 'Type 8']"
Type 4,Individualist,Individualism,Unique,Uniqueness,Create,Uniqueness,"['Type 3', 'Type 5', 'Type 8']"
Type 4,Individualist,Individualism,Creative,Creativity,Express,Creativity,"['Type 3', 'Type 5', 'Type 8']"
Type 4,Individualist,Individualism,Idiosyncratic,Individuality,Innovate,Individuality,"['Type 3', 'Type 5', 'Type 8']"
