Factor,Adjective,Synonym,Verb,Noun
Authority,Dominant,Authoritative,Dominate,Dominance
Authority,Dominant,Controlling,Control,Authority
Authority,Dominant,Commanding,Command,Command
Authority,Dominant,Assertive,Assert,Assertiveness
Authority,Powerful,Influential,Influence,Power
Authority,Powerful,Potent,Empower,Influence
Authority,Powerful,Commanding,Command,Command
Authority,Powerful,Dominating,Dominate,Domination
Authority,Ambitious,Driven,Aspire,Ambition
Authority,Ambitious,Aspiring,Strive,Aspiration
Authority,Ambitious,Determined,Pursue,Determination
Authority,Ambitious,Motivated,Push,Motivation
Authority,Confident,Self-assured,Assure,Confidence
Authority,Confident,Assured,Convince,Assurance
Authority,Confident,Self-confident,Secure,Self-belief
Authority,Confident,Sure,Embolden,Certainty
Authority,Decisive,Resolute,Decide,Decision
Authority,Decisive,Determined,Resolve,Resolution
Authority,Decisive,Unwavering,Determine,Determination
Authority,Decisive,Final,Conclude,Finality
Authority,Leader,Guiding,Lead,Leadership
Authority,Leader,Leading,Guide,Guidance
Authority,Leader,Influential,Influence,Influence
Authority,Leader,Commanding,Command,Command
Self-Sufficiency,Independent,Self-reliant,Operate,Independence
Self-Sufficiency,Independent,Autonomous,Function,Autonomy
Self-Sufficiency,Independent,Individualistic,Manage,Self-reliance
Self-Sufficiency,Independent,Self-governing,Sustain,Self-governance
Self-Sufficiency,Self-Reliant,Resourceful,Sustain,Self-reliance
Self-Sufficiency,Self-Reliant,Self-supporting,Support,Self-support
Self-Sufficiency,Self-Reliant,Self-sustaining,Maintain,Self-sufficiency
Self-Sufficiency,Self-Reliant,Self-subsistent,Uphold,Self-sustainment
Self-Sufficiency,Self-Contained,Self-governed,Regulate,Self-containment
Self-Sufficiency,Self-Contained,Self-administered,Manage,Self-control
Self-Sufficiency,Self-Contained,Self-regulated,Control,Self-regulation
Self-Sufficiency,Self-Contained,Self-controlled,Administer,Self-management
Self-Sufficiency,Self-Sustaining,Self-supporting,Preserve,Self-sustainment
Self-Sufficiency,Self-Sustaining,Self-maintaining,Maintain,Self-maintenance
Self-Sufficiency,Self-Sustaining,Self-perpetuating,Perpetuate,Self-preservation
Self-Sufficiency,Self-Sustaining,Self-nourishing,Nourish,Self-perpetuation
Self-Sufficiency,Self-Sovereign,Self-governing,Govern,Self-sovereignty
Self-Sufficiency,Self-Sovereign,Self-ruling,Rule,Self-governance
Self-Sufficiency,Self-Sovereign,Independent,Control,Autonomy
Self-Sufficiency,Self-Sovereign,Autonomous,Direct,Independence
Self-Sufficiency,Self-Governing,Independent,Govern,Self-governance
Self-Sufficiency,Self-Governing,Autonomous,Direct,Autonomy
Self-Sufficiency,Self-Governing,Self-determining,Regulate,Independence
Self-Sufficiency,Self-Governing,Self-regulating,Administer,Self-regulation
Entitlement,Entitled,Privileged,Demand,Entitlement
Entitlement,Entitled,Deserving,Expect,Privilege
Entitlement,Entitled,Overvaluing,Claim,Deservedness
Entitlement,Entitled,Assumed special,Assert entitlement,Egotism
Entitlement,Presumptuous,Overconfident,Presume,Presumption
Entitlement,Presumptuous,Immodest,Assume,Presumptuousness
Entitlement,Presumptuous,Forward,Overstep,Impudence
Entitlement,Presumptuous,Brazen,Take liberties,Overconfidence
Entitlement,Demanding,Insistent,Demand,Demand
Entitlement,Demanding,Exacting,Require,Insistence
Entitlement,Demanding,Pushy,Insist,Expectation
Entitlement,Demanding,Imperative,Press for,Obligation
Entitlement,Overbearing,Domineering,Dominate,Domination
Entitlement,Overbearing,Oppressive,Overwhelm,Oppression
Entitlement,Overbearing,Intimidating,Suppress,Overbearingness
Entitlement,Overbearing,Bossy,Intimidate,Intimidation
Entitlement,Imperious,Authoritative,Command,Imperiousness
Entitlement,Imperious,Dictatorial,Dictate,High-handedness
Entitlement,Imperious,High-handed,Order,Dictatorship
Entitlement,Imperious,Bossy,Dominate,Command
Entitlement,Self-Entitled,Self-important,Deem oneself deserving,Self-entitlement
Entitlement,Self-Entitled,Egotistic,Assume entitlement,Self-importance
Entitlement,Self-Entitled,Pretentious,Self-justify,Egotism
Entitlement,Self-Entitled,Arrogant,Demand special treatment,Arrogance
Exploitativeness,Manipulative,Crafty,Manipulate,Manipulation
Exploitativeness,Manipulative,Scheming,Scheme,Deception
Exploitativeness,Manipulative,Calculating,Exploit,Exploitation
Exploitativeness,Manipulative,Deceptive,Trick,Trickery
Exploitativeness,Opportunistic,Advantageous,Capitalize,Opportunism
Exploitativeness,Opportunistic,Opportune,Utilize,Advantage
Exploitativeness,Opportunistic,Beneficial,Exploit,Benefit
Exploitativeness,Opportunistic,Fortuitous,Seize,Fortuity
Exploitativeness,Shrewd,Astute,Calculate,Shrewdness
Exploitativeness,Shrewd,Cunning,Plan,Cunning
Exploitativeness,Shrewd,Wily,Devise,Astuteness
Exploitativeness,Shrewd,Sly,Concoct,Slyness
Exploitativeness,Deceptive,Misleading,Deceive,Deception
Exploitativeness,Deceptive,Dishonest,Mislead,Dishonesty
Exploitativeness,Deceptive,False,Lie,Falsehood
Exploitativeness,Deceptive,Duplicitous,Trick,Duplicitousness
Exploitativeness,Self-Serving,Selfish,Serve,Selfishness
Exploitativeness,Self-Serving,Egocentric,Benefit,Egocentrism
Exploitativeness,Self-Serving,Self-centered,Profit,Self-centeredness
Exploitativeness,Self-Serving,Self-interested,Advantage,Self-interest
Exploitativeness,Exploitative,Predatory,Exploit,Exploitation
Exploitativeness,Exploitative,Manipulative,Use,Abuse
Exploitativeness,Exploitative,Abusive,Abuse,Manipulation
Exploitativeness,Exploitative,Unscrupulous,Manipulate,Unscrupulousness
Exhibitionism,Attention-Seeking,Sensational,Display,Exhibitionism
Exhibitionism,Attention-Seeking,Dramatic,Show off,Showmanship
Exhibitionism,Attention-Seeking,Attention-grabbing,Exhibit,Display
Exhibitionism,Attention-Seeking,Showy,Perform,Flamboyance
Exhibitionism,Self-Promoting,Self-advertising,Promote,Self-promotion
Exhibitionism,Self-Promoting,Self-publicizing,Advertise,Advertising
Exhibitionism,Self-Promoting,Self-marketing,Market,Marketing
Exhibitionism,Self-Promoting,Self-glorifying,Broadcast,Publicity
Exhibitionism,Vain,Conceited,Admire,Vanity
Exhibitionism,Vain,Narcissistic,Preen,Narcissism
Exhibitionism,Vain,Egotistical,Flaunt,Conceit
Exhibitionism,Vain,Proud,Boast,Pride
Exhibitionism,Boastful,Arrogant,Boast,Boastfulness
Exhibitionism,Boastful,Pompous,Brag,Bragging
Exhibitionism,Boastful,Vainglorious,Exaggerate,Arrogance
Exhibitionism,Boastful,Swollen-headed,Flaunt,Pomposity
Exhibitionism,Extraverted,Outgoing,Socialize,Extraversion
Exhibitionism,Extraverted,Sociable,Mingle,Sociability
Exhibitionism,Extraverted,Gregarious,Interact,Outgoingness
Exhibitionism,Extraverted,Extroverted,Engage,Gregariousness
Exhibitionism,Impressive,Striking,Impress,Impression
Exhibitionism,Impressive,Impressive,Awe,Awe
Exhibitionism,Impressive,Majestic,Amaze,Amazement
Exhibitionism,Impressive,Remarkable,Dazzle,Dazzlement
Grandiose Fantasy,Fantasizing,Imaginative,Imagine,Fantasy
Grandiose Fantasy,Fantasizing,Visionary,Dream,Daydream
Grandiose Fantasy,Fantasizing,Dreaming,Envision,Imagination
Grandiose Fantasy,Fantasizing,Grandiose,Fantase,Grandiosity
Grandiose Fantasy,Daydreaming,Reverie-filled,Daydream,Daydream
Grandiose Fantasy,Daydreaming,Contemplative,Drift,Reverie
Grandiose Fantasy,Daydreaming,Abstract,Wander,Wanderlust
Grandiose Fantasy,Daydreaming,Lost-in-thought,Reverie,Abstractness
Grandiose Fantasy,Idealizing,Utopian,Idealize,Idealization
Grandiose Fantasy,Idealizing,Romantic,Romanticize,Romanticism
Grandiose Fantasy,Idealizing,Idyllic,Exalt,Idyllicness
Grandiose Fantasy,Idealizing,Perfectionistic,Glorify,Perfection
Grandiose Fantasy,Visioning,Prophetic,Vision,Vision
Grandiose Fantasy,Visioning,Futuristic,Foresee,Prophecy
Grandiose Fantasy,Visioning,Prescient,Envision,Foresight
Grandiose Fantasy,Visioning,Innovative,Predict,Prediction
Grandiose Fantasy,Imagining,Creative,Imagine,Imagination
Grandiose Fantasy,Imagining,Inventive,Conceive,Creativity
Grandiose Fantasy,Imagining,Inspired,Conceptualize,Innovation
Grandiose Fantasy,Imagining,Innovative,Innovate,Conception
Grandiose Fantasy,Romanticizing,Sentimental,Romanticize,Romanticism
Grandiose Fantasy,Romanticizing,Idealistic,Glorify,Sentimentality
Grandiose Fantasy,Romanticizing,Poetic,Elevate,Idealization
Grandiose Fantasy,Romanticizing,Exuberant,Celebrate,Glorification
Reactive Anger,Angry,Irate,React angrily,Anger
Reactive Anger,Angry,Hostile,Lash out,Ire
Reactive Anger,Angry,Furious,Explode,Hostility
Reactive Anger,Angry,Resentful,Retaliate,Resentment
Reactive Anger,Irritable,Cranky,Snap,Irritability
Reactive Anger,Irritable,Testy,Fume,Crankiness
Reactive Anger,Irritable,Edgy,Grumble,Edginess
Reactive Anger,Irritable,Short-tempered,Chafe,Short temper
Reactive Anger,Explosive,Volatile,Burst,Outburst
Reactive Anger,Explosive,Explosive,Erupt,Eruption
Reactive Anger,Explosive,Uncontrolled,Detonate,Explosion
Reactive Anger,Explosive,Turbulent,Explode,Volatility
Reactive Anger,Resentful,Bitter,Harbor resentment,Resentment
Reactive Anger,Resentful,Indignant,Nurse a grudge,Bitterness
Reactive Anger,Resentful,Grudging,Seethe,Indignation
Reactive Anger,Resentful,Discontented,Brood,Grudge
Reactive Anger,Vindictive,Spiteful,Seek revenge,Vindictiveness
Reactive Anger,Vindictive,Revengeful,Retaliate,Revenge
Reactive Anger,Vindictive,Malevolent,Exact vengeance,Retaliation
Reactive Anger,Vindictive,Malicious,Reprisal,Spite
Reactive Anger,Aggressive,Combative,Attack,Aggression
Reactive Anger,Aggressive,Belligerent,Assault,Combativeness
