Factor,Adjective,Synonym,Verb,Noun
Grandiose Narcissism,Acclaim-Seeking,Approval-seeking,Seek praise,Admiration
Grandiose Narcissism,Acclaim-Seeking,Recognition-hungry,Crave recognition,Recognition
Grandiose Narcissism,Acclaim-Seeking,Praise-craving,Demand attention,Praise
Grandiose Narcissism,Acclaim-Seeking,Attention-demanding,Solicit approval,Attention
Grandiose Narcissism,Arrogance,Haughty,Condescend,Arrogance
Grandiose Narcissism,Arrogance,Conceited,Belittle,Conceit
Grandiose Narcissism,Arrogance,Superior,Scoff,Superiority
Grandiose Narcissism,Arrogance,Pompous,Patronize,Pride
Grandiose Narcissism,Authoritativeness,Dominant,Command,Authority
Grandiose Narcissism,Authoritativeness,Commanding,Lead,Dominance
Grandiose Narcissism,Authoritativeness,Assertive,Direct,Leadership
Grandiose Narcissism,Authoritativeness,Controlling,Dominate,Control
Grandiose Narcissism,Entitlement,Privileged,Demand,Entitlement
Grandiose Narcissism,Entitlement,Demanding,Expect,Privilege
Grandiose Narcissism,Entitlement,Presumptuous,Assert,Expectation
Grandiose Narcissism,Entitlement,Superior,Claim,Rights
Grandiose Narcissism,Exhibitionism,Showy,Flaunt,Exhibitionism
Grandiose Narcissism,Exhibitionism,Flamboyant,Show off,Showmanship
Grandiose Narcissism,Exhibitionism,Attention-seeking,Perform,Spectacle
Grandiose Narcissism,Exhibitionism,Dramatic,Display,Flamboyance
Grandiose Narcissism,Exploitativeness,Manipulative,Exploit,Exploitation
Grandiose Narcissism,Exploitativeness,Calculating,Manipulate,Manipulation
Grandiose Narcissism,Exploitativeness,Cunning,Use,Deception
Grandiose Narcissism,Exploitativeness,Deceptive,Take advantage,Cunning
Grandiose Narcissism,Indifference,Apathetic,Ignore,Indifference
Grandiose Narcissism,Indifference,Uncaring,Disregard,Apathy
Grandiose Narcissism,Indifference,Unconcerned,Neglect,Neglect
Grandiose Narcissism,Indifference,Disinterested,Overlook,Disinterest
Grandiose Narcissism,Lack of Empathy,Insensitive,Ignore feelings,Callousness
Grandiose Narcissism,Lack of Empathy,Callous,Disregard,Insensitivity
Grandiose Narcissism,Lack of Empathy,Unfeeling,Dismiss,Unfeelingness
Grandiose Narcissism,Lack of Empathy,Cold-hearted,Overlook,Coldness
Grandiose Narcissism,Manipulativeness,Crafty,Scheme,Manipulation
Grandiose Narcissism,Manipulativeness,Scheming,Control,Deviousness
Grandiose Narcissism,Manipulativeness,Conniving,Influence,Cunning
Grandiose Narcissism,Manipulativeness,Devious,Maneuver,Scheming
Grandiose Narcissism,Grandiose Fantasies,Visionary,Fantasize,Fantasy
Grandiose Narcissism,Grandiose Fantasies,Fanciful,Dream,Vision
Grandiose Narcissism,Grandiose Fantasies,Imaginative,Imagine,Dream
Grandiose Narcissism,Grandiose Fantasies,Dreamy,Idealize,Idealization
Grandiose Narcissism,Thrill-Seeking,Adventurous,Seek thrills,Adventure
Grandiose Narcissism,Thrill-Seeking,Risk-taking,Chase excitement,Excitement
Grandiose Narcissism,Thrill-Seeking,Excitement-seeking,Take risks,Risk
Grandiose Narcissism,Thrill-Seeking,Daring,Explore,Thrill
Vulnerable Narcissism,Reactive Anger,Hostile,Lash out,Anger
Vulnerable Narcissism,Reactive Anger,Irritable,Explode,Hostility
Vulnerable Narcissism,Reactive Anger,Volatile,React angrily,Outburst
Vulnerable Narcissism,Reactive Anger,Explosive,Lose temper,Temper
Vulnerable Narcissism,Shame,Embarrassed,Feel shame,Shame
Vulnerable Narcissism,Shame,Humiliated,Withdraw,Embarrassment
Vulnerable Narcissism,Shame,Ashamed,Avoid,Humiliation
Vulnerable Narcissism,Shame,Mortified,Self-blame,Mortification
Vulnerable Narcissism,Need for Admiration,Admiration-seeking,Seek admiration,Admiration
Vulnerable Narcissism,Need for Admiration,Approval-needy,Crave approval,Approval
Vulnerable Narcissism,Need for Admiration,Praise-dependent,Pursue validation,Validation
Vulnerable Narcissism,Need for Admiration,Validation-seeking,Desire praise,Praise
Vulnerable Narcissism,Distrust,Suspicious,Doubt,Suspicion
Vulnerable Narcissism,Distrust,Wary,Suspect,Distrust
Vulnerable Narcissism,Distrust,Mistrustful,Question,Wariness
Vulnerable Narcissism,Distrust,Cautious,Distrust,Caution
