Factor,Adjective,Synonym,Verb,Noun
"Feeling Nervous, Anxious, or On Edge",Anxious,Apprehensive,Worry,Anxiety
"Feeling Nervous, Anxious, or On Edge",Anxious,Uneasy,Fret,Distress
"Feeling Nervous, Anxious, or On Edge",Anxious,Distressed,Stress,Agitation
"Feeling Nervous, Anxious, or On Edge",Anxious,Agitated,Obsess,Unease
"Feeling Nervous, Anxious, or On Edge",Anxious,Concerned,Panic,Apprehension
"Feeling Nervous, Anxious, or On Edge",Anxious,Uncertain,Brood,Nervousness
"Feeling Nervous, Anxious, or On Edge",Nervous,Fidgety,Shake,Nervousness
"Feeling Nervous, Anxious, or On Edge",Nervous,Tense,Tremble,Tension
"Feeling Nervous, Anxious, or On Edge",Nervous,Restless,Quiver,Restlessness
"Feeling Nervous, Anxious, or On Edge",Nervous,Wary,Flinch,Jitters
"Feeling Nervous, Anxious, or On Edge",Nervous,Unsettled,Shudder,Unease
"Feeling Nervous, Anxious, or On Edge",Nervous,Twitchy,Shift,Apprehension
"Feeling Nervous, Anxious, or On Edge",Edgy,Irritable,Snap,Edginess
"Feeling Nervous, Anxious, or On Edge",Edgy,Jumpy,React,Irritability
"Feeling Nervous, Anxious, or On Edge",Edgy,Tetchy,Overreact,Jumpiness
"Feeling Nervous, Anxious, or On Edge",Edgy,On edge,Flare up,Tetchiness
"Feeling Nervous, Anxious, or On Edge",Edgy,High-strung,Startle,Restlessness
"Feeling Nervous, Anxious, or On Edge",Edgy,Skittish,Bridle,Tension
"Feeling Nervous, Anxious, or On Edge",Jittery,Shaky,Twitch,Jitters
"Feeling Nervous, Anxious, or On Edge",Jittery,Tremulous,Shiver,Tremors
"Feeling Nervous, Anxious, or On Edge",Jittery,Twitchy,Shake,Shakiness
"Feeling Nervous, Anxious, or On Edge",Jittery,Shivery,Jitter,Fidgeting
"Feeling Nervous, Anxious, or On Edge",Jittery,Fretful,Quiver,Nervousness
"Feeling Nervous, Anxious, or On Edge",Jittery,Quivery,Fidget,Unease
"Feeling Nervous, Anxious, or On Edge",Tense,Stressed,Tighten,Tension
"Feeling Nervous, Anxious, or On Edge",Tense,Strained,Strain,Stress
"Feeling Nervous, Anxious, or On Edge",Tense,Anxious,Stiffen,Strain
"Feeling Nervous, Anxious, or On Edge",Tense,Nervous,Constrict,Tightness
"Feeling Nervous, Anxious, or On Edge",Tense,Keyed-up,Tense up,Nervousness
"Feeling Nervous, Anxious, or On Edge",Tense,Rigid,Lock,Rigidity
"Feeling Nervous, Anxious, or On Edge",Worried,Concerned,Concern,Worry
"Feeling Nervous, Anxious, or On Edge",Worried,Troubled,Trouble,Concern
"Feeling Nervous, Anxious, or On Edge",Worried,Fretful,Fret,Unease
"Feeling Nervous, Anxious, or On Edge",Worried,Uneasy,Fear,Apprehension
"Feeling Nervous, Anxious, or On Edge",Worried,Apprehensive,Dread,Dread
"Feeling Nervous, Anxious, or On Edge",Worried,Disturbed,Ruminate,Ruminations
Not Being Able to Stop or Control Worrying,Overthinking,Ruminating,Overthink,Overthinking
Not Being Able to Stop or Control Worrying,Overthinking,Obsessing,Obsess,Obsession
Not Being Able to Stop or Control Worrying,Overthinking,Dwelling,Dwell,Rumination
Not Being Able to Stop or Control Worrying,Overthinking,Fixating,Fixate,Fixation
Not Being Able to Stop or Control Worrying,Overthinking,Brooding,Brood,Brooding
Not Being Able to Stop or Control Worrying,Overthinking,Mulling,Ruminate,Mental looping
Not Being Able to Stop or Control Worrying,Uncontrollable Worry,Compulsive,Worry endlessly,Worry
Not Being Able to Stop or Control Worrying,Uncontrollable Worry,Incessant,Obsess continuously,Compulsion
Not Being Able to Stop or Control Worrying,Uncontrollable Worry,Persistent,Panic repeatedly,Incessancy
Not Being Able to Stop or Control Worrying,Uncontrollable Worry,Unmanageable,Fret constantly,Persistence
Not Being Able to Stop or Control Worrying,Uncontrollable Worry,Ceaseless,Stress non-stop,Panic
Not Being Able to Stop or Control Worrying,Uncontrollable Worry,Irrepressible,Persist in anxiety,Unmanageability
Not Being Able to Stop or Control Worrying,Can't Stop Worrying,Obsessive,Obsess,Obsession
Not Being Able to Stop or Control Worrying,Can't Stop Worrying,Relentless,Persevere,Perseverance
Not Being Able to Stop or Control Worrying,Can't Stop Worrying,Unyielding,Persist,Persistence
Not Being Able to Stop or Control Worrying,Can't Stop Worrying,Unstoppable,Continue,Endurance
Not Being Able to Stop or Control Worrying,Can't Stop Worrying,Uncontainable,Endure,Continuation
Not Being Able to Stop or Control Worrying,Can't Stop Worrying,Irrepressible,Spiral,Spiral
Not Being Able to Stop or Control Worrying,Intrusive Thoughts,Overbearing,Intrude,Intrusion
Not Being Able to Stop or Control Worrying,Intrusive Thoughts,Invasive,Invade,Invasion
Not Being Able to Stop or Control Worrying,Intrusive Thoughts,Unwanted,Overwhelm,Domination
