item_id,domain,Factor,facet,sign,keyed,text
AFlex1,A,Agreeableness,Flexibility,1,forward,I adjust easily.
AFlex10,A,Agreeableness,Flexibility,-1,reverse,I am hard to reason with.
AFlex2,A,Agreeableness,Flexibility,1,forward,I am good at taking advice.
AFlex3,A,Agreeableness,Flexibility,-1,reverse,"When interacting with a group of people, I am often bothered by at least one of them."
AFlex4,A,Agreeableness,Flexibility,-1,reverse,I react strongly to criticism.
AFlex5,A,Agreeableness,Flexibility,-1,reverse,I get upset if others change the way that I have arranged things.
AFlex6,A,Agreeableness,Flexibility,-1,reverse,I am hard to convince.
AFlex7,A,Agreeableness,Flexibility,-1,reverse,I am annoyed by others' mistakes.
AFlex8,A,Agreeableness,Flexibility,-1,reverse,I can't stand being contradicted.
AFlex9,A,Agreeableness,Flexibility,-1,reverse,I am hard to satisfy.
AForg1,A,Agreeableness,Forgiveness,1,forward,I love my enemies.
AForg10,A,Agreeableness,Forgiveness,-1,reverse,I feel that most people can't be trusted.
AForg2,A,Agreeableness,Forgiveness,1,forward,I try to forgive and forget.
AForg3,A,Agreeableness,Forgiveness,1,forward,I am inclined to forgive others.
AForg4,A,Agreeableness,Forgiveness,1,forward,I am nice to people I should be angry at.
AForg5,A,Agreeableness,Forgiveness,-1,reverse,I find it hard to forgive others.
AForg6,A,Agreeableness,Forgiveness,-1,reverse,I hold a grudge.
AForg7,A,Agreeableness,Forgiveness,-1,reverse,I get back at people who insult me.
AForg8,A,Agreeableness,Forgiveness,-1,reverse,I get even with others.
AForg9,A,Agreeableness,Forgiveness,-1,reverse,I distrust people.
AGent1,A,Agreeableness,Gentleness,1,forward,I rarely complain.
AGent10,A,Agreeableness,Gentleness,-1,reverse,I criticize others' shortcomings.
AGent2,A,Agreeableness,Gentleness,1,forward,I take things as they come.
AGent3,A,Agreeableness,Gentleness,1,forward,I accept people as they are.
AGent4,A,Agreeableness,Gentleness,1,forward,I have a good word for everyone.
AGent5,A,Agreeableness,Gentleness,-1,reverse,I become frustrated and angry with people when they don't live up to my expectations.
AGent6,A,Agreeableness,Gentleness,-1,reverse,I am quick to judge others.
AGent7,A,Agreeableness,Gentleness,-1,reverse,I find fault with everything.
AGent8,A,Agreeableness,Gentleness,-1,reverse,I speak ill of others.
AGent9,A,Agreeableness,Gentleness,-1,reverse,I have a sharp tongue.
APati1,A,Agreeableness,Patience,1,forward,I find that it takes a lot to make me feel angry at someone.
APati10,A,Agreeableness,Patience,-1,reverse,I get upset easily.
APati2,A,Agreeableness,Patience,1,forward,I rarely feel angry with people.
APati3,A,Agreeableness,Patience,1,forward,I am usually a patient person.
APati4,A,Agreeableness,Patience,1,forward,I rarely get irritated.
APati5,A,Agreeableness,Patience,1,forward,I seldom get mad.
APati6,A,Agreeableness,Patience,-1,reverse,I am easily annoyed.
APati7,A,Agreeableness,Patience,-1,reverse,I get angry easily.
APati8,A,Agreeableness,Patience,-1,reverse,I get irritated easily.
APati9,A,Agreeableness,Patience,-1,reverse,I lose my temper.
CDili1,C,Conscientiousness,Diligence,1,forward,I push myself very hard to succeed.
CDili10,C,Conscientiousness,Diligence,-1,reverse,I quickly lose interest in the tasks I start.
CDili2,C,Conscientiousness,Diligence,1,forward,I get started quickly on doing a job.
CDili3,C,Conscientiousness,Diligence,1,forward,I am exacting in my work.
CDili4,C,Conscientiousness,Diligence,1,forward,I work hard.
CDili5,C,Conscientiousness,Diligence,1,forward,I complete tasks successfully.
CDili6,C,Conscientiousness,Diligence,-1,reverse,I do just enough work to get by.
CDili7,C,Conscientiousness,Diligence,-1,reverse,I stop when work becomes too difficult.
CDili8,C,Conscientiousness,Diligence,-1,reverse,I do too little work.
CDili9,C,Conscientiousness,Diligence,-1,reverse,I hang around doing nothing.
COrga1,C,Conscientiousness,Organization,1,forward,I keep things tidy.
COrga10,C,Conscientiousness,Organization,-1,reverse,I am not bothered by disorder.
COrga2,C,Conscientiousness,Organization,1,forward,I get chores done right away.
COrga3,C,Conscientiousness,Organization,1,forward,I like order.
COrga4,C,Conscientiousness,Organization,1,forward,I like to tidy up.
