Factor,Adjective,Synonym,Verb,Noun
Personality Patterns,Schizoid,Isolated,Avoid,Isolation
Personality Patterns,Schizoid,Detached,Withdraw,Detachment
Personality Patterns,Schizoid,Withdrawn,Isolate,Withdrawal
Personality Patterns,Avoidant,Shy,Avoid,Avoidance
Personality Patterns,Avoidant,Timid,Hesitate,Hesitation
Personality Patterns,Avoidant,Inhibited,Withdraw,Withdrawal
Personality Patterns,Melancholic,Depressed,Feel sad,Sadness
Personality Patterns,Melancholic,Gloomy,Suffer despair,Despair
Personality Patterns,Melancholic,Sad,Experience melancholy,Melancholy
Personality Patterns,Dependent,Submissive,Cling,Dependency
Personality Patterns,Dependent,Clingy,Depend,Submissiveness
Personality Patterns,Dependent,Needy,Submit,Clinginess
Personality Patterns,Histrionic,Dramatic,Exaggerate,Exaggeration
Personality Patterns,Histrionic,Attention-seeking,Flirt,Attention-seeking
Personality Patterns,Histrionic,Expressive,Perform,Dramatics
Personality Patterns,Turbulent,Erratic,Fluctuate,Instability
Personality Patterns,Turbulent,Volatile,Spiral,Volatility
Personality Patterns,Turbulent,Unpredictable,Erupt,Erraticism
Personality Patterns,Narcissistic,Grandiose,Boast,Grandiosity
Personality Patterns,Narcissistic,Entitled,Demand admiration,Entitlement
Personality Patterns,Narcissistic,Arrogant,Exploit,Arrogance
Personality Patterns,Antisocial,Manipulative,Exploit,Manipulation
Personality Patterns,Antisocial,Irresponsible,Violate,Deceit
Personality Patterns,Antisocial,Reckless,Deceive,Recklessness
Personality Patterns,Sadistic,Cruel,Dominate,Cruelty
Personality Patterns,Sadistic,Aggressive,Mistreat,Aggression
Personality Patterns,Sadistic,Vengeful,Punish,Vengeance
Personality Patterns,Compulsive,Perfectionistic,Organize,Perfectionism
Personality Patterns,Compulsive,Rigid,Control,Rigidity
Personality Patterns,Compulsive,Controlled,Correct,Control
Personality Patterns,Negativistic,Stubborn,Resist,Resistance
Personality Patterns,Negativistic,Resistant,Procrastinate,Stubbornness
Personality Patterns,Negativistic,Passive-aggressive,Sabotage,Sabotage
Personality Patterns,Masochistic,Self-defeating,Submit,Self-sacrifice
Personality Patterns,Masochistic,Victim-like,Undermine,Submission
Personality Patterns,Masochistic,Sacrificing,Sacrifice,Victimhood
Personality Patterns,Schizotypal,Eccentric,Isolate,Eccentricity
Personality Patterns,Schizotypal,Paranoid,Mistrust,Paranoia
Personality Patterns,Schizotypal,Superstitious,Fantacize,Odd beliefs
Personality Patterns,Borderline,Unstable,Self-harm,Instability
Personality Patterns,Borderline,Impulsive,Overreact,Impulsivity
Personality Patterns,Borderline,Self-harming,Idealize/devalue,Self-destruction
Personality Patterns,Paranoid,Suspicious,Mistrust,Suspicion
Personality Patterns,Paranoid,Distrustful,Suspect,Distrust
Personality Patterns,Paranoid,Cynical,Question motives,Cynicism
Clinical Syndromes,Generalized Anxiety,Worried,Worry,Worry
Clinical Syndromes,Generalized Anxiety,Nervous,Fret,Nervousness
Clinical Syndromes,Generalized Anxiety,Tense,Tremble,Tension
Clinical Syndromes,Somatic Symptom Disorder,Hypochondriacal,Report pain,Somatic complaints
Clinical Syndromes,Somatic Symptom Disorder,Complaining,Complain,Preoccupation
Clinical Syndromes,Somatic Symptom Disorder,Pained,Monitor symptoms,Health Anxiety
Clinical Syndromes,Bipolar Spectrum,Elevated mood,Energize,Euphoria
Clinical Syndromes,Bipolar Spectrum,Labile,Spiral,Mood swings
Clinical Syndromes,Bipolar Spectrum,Manic,Depress,Depression
Clinical Syndromes,Persistent Depression,Hopeless,Feel sad,Hopelessness
Clinical Syndromes,Persistent Depression,Fatigued,Lose hope,Fatigue
Clinical Syndromes,Persistent Depression,Low mood,Tire easily,Dysphoria
Clinical Syndromes,Alcohol Use Disorder,Craving,Crave,Craving
Clinical Syndromes,Alcohol Use Disorder,Tolerance,Tolerate,Tolerance
Clinical Syndromes,Alcohol Use Disorder,Withdrawal,Withdraw,Withdrawal
Clinical Syndromes,Drug Use Disorder,Dependent,Crave,Craving
Clinical Syndromes,Drug Use Disorder,Tolerant,Tolerate,Tolerance
Clinical Syndromes,Drug Use Disorder,Abstinent,Quit,Abstinence
Clinical Syndromes,PTSD,Flashbacks,Flash back,Flashbacks
Clinical Syndromes,PTSD,Hypervigilant,Stay alert,Hypervigilance
Clinical Syndromes,PTSD,Avoidant,Avoid,Avoidance
Clinical Syndromes,Schizophrenic Spectrum,Delusional,Delude,Delusions
Clinical Syndromes,Schizophrenic Spectrum,Hallucinatory,Hallucinate,Hallucinations
Clinical Syndromes,Schizophrenic Spectrum,Disorganized,Disorganize,Disorganization
Clinical Syndromes,Major Depression,Despondent,Feel despair,Despair
Clinical Syndromes,Major Depression,Low energy,Sleep more,Fatigue
Clinical Syndromes,Major Depression,Anhedonic,Lose interest,Anhedonia
Clinical Syndromes,Delusional Disorder,Fixed belief,Believe falsely,Delusion
Clinical Syndromes,Delusional Disorder,Paranoid,Suspect wrongly,Paranoia
Clinical Syndromes,Delusional Disorder,Misbelief,Misinterpret,Misinterpretation
Modifying Indices,Disclosure Index,Revealing,Disclose,Disclosure
Modifying Indices,Disclosure Index,Disclosing,Reveal,Reporting
Modifying Indices,Disclosure Index,Unveiling,Unveil,Exaggeration
Modifying Indices,Desirability Index,Approval-seeking,Seek approval,Desirability
Modifying Indices,Desirability Index,Favorable,Present positively,Self-presentation
Modifying Indices,Desirability Index,Pleasing,Flatter,Flattery
Modifying Indices,Debasement Index,Self-critical,Debase,Debasement
Modifying Indices,Debasement Index,Negative bias,Criticize,Criticism
Modifying Indices,Debasement Index,Undermining,Undermine,Undermining
