Factor,Adjective,Synonym,Verb,Noun
Narcissistic Admiration,Grandiose,Impressive,Boast,Grandiosity
Narcissistic Admiration,Grandiose,Majestic,Exaggerate,Grandeur
Narcissistic Admiration,Grandiose,Ambitious,Glorify,Splendor
Narcissistic Admiration,Grandiose,Self-important,Magnify,Magnificence
Narcissistic Admiration,Unique,Exceptional,Differentiate,Uniqueness
Narcissistic Admiration,Unique,Distinctive,Distinguish,Singularity
Narcissistic Admiration,Unique,Special,Stand out,Individuality
Narcissistic Admiration,Unique,Extraordinary,Excel,Specialness
Narcissistic Admiration,Charming,Captivating,Charm,Charm
Narcissistic Admiration,Charming,Engaging,Captivate,Charisma
Narcissistic Admiration,Charming,Charismatic,Attract,Allure
Narcissistic Admiration,Charming,Enchanting,Engage,Appeal
Narcissistic Admiration,Confident,Self-assured,Assert,Confidence
Narcissistic Admiration,Confident,Assertive,Declare,Self-assurance
Narcissistic Admiration,Confident,Bold,Proclaim,Boldness
Narcissistic Admiration,Confident,Assured,Express,Certainty
Narcissistic Admiration,Admired,Respected,Admire,Admiration
Narcissistic Admiration,Admired,Esteemed,Respect,Respect
Narcissistic Admiration,Admired,Valued,Esteem,Esteem
Narcissistic Admiration,Admired,Appreciated,Value,Approval
Narcissistic Admiration,Self-Promoting,Ambitious,Promote oneself,Self-promotion
Narcissistic Admiration,Self-Promoting,Egotistical,Advertise,Advertising
Narcissistic Admiration,Self-Promoting,Braggart,Showcase,Publicity
Narcissistic Admiration,Self-Promoting,Self-glorifying,Publicize,Self-advocacy
Narcissistic Rivalry,Devaluing,Belittling,Devalue,Devaluation
Narcissistic Rivalry,Devaluing,Derogatory,Belittle,Derogation
Narcissistic Rivalry,Devaluing,Dismissive,Disparage,Disparagement
Narcissistic Rivalry,Devaluing,Critical,Criticize,Criticism
Narcissistic Rivalry,Supremacist,Dominating,Dominate,Supremacy
Narcissistic Rivalry,Supremacist,Superior,Assert superiority,Dominance
Narcissistic Rivalry,Supremacist,Elitist,Control,Superiority
Narcissistic Rivalry,Supremacist,Overbearing,Overpower,Control
Narcissistic Rivalry,Aggressive,Hostile,Attack,Aggression
Narcissistic Rivalry,Aggressive,Confrontational,Confront,Hostility
Narcissistic Rivalry,Aggressive,Belligerent,Provoke,Confrontation
Narcissistic Rivalry,Aggressive,Combative,Intimidate,Belligerence
Narcissistic Rivalry,Vindictive,Revengeful,Retaliate,Vindictiveness
Narcissistic Rivalry,Vindictive,Resentful,Punish,Revenge
Narcissistic Rivalry,Vindictive,Spiteful,Exact revenge,Resentment
Narcissistic Rivalry,Vindictive,Unforgiving,Settle scores,Spite
Narcissistic Rivalry,Envious,Jealous,Envy,Envy
Narcissistic Rivalry,Envious,Covetous,Covet,Jealousy
Narcissistic Rivalry,Envious,Resentful,Resent,Covetousness
Narcissistic Rivalry,Envious,Grudging,Grudge,Resentment
Narcissistic Rivalry,Competitive,Ambitious,Compete,Competitiveness
Narcissistic Rivalry,Competitive,Rivalrous,Outperform,Rivalry
Narcissistic Rivalry,Competitive,Driven,Challenge,Competition
Narcissistic Rivalry,Competitive,Contentious,Rival,Ambition
