Factor,Adjective,Synonym,Verb,Noun
Authority,Dominant,Commanding,Lead,Leadership
Authority,Dominant,Assertive,Command,Authority
Authority,Dominant,Influential,Influence,Influence
Authority,Dominant,Authoritative,Direct,Command
Authority,Power-Seeking,Ambitious,Seek power,Power
Authority,Power-Seeking,Status-oriented,Aspire,Status
Authority,Power-Seeking,Aspiring,Dominate,Ambition
Authority,Power-Seeking,Controlling,Take charge,Control
Authority,Confident,Self-assured,Assert,Confidence
Authority,Confident,Decisive,Convince,Assurance
Authority,Confident,Bold,Command,Self-belief
Authority,Confident,Self-reliant,Direct,Certainty
Authority,Leader-Oriented,Guiding,Guide,Leadership
Authority,Leader-Oriented,Inspiring,Motivate,Guidance
Authority,Leader-Oriented,Directing,Influence,Direction
Authority,Leader-Oriented,Motivational,Lead,Motivation
Authority,Authoritative,Decisive,Establish authority,Authority
Authority,Authoritative,Commanding,Enforce,Control
Authority,Authoritative,Strong-willed,Govern,Command
Authority,Authoritative,Assertive,Dictate,Regulation
Authority,Influential,Persuasive,Influence,Influence
Authority,Influential,Powerful,Persuade,Persuasion
Authority,Influential,Charismatic,Convince,Charisma
Authority,Influential,Compelling,Shape opinion,Impact
Self-Sufficiency,Independent,Self-reliant,Function alone,Independence
Self-Sufficiency,Independent,Autonomous,Operate independently,Autonomy
Self-Sufficiency,Independent,Self-governing,Sustain,Self-sufficiency
Self-Sufficiency,Independent,Self-sustaining,Manage,Self-reliance
Self-Sufficiency,Self-Assured,Confident,Believe in oneself,Self-confidence
Self-Sufficiency,Self-Assured,Composed,Trust oneself,Assurance
Self-Sufficiency,Self-Assured,Secure,Rely on oneself,Self-trust
Self-Sufficiency,Self-Assured,Steady,Manage,Steadiness
Self-Sufficiency,Unyielding,Determined,Persist,Determination
Self-Sufficiency,Unyielding,Uncompromising,Stand firm,Perseverance
Self-Sufficiency,Unyielding,Strong-willed,Resist,Strength
Self-Sufficiency,Unyielding,Resolute,Hold ground,Willpower
Self-Sufficiency,Self-Sustaining,Self-supporting,Sustain oneself,Self-sufficiency
Self-Sufficiency,Self-Sustaining,Self-maintaining,Manage alone,Resilience
Self-Sufficiency,Self-Sustaining,Self-sufficient,Endure,Self-maintenance
Self-Sufficiency,Self-Sustaining,Resilient,Thrive independently,Survival
Self-Sufficiency,Resourceful,Inventive,Find solutions,Resourcefulness
Self-Sufficiency,Resourceful,Adaptive,Adapt quickly,Ingenuity
Self-Sufficiency,Resourceful,Capable,Utilize resources,Adaptability
Self-Sufficiency,Resourceful,Practical,Solve problems,Capability
Self-Sufficiency,Self-Reliant,Self-sustaining,Depend on oneself,Self-reliance
Self-Sufficiency,Self-Reliant,Self-supporting,Manage alone,Autonomy
Self-Sufficiency,Self-Reliant,Independent,Thrive independently,Self-sufficiency
Self-Sufficiency,Self-Reliant,Autonomous,Endure,Survival
Superiority,Arrogant,Haughty,Look down on,Arrogance
Superiority,Arrogant,Pompous,Disdain,Haughtiness
Superiority,Arrogant,Overbearing,Belittle,Ego
Superiority,Arrogant,Conceited,Scoff,Superiority
Superiority,Self-Important,Grandiose,Exaggerate worth,Self-importance
Superiority,Self-Important,Pretentious,Boast,Inflation
Superiority,Self-Important,Self-inflated,Flaunt,Pretentiousness
Superiority,Self-Important,Egocentric,Elevate oneself,Grandiosity
Superiority,Competitive,Driven,Compete,Competitiveness
Superiority,Competitive,Ambitious,Dominate,Ambition
Superiority,Competitive,Achievement-focused,Outperform,Achievement
Superiority,Competitive,Aggressive,Surpass,Dominance
Superiority,Egotistical,Self-centered,Talk about oneself,Egotism
Superiority,Egotistical,Self-absorbed,Brag,Self-absorption
Superiority,Egotistical,Vain,Exaggerate achievements,Vanity
Superiority,Egotistical,Egoistic,Show off,Ego
Superiority,Self-Righteous,Moralistic,Lecture others,Self-righteousness
Superiority,Self-Righteous,Sanctimonious,Judge harshly,Sanctimony
Superiority,Self-Righteous,Judgmental,Criticize,Moral superiority
Superiority,Self-Righteous,Holier-than-thou,Preach,Judgmentalism
Superiority,Condescending,Patronizing,Talk down to,Condescension
Superiority,Condescending,Superior,Patronize,Patronization
Superiority,Condescending,Snobbish,Belittle,Superiority complex
Superiority,Condescending,Disdainful,Disregard,Snobbery
Exhibitionism,Attention-Seeking,Showy,Attract attention,Exhibitionism
Exhibitionism,Attention-Seeking,Flamboyant,Captivate,Showmanship
Exhibitionism,Attention-Seeking,Dramatic,Entertain,Flamboyance
Exhibitionism,Attention-Seeking,Sensational,Show off,Spectacle
Exhibitionism,Self-Promoting,Egotistical,Promote oneself,Self-promotion
Exhibitionism,Self-Promoting,Braggart,Advertise,Publicity
Exhibitionism,Self-Promoting,Self-glorifying,Flaunt,Recognition
Exhibitionism,Self-Promoting,Image-conscious,Seek approval,Validation
Exhibitionism,Show-Off,Boastful,Brag,Boasting
Exhibitionism,Show-Off,Ostentatious,Exaggerate,Flashiness
Exhibitionism,Show-Off,Theatrical,Put on a show,Ostentation
Exhibitionism,Show-Off,Loud,Flash,Bravado
Exhibitionism,Dramatic,Melodramatic,Exaggerate,Drama
Exhibitionism,Dramatic,Exaggerated,Overact,Histrionics
Exhibitionism,Dramatic,Over-the-top,Perform,Exaggeration
Exhibitionism,Dramatic,Histrionic,Seek attention,Overstatement
Exhibitionism,Flashy,Gaudy,Flaunt,Flashiness
Exhibitionism,Flashy,Extravagant,Dazzle,Extravagance
Exhibitionism,Flashy,Eye-catching,Display,Dazzle
Exhibitionism,Flashy,Lurid,Showcase,Opulence
Exhibitionism,Theatrical,Expressive,Perform,Theatrics
Exhibitionism,Theatrical,Animated,Gesture dramatically,Expressiveness
Exhibitionism,Theatrical,Overacted,Express emotions,Stage presence
Exhibitionism,Theatrical,Demonstrative,Command attention,Dramatic flair
Exploitativeness,Manipulative,Scheming,Manipulate,Manipulation
Exploitativeness,Manipulative,Deceptive,Control,Exploitation
Exploitativeness,Manipulative,Machiavellian,Use,Deception
Exploitativeness,Manipulative,Calculating,Exploit,Machiavellianism
Exploitativeness,Opportunistic,Cunning,Capitalize,Opportunism
Exploitativeness,Opportunistic,Astute,Seize advantage,Cunning
Exploitativeness,Opportunistic,Resourceful,Leverage,Advantage
Exploitativeness,Opportunistic,Pragmatic,Exploit,Resourcefulness
Exploitativeness,Self-Serving,Egotistical,Prioritize oneself,Self-interest
Exploitativeness,Self-Serving,Selfish,Use others,Egoism
Exploitativeness,Self-Serving,Self-centered,Self-justify,Narcissism
Exploitativeness,Self-Serving,Unethical,Rationalize,Utilitarianism
Exploitativeness,Deceptive,Misleading,Deceive,Deception
Exploitativeness,Deceptive,Dishonest,Mislead,Dishonesty
Exploitativeness,Deceptive,Duplicitous,Trick,Fraudulence
Exploitativeness,Deceptive,Tricky,Con,Duplicity
Exploitativeness,Predatory,Exploitative,Prey on,Predation
Exploitativeness,Predatory,Ruthless,Take advantage,Exploitation
Exploitativeness,Predatory,Aggressive,Dominate,Subjugation
Exploitativeness,Predatory,Unscrupulous,Subjugate,Aggression
Exploitativeness,Coercive,Forceful,Coerce,Coercion
Exploitativeness,Coercive,Threatening,Pressurize,Force
Exploitativeness,Coercive,Intimidating,Force,Intimidation
Exploitativeness,Coercive,Pressuring,Compel,Pressure
Vanity,Self-Admiring,Self-loving,Admire oneself,Vanity
Vanity,Self-Admiring,Vain,Preen,Narcissism
Vanity,Self-Admiring,Self-glorifying,Flaunt,Self-adoration
Vanity,Self-Admiring,Image-focused,Self-exalt,Egotism
Vanity,Appearance-Focused,Groomed,Groom,Self-image
Vanity,Appearance-Focused,Polished,Dress up,Beauty
Vanity,Appearance-Focused,Stylish,Enhance,Aesthetics
Vanity,Appearance-Focused,Aesthetic-conscious,Beautify,Grooming
