Factor,Adjective,Synonym,Verb,Noun
Extraversion,Active,Energetic,Activate,Activator
Extraversion,Active,Vigorous,Mobilize,Mobilization
Extraversion,Active,Dynamic,Energize,Energy
Extraversion,Active,Vital,Animate,Animation
Extraversion,Assertive,Confident,Assert,Assertion
Extraversion,Assertive,Decisive,Command,Command
Extraversion,Assertive,Aggressive,Declare,Declaration
Extraversion,Assertive,Dominant,Insist,Insistence
Extraversion,Energetic,Vivacious,Revitalize,Revitalization
Extraversion,Energetic,Vibrant,Stimulate,Stimulation
Extraversion,Energetic,Lively,Invigorate,Invigoration
Extraversion,Energetic,Effervescent,Animate,Animation
Extraversion,Enthusiastic,Excited,Inspire,Inspiration
Extraversion,Enthusiastic,Eager,Motivate,Motivation
Extraversion,Enthusiastic,Zealous,Excite,Excitement
Extraversion,Enthusiastic,Passionate,Stir,Stirring
Extraversion,Outgoing,Sociable,Socialize,Socialization
Extraversion,Outgoing,Friendly,Mingle,Mingling
Extraversion,Outgoing,Convivial,Interact,Interaction
Extraversion,Outgoing,Extroverted,Engage,Engagement
Extraversion,Talkative,Chatty,Chat,Chatting
Extraversion,Talkative,Loquacious,Discuss,Discussion
Extraversion,Talkative,Garrulous,Converse,Conversation
Extraversion,Talkative,Verbose,Express,Expression
Agreeableness,Appreciative,Grateful,Thank,Thanks
Agreeableness,Appreciative,Thankful,Praise,Praise
Agreeableness,Appreciative,Pleased,Value,Valuation
Agreeableness,Appreciative,Gratified,Cherish,Cherishing
Agreeableness,Forgiving,Merciful,Forgive,Forgiveness
Agreeableness,Forgiving,Indulgent,Excuse,Excuse
Agreeableness,Forgiving,Lenient,Pardon,Pardon
Agreeableness,Forgiving,Pardoning,Overlook,Oversight
Agreeableness,Generous,Bountiful,Give,Giving
Agreeableness,Generous,Benevolent,Share,Sharing
Agreeableness,Generous,Liberal,Donate,Donation
Agreeableness,Generous,Philanthropic,Contribute,Contribution
Agreeableness,Kind,Compassionate,Care,Care
Agreeableness,Kind,Gentle,Comfort,Comfort
Agreeableness,Kind,Considerate,Nurture,Nurturing
Agreeableness,Kind,Benevolent,Support,Support
Agreeableness,Sympathetic,Compassionate,Empathize,Empathy
Agreeableness,Sympathetic,Understanding,Console,Consolation
Agreeableness,Sympathetic,Considerate,Commiserate,Commiseration
Agreeableness,Sympathetic,Empathetic,Sympathize,Sympathy
Agreeableness,Trusting,Confident,Trust,Trust
Agreeableness,Trusting,Assured,Rely,Reliance
Agreeableness,Trusting,Optimistic,Believe,Belief
Agreeableness,Trusting,Sanguine,Depend,Dependence
Conscientiousness,Efficient,Competent,Optimize,Optimization
Conscientiousness,Efficient,Productive,Streamline,Streamlining
Conscientiousness,Efficient,Effective,Enhance,Enhancement
Conscientiousness,Efficient,Capable,Maximize,Maximization
Conscientiousness,Organized,Orderly,Organize,Organization
Conscientiousness,Organized,Systematic,Arrange,Arrangement
Conscientiousness,Organized,Structured,Coordinate,Coordination
Conscientiousness,Organized,Arranged,Systematize,Systematization
Conscientiousness,Planful,Prepared,Plan,Planning
Conscientiousness,Planful,Methodical,Prepare,Preparation
Conscientiousness,Planful,Systematic,Scheme,Scheme
Conscientiousness,Planful,Thoughtful,Design,Design
Conscientiousness,Reliable,Trustworthy,Deliver,Delivery
Conscientiousness,Reliable,Dependable,Fulfill,Fulfillment
Conscientiousness,Reliable,Steadfast,Maintain,Maintenance
Conscientiousness,Reliable,Loyal,Uphold,Upholding
Conscientiousness,Responsible,Accountable,Respond,Responsibility
Conscientiousness,Responsible,Dependable,Manage,Management
Conscientiousness,Responsible,Reliable,Handle,Handling
Conscientiousness,Responsible,Trustworthy,Administer,Administration
Conscientiousness,Thorough,Comprehensive,Examine,Examination
Conscientiousness,Thorough,Exhaustive,Inspect,Inspection
Conscientiousness,Thorough,Detailed,Review,Review
Conscientiousness,Thorough,Meticulous,Analyze,Analysis
Neuroticism,Anxious,Worried,Worry,Worry
Neuroticism,Anxious,Nervous,Fret,Fretting
Neuroticism,Anxious,Apprehensive,Agonize,Agony
Neuroticism,Anxious,Uneasy,Obsess,Obsession
Neuroticism,Self-pitying,Self-indulgent,Mope,Moping
Neuroticism,Self-pitying,Narcissistic,Brood,Brooding
Neuroticism,Self-pitying,Egocentric,Lament,Lamentation
Neuroticism,Self-pitying,Self-absorbed,Sulk,Sulking
Neuroticism,Tense,Stressed,Tense,Tension
Neuroticism,Tense,Strained,Strain,Strain
Neuroticism,Tense,Pressurized,Stress,Stress
Neuroticism,Tense,Nervous,Tighten,Tightness
Neuroticism,Touchy,Sensitive,React,Reactivity
Neuroticism,Touchy,Defensive,Explode,Explosion
Neuroticism,Touchy,Reactive,Overreact,Overreaction
Neuroticism,Touchy,Volatile,Brace,Bracing
Neuroticism,Unstable,Volatile,Fluctuate,Fluctuation
Neuroticism,Unstable,Erratic,Waver,Wavering
Neuroticism,Unstable,Inconsistent,Vary,Variability
Neuroticism,Unstable,Changeable,Shift,Shift
Neuroticism,Worrying,Anxious,Worry,Worry
Neuroticism,Worrying,Nervous,Doubt,Doubt
Neuroticism,Worrying,Apprehensive,Fear,Fear
Neuroticism,Worrying,Concerned,Dread,Dread
Openness,Artistic,Creative,Create,Creativity
Openness,Artistic,Imaginative,Innovate,Innovation
Openness,Artistic,Expressive,Express,Expression
Openness,Artistic,Inventive,Design,Design
Openness,Curious,Inquisitive,Explore,Exploration
Openness,Curious,Interested,Investigate,Investigation
Openness,Curious,Eager,Probe,Probing
Openness,Curious,Inquiring,Question,Questioning
Openness,Imaginative,Creative,Imagine,Imagination
Openness,Imaginative,Inventive,Speculate,Speculation
Openness,Imaginative,Innovative,Envision,Vision
Openness,Imaginative,Visionary,Dream,Dreaming
Openness,Insightful,Perceptive,Perceive,Perception
Openness,Insightful,Astute,Discern,Discernment
Openness,Insightful,Intuitive,Understand,Understanding
Openness,Insightful,Wise,Comprehend,Comprehension
Openness,Original,Unique,Originate,Originality
Openness,Original,Innovative,Invent,Invention
Openness,Original,Inventive,Pioneer,Pioneering
Openness,Original,Novel,Initiate,Initiation
Openness,Wide Interest,Broad-minded,Diversify,Diversity
Openness,Wide Interest,Open-minded,Broaden,Broadening
Openness,Wide Interest,Universal,Expand,Expansion
Openness,Wide Interest,Versatile,Extend,Extension
