Factor,Adjective,Synonym,Verb,Noun
Exploitativeness,Manipulative,Scheming,Manipulate,Manipulation
Exploitativeness,Manipulative,Calculating,Control,Exploitation
Exploitativeness,Manipulative,Deceptive,Deceive,Deception
Exploitativeness,Manipulative,Crafty,Exploit,Scheme
Exploitativeness,Opportunistic,Cunning,Capitalize,Opportunity
Exploitativeness,Opportunistic,Astute,Leverage,Advantage
Exploitativeness,Opportunistic,Strategic,Utilize,Opportunism
Exploitativeness,Opportunistic,Resourceful,Take advantage,Leverage
Exploitativeness,Exploitative,Unscrupulous,Exploit,Exploitation
Exploitativeness,Exploitative,Predatory,Abuse,Abuse
Exploitativeness,Exploitative,Self-serving,Use,Predation
Exploitativeness,Exploitative,Ruthless,Prey upon,Self-interest
Exploitativeness,Calculating,Strategic,Plan,Calculation
Exploitativeness,Calculating,Scheming,Scheme,Strategy
Exploitativeness,Calculating,Cold,Calculate,Planning
Exploitativeness,Calculating,Deliberate,Engineer,Scheming
Exploitativeness,Selfish,Self-centered,Prioritize oneself,Selfishness
Exploitativeness,Selfish,Egocentric,Focus inward,Egoism
Exploitativeness,Selfish,Self-interested,Claim resources,Greed
Exploitativeness,Selfish,Greedy,Take,Self-interest
Exploitativeness,Coercive,Forceful,Coerce,Coercion
Exploitativeness,Coercive,Dominating,Intimidate,Intimidation
Exploitativeness,Coercive,Intimidating,Pressure,Pressure
Exploitativeness,Coercive,Aggressive,Force,Force
Grandiose Fantasy,Fantasizing,Imaginative,Fantasize,Fantasy
Grandiose Fantasy,Fantasizing,Dreamy,Dream,Dream
Grandiose Fantasy,Fantasizing,Visionary,Imagine,Vision
Grandiose Fantasy,Fantasizing,Idealistic,Envision,Imagination
Grandiose Fantasy,Grandiose,Extravagant,Exaggerate,Grandiosity
Grandiose Fantasy,Grandiose,Magnificent,Magnify,Extravagance
Grandiose Fantasy,Grandiose,Exaggerated,Amplify,Magnificence
Grandiose Fantasy,Grandiose,Majestic,Idealize,Majesty
Grandiose Fantasy,Ambitious,Aspiring,Aspire,Ambition
Grandiose Fantasy,Ambitious,Driven,Strive,Drive
Grandiose Fantasy,Ambitious,Determined,Pursue,Aspiration
Grandiose Fantasy,Ambitious,Goal-oriented,Aim high,Determination
Grandiose Fantasy,Visionary,Inventive,Foresee,Vision
Grandiose Fantasy,Visionary,Forward-thinking,Innovate,Innovation
Grandiose Fantasy,Visionary,Innovative,Predict,Insight
Grandiose Fantasy,Visionary,Inspired,Conceptualize,Concept
Grandiose Fantasy,Idealistic,Romantic,Idealize,Idealism
Grandiose Fantasy,Idealistic,Optimistic,Romanticize,Optimism
Grandiose Fantasy,Idealistic,Utopian,Dream,Utopia
Grandiose Fantasy,Idealistic,Quixotic,Envision,Romanticism
Grandiose Fantasy,Pretentious,Showy,Show off,Pretension
Grandiose Fantasy,Pretentious,Ostentatious,Pretend,Ostentation
Grandiose Fantasy,Pretentious,Affected,Exhibit,Pomposity
Grandiose Fantasy,Pretentious,Pompous,Boast,Showiness
Self-Sacrificing Self-Enhancement,Heroic,Valiant,Sacrifice,Heroism
Self-Sacrificing Self-Enhancement,Heroic,Courageous,Rescue,Courage
Self-Sacrificing Self-Enhancement,Heroic,Noble,Defend,Bravery
Self-Sacrificing Self-Enhancement,Heroic,Gallant,Save,Sacrifice
