Factor,Adjective,Synonym,Verb,Noun
Realistic,Practical,Useful,Use,Practicality
Realistic,Practical,Functional,Apply,Usefulness
Realistic,Practical,Sensible,Utilize,Functionality
Realistic,Practical,Workable,Implement,Sensibility
Realistic,Physical,Bodily,Touch,Physicality
Realistic,Physical,Corporeal,Move,Tangibility
Realistic,Physical,Tangible,Lift,Material
Realistic,Physical,Material,Manipulate,Body
Realistic,Hands-on,Practical,Handle,Manual work
Realistic,Hands-on,Manual,Work,Practicality
Realistic,Hands-on,Tangible,Operate,Tangible work
Realistic,Hands-on,Direct,Manage,Directness
Realistic,Concrete,Tangible,Build,Reality
Realistic,Concrete,Material,Construct,Materiality
Realistic,Concrete,Real,Create,Concreteness
Realistic,Concrete,Actual,Form,Actuality
Realistic,Natural,Organic,Grow,Nature
Realistic,Natural,Physical,Harvest,Biology
Realistic,Natural,Biological,Nurture,Life
Realistic,Natural,Life,Cultivate,Organic material
Investigative,Analytical,Logical,Analyze,Analysis
Investigative,Analytical,Systematic,Examine,Logic
Investigative,Analytical,Rational,Investigate,Systematic review
Investigative,Analytical,Objective,Review,Rationality
Investigative,Intellectual,Cerebral,Study,Intellect
Investigative,Intellectual,Academic,Learn,Education
Investigative,Intellectual,Cultured,Read,Academic knowledge
Investigative,Intellectual,Educated,Research,Learning
Investigative,Inquisitive,Curious,Inquire,Curiosity
Investigative,Inquisitive,Questioning,Question,Inquiry
Investigative,Inquisitive,Probing,Probe,Exploration
Investigative,Inquisitive,Inquiring,Explore,Probing
Investigative,Scientific,Systematic,Experiment,Precision
Investigative,Scientific,Precise,Measure,Accuracy
Investigative,Scientific,Accurate,Test,Method
Investigative,Scientific,Methodical,Calculate,System
Investigative,Complex,Complicated,Complicate,Complexity
Investigative,Complex,Intricate,Detail,Intricacy
Investigative,Complex,Involved,Involve,Detail
Investigative,Complex,Detailed,Entangle,Involvement
Artistic,Creative,Inventive,Invent,Creativity
Artistic,Creative,Innovative,Innovate,Innovation
Artistic,Creative,Imaginative,Imagine,Invention
Artistic,Creative,Original,Create,Imagination
Artistic,Expressive,Emotional,Express,Expression
Artistic,Expressive,Demonstrative,Demonstrate,Demonstration
Artistic,Expressive,Animated,Animate,Animation
Artistic,Expressive,Vivid,Show,Vividity
Artistic,Open-minded,Receptive,Accept,Open-mindedness
Artistic,Open-minded,Unbiased,Tolerate,Receptiveness
Artistic,Open-minded,Accepting,Consider,Tolerance
Artistic,Open-minded,Tolerant,Receive,Acceptance
Artistic,Independent,Autonomous,Lead,Autonomy
Artistic,Independent,Self-governing,Self-govern,Self-governance
Artistic,Independent,Free,Manage,Independence
Artistic,Independent,Self-reliant,Direct,Leadership
Artistic,Impulsive,Spontaneous,Act spontaneously,Impulsiveness
Artistic,Impulsive,Unpredictable,React,Spontaneity
Artistic,Impulsive,Capricious,Improvise,Unpredictability
Artistic,Impulsive,Erratic,Rush,Improvisation
Social,Cooperative,Collaborative,Cooperate,Cooperation
Social,Cooperative,Team,Collaborate,Collaboration
Social,Cooperative,Joint,Unite,Unity
Social,Cooperative,United,Work together,Team
Social,Friendly,Amiable,Greet,Friendship
Social,Friendly,Affable,Smile,Kindness
Social,Friendly,Cordial,Welcome,Amiability
Social,Friendly,Kind,Befriend,Affability
Social,Helpful,Supportive,Help,Helpfulness
Social,Helpful,Assisting,Support,Support
Social,Helpful,Beneficial,Assist,Assistance
Social,Helpful,Useful,Benefit,Benefit
Social,Empathetic,Compassionate,Empathize,Empathy
Social,Empathetic,Sympathetic,Understand,Compassion
Social,Empathetic,Understanding,Care,Sympathy
