Factor,Adjective,Synonym,Verb,Noun
Location,Whole,Overall,Perceive,Whole
Location,Whole,Entire,Identify,Entity
Location,Whole,Global,View,Complete form
Location,Details,Particulars,Focus,Details
Location,Details,Specifics,Identify,Fragments
Location,Details,Fragments,Detail,Portions
Location,Unusual Details,Obscure,Notice,Obscure details
Location,Unusual Details,Hidden,Identify,Hidden portions
Location,Unusual Details,Uncommon,Detect,Uncommon areas
Location,White Space,Negative space,Notice,White space
Location,White Space,Background,Incorporate,Negative areas
Location,White Space,Unfilled areas,Interpret,Empty zones
Determinants,Form,Shape,Identify,Form
Determinants,Form,Contour,Outline,Shape
Determinants,Form,Outline,Form,Contour
Determinants,Movement,Motion,Move,Movement
Determinants,Movement,Action,Act,Activity
Determinants,Movement,Activity,Engage,Motion
Determinants,Color,Hue,Color,Color
Determinants,Color,Tint,Tint,Hue
Determinants,Color,Shade,Hue,Shade
Determinants,Shading,Gradation,Shade,Shading
Determinants,Shading,Shadow,Contrast,Gradation
Determinants,Shading,Contrast,Shadow,Contrast
Determinants,Texture,Feel,Texture,Texture
Determinants,Texture,Surface,Pattern,Pattern
Determinants,Texture,Pattern,Surface,Feel
Determinants,Pairs,Couple,Pair,Pair
Determinants,Pairs,Duo,Match,Couple
Determinants,Pairs,Double,Double,Symmetry
Content,Human,Person,Humanize,Human
Content,Human,Individual,Relate,Person
Content,Human,Man/Woman,Include,Individual
Content,Animal,Creature,Perceive,Animal
Content,Animal,Mammal,Identify,Creature
Content,Animal,Reptile,Relate,Mammal
Content,Nature,Landscape,Perceive,Nature
Content,Nature,Vegetation,Identify,Landscape
Content,Nature,Weather,Interpret,Vegetation
Content,Objects,Tool,Perceive,Object
Content,Objects,Building,Identify,Tool
Content,Objects,Item,Interpret,Building
Content,Abstract,Shape,Perceive,Abstract
Content,Abstract,Pattern,Interpret,Shape
Content,Abstract,Concept,Imagine,Pattern
