Factor,Adjective,Synonym,Verb,Noun
Neurodevelopmental Disorders,Intellectual Disability (Intellectual Developmental Disorder),Cognitive Impairment,Exhibit,Deficits
Neurodevelopmental Disorders,Intellectual Disability (Intellectual Developmental Disorder),Mental Retardation,Demonstrate,Limitations
Neurodevelopmental Disorders,Intellectual Disability (Intellectual Developmental Disorder),Developmental Delay,Experience,Impairment
Neurodevelopmental Disorders,Global Developmental Delay,Developmental Delay,Demonstrate,Delays
Neurodevelopmental Disorders,Global Developmental Delay,Delayed Development,Show,Limitations
Neurodevelopmental Disorders,Global Developmental Delay,Developmental Disabilities,Exhibit,Impairment
Neurodevelopmental Disorders,Unspecified Intellectual Disability,Cognitive Impairment,Show,Impairment
Neurodevelopmental Disorders,Unspecified Intellectual Disability,Developmental Delay,Exhibit,Delay
Neurodevelopmental Disorders,Unspecified Intellectual Disability,Unspecified Delay,Struggle with,Limitation
Neurodevelopmental Disorders,Language Disorder,Language Impairment,Struggle with,Impairment
Neurodevelopmental Disorders,Language Disorder,Communication Disorder,Exhibit,Difficulties
Neurodevelopmental Disorders,Language Disorder,Language Difficulties,Show,Deficits
Neurodevelopmental Disorders,Speech Sound Disorder,Articulation Disorder,Struggle with,Impairment
Neurodevelopmental Disorders,Speech Sound Disorder,Phonological Disorder,Exhibit,Difficulties
Neurodevelopmental Disorders,Speech Sound Disorder,Speech Impairment,Show,Errors
Neurodevelopmental Disorders,Childhood-Onset Fluency Disorder (Stuttering),Stuttering,Stutter,Stutter
Neurodevelopmental Disorders,Childhood-Onset Fluency Disorder (Stuttering),Fluency Disorder,Hesitate,Hesitation
Neurodevelopmental Disorders,Childhood-Onset Fluency Disorder (Stuttering),Speech Hesitation,Repeat,Repetition
Neurodevelopmental Disorders,Social Communication Disorder,Pragmatic Communication Disorder,Struggle with,Difficulties
Neurodevelopmental Disorders,Social Communication Disorder,Social Language Deficit,Exhibit,Deficits
Neurodevelopmental Disorders,Social Communication Disorder,Communication Difficulties,Show,Impairment
Neurodevelopmental Disorders,Other Specified Attention-Deficit/Hyperactivity Disorder,ADHD,Struggle with,Inattention
Neurodevelopmental Disorders,Other Specified Attention-Deficit/Hyperactivity Disorder,Attention Deficit,Exhibit,Hyperactivity
Neurodevelopmental Disorders,Other Specified Attention-Deficit/Hyperactivity Disorder,Hyperactivity,Show,Impulsivity
Neurodevelopmental Disorders,Other Specified Attention-Deficit/Hyperactivity Disorder,Impulsivity,Have,Distractibility
Neurodevelopmental Disorders,Unspecified Attention-Deficit/Hyperactivity Disorder,ADHD,Struggle with,Inattention
Neurodevelopmental Disorders,Unspecified Attention-Deficit/Hyperactivity Disorder,Attention Deficit,Exhibit,Hyperactivity
Neurodevelopmental Disorders,Unspecified Attention-Deficit/Hyperactivity Disorder,Hyperactivity,Show,Impulsivity
Neurodevelopmental Disorders,Unspecified Attention-Deficit/Hyperactivity Disorder,Impulsivity,Have,Distractibility
Neurodevelopmental Disorders,Specific Learning Disorder,Learning Disability,Struggle with,Difficulties
Neurodevelopmental Disorders,Specific Learning Disorder,Reading Disorder,Exhibit,Impairment
Neurodevelopmental Disorders,Specific Learning Disorder,Dyslexia,Show,Deficit
Neurodevelopmental Disorders,Specific Learning Disorder,Mathematics Disorder,Have,Limitation
Neurodevelopmental Disorders,Specific Learning Disorder,Dyscalculia,Demonstrate,Challenge
Neurodevelopmental Disorders,Developmental Coordination Disorder,Dyspraxia,Struggle with,Impairment
Neurodevelopmental Disorders,Developmental Coordination Disorder,Motor Coordination Disorder,Exhibit,Difficulties
Neurodevelopmental Disorders,Developmental Coordination Disorder,Clumsiness,Show,Deficits
Neurodevelopmental Disorders,Stereotypic Movement Disorder,Repetitive Movement Disorder,Exhibit,Movements
Neurodevelopmental Disorders,Stereotypic Movement Disorder,Stereotypies,Show,Behaviors
Neurodevelopmental Disorders,Stereotypic Movement Disorder,Motor Stereotypies,Engage in,Stereotypies
Neurodevelopmental Disorders,Tourette's Disorder,Tic Disorder,Exhibit,Tics
Neurodevelopmental Disorders,Tourette's Disorder,Motor Tics,Show,Movements
Neurodevelopmental Disorders,Tourette's Disorder,Vocal Tics,Have,Vocalizations
Neurodevelopmental Disorders,Persistent (Chronic) Motor or Vocal Tic Disorder,Chronic Tic Disorder,Exhibit,Tics
Neurodevelopmental Disorders,Persistent (Chronic) Motor or Vocal Tic Disorder,Persistent Tic Disorder,Show,Movements
Neurodevelopmental Disorders,Persistent (Chronic) Motor or Vocal Tic Disorder,Motor Tics,Have,Vocalizations
Neurodevelopmental Disorders,Persistent (Chronic) Motor or Vocal Tic Disorder,Vocal Tics,Experience,Behaviors
Neurodevelopmental Disorders,Provisional Tic Disorder,Tic Disorder,Exhibit,Tics
Neurodevelopmental Disorders,Provisional Tic Disorder,Transient Tic Disorder,Show,Movements
Neurodevelopmental Disorders,Provisional Tic Disorder,Motor Tics,Have,Vocalizations
Neurodevelopmental Disorders,Provisional Tic Disorder,Vocal Tics,Experience,Behaviors
Neurodevelopmental Disorders,Other Specified Tic Disorder,Tic Disorder,Exhibit,Tics
Neurodevelopmental Disorders,Other Specified Tic Disorder,Atypical Tic Disorder,Show,Movements
Neurodevelopmental Disorders,Other Specified Tic Disorder,Motor Tics,Have,Vocalizations
Neurodevelopmental Disorders,Other Specified Tic Disorder,Vocal Tics,Experience,Behaviors
Neurodevelopmental Disorders,Unspecified Tic Disorder,Tic Disorder,Exhibit,Tics
Neurodevelopmental Disorders,Unspecified Tic Disorder,Unspecified Tics,Show,Movements
Neurodevelopmental Disorders,Unspecified Tic Disorder,Motor Tics,Have,Vocalizations
Neurodevelopmental Disorders,Unspecified Tic Disorder,Vocal Tics,Experience,Behaviors
Schizophrenia Spectrum and Other Psychotic Disorders,Schizotypal (Personality) Disorder,Eccentric Personality,Exhibit,Eccentricity
Schizophrenia Spectrum and Other Psychotic Disorders,Schizotypal (Personality) Disorder,Odd Personality,Show,Oddity
Schizophrenia Spectrum and Other Psychotic Disorders,Schizotypal (Personality) Disorder,Schizotypy,Have,Peculiarity
Schizophrenia Spectrum and Other Psychotic Disorders,Delusional Disorder,Delusions,Experience,Delusions
Schizophrenia Spectrum and Other Psychotic Disorders,Delusional Disorder,Fixed Beliefs,Have,Beliefs
Schizophrenia Spectrum and Other Psychotic Disorders,Delusional Disorder,False Beliefs,Hold,Ideas
Schizophrenia Spectrum and Other Psychotic Disorders,Brief Psychotic Disorder,Brief Psychosis,Experience,Psychosis
Schizophrenia Spectrum and Other Psychotic Disorders,Brief Psychotic Disorder,Psychotic Episode,Have,Symptoms
Schizophrenia Spectrum and Other Psychotic Disorders,Brief Psychotic Disorder,Transient Psychosis,Show,Episode
Schizophrenia Spectrum and Other Psychotic Disorders,Schizophreniform Disorder,Schizophrenia-like Psychosis,Experience,Psychosis
Schizophrenia Spectrum and Other Psychotic Disorders,Schizophreniform Disorder,Short-term Schizophrenia,Have,Symptoms
Schizophrenia Spectrum and Other Psychotic Disorders,Schizophreniform Disorder,Psychotic Episode,Show,Episode
Schizophrenia Spectrum and Other Psychotic Disorders,Schizophrenia,Psychosis,Experience,Delusions
Schizophrenia Spectrum and Other Psychotic Disorders,Schizophrenia,Schizophrenia Spectrum Disorder,Have,Hallucinations
Schizophrenia Spectrum and Other Psychotic Disorders,Schizophrenia,Thought Disorder,Show,Disorganized Thinking
