Factor,Adjective,Synonym,Verb,Noun
Self-Transcendence,Equality,Fairness,Equalize,Equality
Self-Transcendence,Equality,Impartiality,Balance,Fairness
Self-Transcendence,Equality,Justice,Level,Impartiality
Self-Transcendence,Equality,Equity,Apportion,Equity
Self-Transcendence,Wisdom,Insightful,Understand,Wisdom
Self-Transcendence,Wisdom,Intelligent,Comprehend,Insight
Self-Transcendence,Wisdom,Thoughtful,Perceive,Intelligence
Self-Transcendence,Wisdom,Reflective,Reflect,Thoughtfulness
Self-Transcendence,Social justice,Equity,Advocate,Social Justice
Self-Transcendence,Social justice,Fairness,Support,Equity
Self-Transcendence,Social justice,Inclusivity,Defend,Inclusiveness
Self-Transcendence,Social justice,Human rights,Promote,Human Rights
Self-Transcendence,Unity with nature,Harmony,Unify,Unity
Self-Transcendence,Unity with nature,Connection,Connect,Connection
Self-Transcendence,Unity with nature,Respect for nature,Respect,Respect
Self-Transcendence,Unity with nature,Environmental sustainability,Preserve,Sustainability
Self-Transcendence,Helpfulness,Kindness,Help,Helpfulness
Self-Transcendence,Helpfulness,Assistance,Assist,Kindness
Self-Transcendence,Helpfulness,Support,Support,Assistance
Self-Transcendence,Helpfulness,Altruism,Aid,Support
Self-Transcendence,Honesty,Integrity,Honor,Honesty
Self-Transcendence,Honesty,Truthfulness,Be truthful,Integrity
Self-Transcendence,Honesty,Authenticity,Authenticate,Truthfulness
Self-Transcendence,Honesty,Transparency,Clarify,Authenticity
Self-Transcendence,Responsibility,Accountability,Manage,Responsibility
Self-Transcendence,Responsibility,Reliability,Handle,Accountability
Self-Transcendence,Responsibility,Duty,Be responsible,Duty
Self-Transcendence,Responsibility,Obligation,Uphold,Obligation
Self-Transcendence,Forgiveness,Pardoning,Forgive,Forgiveness
Self-Transcendence,Forgiveness,Mercy,Pardon,Mercy
Self-Transcendence,Forgiveness,Compassion,Excuse,Compassion
Self-Transcendence,Forgiveness,Understanding,Understand,Understanding
Openness to Change,Creativity,Imaginative,Create,Creativity
Openness to Change,Creativity,Inventive,Innovate,Innovation
Openness to Change,Creativity,Artistic,Design,Artistry
Openness to Change,Creativity,Innovative,Invent,Invention
Openness to Change,Freedom,Autonomy,Liberate,Freedom
Openness to Change,Freedom,Liberty,Emancipate,Liberty
Openness to Change,Freedom,Independence,Unbind,Autonomy
Openness to Change,Freedom,Self-governance,Free,Independence
Openness to Change,Curiosity,Inquisitiveness,Explore,Curiosity
Openness to Change,Curiosity,Exploration,Inquire,Exploration
Openness to Change,Curiosity,Wonder,Discover,Wonder
Openness to Change,Curiosity,Thirst for knowledge,Investigate,Discovery
Openness to Change,Independence,Self-reliance,Self-manage,Independence
Openness to Change,Independence,Individualism,Operate independently,Self-reliance
Openness to Change,Independence,Autonomy,Function autonomously,Autonomy
Openness to Change,Independence,Non-conformity,Stand alone,Individualism
Openness to Change,Excitement,Thrill,Energize,Excitement
Openness to Change,Excitement,Adrenaline,Stimulate,Thrill
Openness to Change,Excitement,Excitement,Excite,Adrenaline
Openness to Change,Excitement,Arousal,Thrill,Stimulation
Openness to Change,Novelty,Newness,Renew,Novelty
Openness to Change,Novelty,Uniqueness,Revitalize,Originality
Openness to Change,Novelty,Originality,Introduce,Uniqueness
Openness to Change,Novelty,Freshness,Innovate,Freshness
Openness to Change,Challenge,Difficulty,Confront,Challenge
Openness to Change,Challenge,Obstacle,Challenge,Difficulty
Openness to Change,Challenge,Test,Compete,Test
Openness to Change,Challenge,Adversity,Strive,Adversity
Openness to Change,Thrill,Excitement,Thrill,Thrill
Openness to Change,Thrill,Exhilaration,Exhilarate,Exhilaration
Openness to Change,Thrill,Rush,Electrify,Excitement
Openness to Change,Thrill,Euphoria,Excite,Rush
Conservation,Safety,Protection,Protect,Safety
Conservation,Safety,Security,Secure,Protection
Conservation,Safety,Well-being,Shield,Security
Conservation,Safety,Safeguarding,Defend,Safeguard
Conservation,Stability,Consistency,Stabilize,Stability
Conservation,Stability,Predictability,Solidify,Consistency
Conservation,Stability,Reliability,Sustain,Reliability
Conservation,Stability,Permanence,Maintain,Permanence
Conservation,Harmony,Peace,Harmonize,Harmony
Conservation,Harmony,Agreement,Reconcile,Peace
Conservation,Harmony,Concord,Accord,Concord
Conservation,Harmony,Unity,Coordinate,Unity
Conservation,Order,Structure,Organize,Order
Conservation,Order,Organization,Systematize,Structure
Conservation,Order,Arrangement,Arrange,Organization
Conservation,Order,Discipline,Order,Arrangement
Conservation,Obedience,Compliance,Obey,Obedience
Conservation,Obedience,Conformity,Comply,Compliance
Conservation,Obedience,Submission,Submit,Submission
Conservation,Obedience,Adherence,Conform,Conformity
Conservation,Tradition,Custom,Uphold,Tradition
Conservation,Tradition,Ritual,Maintain,Custom
Conservation,Tradition,Heritage,Preserve,Heritage
Conservation,Tradition,Convention,Honor,Convention
Conservation,Respect,Admiration,Respect,Respect
Conservation,Respect,Esteem,Honor,Admiration
Conservation,Respect,Honoring,Value,Esteem
Conservation,Respect,Regard,Revere,Regard
Conservation,Discipline,Self-control,Discipline,Discipline
Conservation,Discipline,Restraint,Regulate,Control
Conservation,Discipline,Control,Control,Restraint
Conservation,Discipline,Adherence to rules,Restrict,Adherence
Self-Enhancement,Success,Accomplishment,Succeed,Success
Self-Enhancement,Success,Attainment,Achieve,Achievement
Self-Enhancement,Success,Victory,Win,Victory
Self-Enhancement,Success,Triumph,Conquer,Triumph
Self-Enhancement,Competence,Capability,Master,Competence
Self-Enhancement,Competence,Proficiency,Excel,Proficiency
Self-Enhancement,Competence,Skillfulness,Compete,Skillfulness
Self-Enhancement,Competence,Mastery,Dominate,Mastery
Self-Enhancement,Ambition,Aspiration,Aspire,Ambition
Self-Enhancement,Ambition,Drive,Strive,Aspiration
Self-Enhancement,Ambition,Determination,Pursue,Determination
Self-Enhancement,Ambition,Zeal,Seek,Drive
Self-Enhancement,Influence,Power,Influence,Influence
Self-Enhancement,Influence,Impact,Persuade,Impact
Self-Enhancement,Influence,Persuasiveness,Sway,Authority
Self-Enhancement,Influence,Control,Command,Control
Self-Enhancement,Authority,Leadership,Command,Authority
Self-Enhancement,Authority,Supremacy,Lead,Leadership
Self-Enhancement,Authority,Command,Govern,Command
Self-Enhancement,Authority,Dominion,Rule,Dominion
Self-Enhancement,Dominance,Control,Dominate,Dominance
Self-Enhancement,Dominance,Supremacy,Control,Control
Self-Enhancement,Dominance,Superiority,Rule,Supremacy
Self-Enhancement,Dominance,Mastery,Command,Mastery
Self-Enhancement,Wealth,Prosperity,Amass,Wealth
Self-Enhancement,Wealth,Riches,Accumulate,Riches
Self-Enhancement,Wealth,Abundance,Enrich,Abundance
Self-Enhancement,Wealth,Financial success,Prosper,Prosperity
Self-Enhancement,Social status,Prestige,Elevate,Status
Self-Enhancement,Social status,Reputation,Enhance,Prestige
Self-Enhancement,Social status,Status,Boost,Reputation
Self-Enhancement,Social status,Social standing,Exalt,Standing
