Factor,Adjective,Description,Synonym,Verb,Noun,Embedding
Verbal Comprehension Index (VCI),Similarities,Assesses abstract verbal reasoning by identifying similarities between paired concepts.,Comparison,Compare,Similarity,
Verbal Comprehension Index (VCI),Similarities,Assesses abstract verbal reasoning by identifying similarities between paired concepts.,Matching,Match,Comparison,
Verbal Comprehension Index (VCI),Similarities,Assesses abstract verbal reasoning by identifying similarities between paired concepts.,Pairing,Pair,Match,
Verbal Comprehension Index (VCI),Similarities,Assesses abstract verbal reasoning by identifying similarities between paired concepts.,Resemblance,Resemble,Pair,
Verbal Comprehension Index (VCI),Vocabulary,Measures word knowledge and verbal concept formation.,Lexicon,Define,Vocabulary,
Verbal Comprehension Index (VCI),Vocabulary,Measures word knowledge and verbal concept formation.,Word list,Understand,Definition,
Verbal Comprehension Index (VCI),Vocabulary,Measures word knowledge and verbal concept formation.,Terminology,Explain,Word,
Verbal Comprehension Index (VCI),Vocabulary,Measures word knowledge and verbal concept formation.,Vocabulary,Interpret,Concept,
Verbal Comprehension Index (VCI),Information,Evaluates general knowledge and the ability to acquire factual information.,Knowledge,Know,Information,
Verbal Comprehension Index (VCI),Information,Evaluates general knowledge and the ability to acquire factual information.,Awareness,Learn,Fact,
Verbal Comprehension Index (VCI),Information,Evaluates general knowledge and the ability to acquire factual information.,Education,Acquire,Knowledge,
Verbal Comprehension Index (VCI),Information,Evaluates general knowledge and the ability to acquire factual information.,Facts,Understand,Education,
Verbal Comprehension Index (VCI),Comprehension,Measures practical judgment and common sense by answering everyday questions.,Understanding,Understand,Comprehension,
Verbal Comprehension Index (VCI),Comprehension,Measures practical judgment and common sense by answering everyday questions.,Awareness,Perceive,Understanding,
Verbal Comprehension Index (VCI),Comprehension,Measures practical judgment and common sense by answering everyday questions.,Perception,Grasp,Awareness,
Verbal Comprehension Index (VCI),Comprehension,Measures practical judgment and common sense by answering everyday questions.,Grasp,Comprehend,Perception,
Perceptual Reasoning Index (PRI),Block Design,Assesses visual‑spatial reasoning by replicating patterns using blocks.,Pattern,Replicate,Block,
Perceptual Reasoning Index (PRI),Block Design,Assesses visual‑spatial reasoning by replicating patterns using blocks.,Design,Construct,Pattern,
Perceptual Reasoning Index (PRI),Block Design,Assesses visual‑spatial reasoning by replicating patterns using blocks.,Replication,Arrange,Design,
Perceptual Reasoning Index (PRI),Block Design,Assesses visual‑spatial reasoning by replicating patterns using blocks.,Structure,Build,Structure,
Perceptual Reasoning Index (PRI),Matrix Reasoning,Evaluates non‑verbal reasoning by identifying patterns within a series of matrices.,Pattern,Identify,Matrix,
Perceptual Reasoning Index (PRI),Matrix Reasoning,Evaluates non‑verbal reasoning by identifying patterns within a series of matrices.,Arrangement,Organize,Pattern,
Perceptual Reasoning Index (PRI),Matrix Reasoning,Evaluates non‑verbal reasoning by identifying patterns within a series of matrices.,Sequence,Sequence,Arrangement,
Perceptual Reasoning Index (PRI),Matrix Reasoning,Evaluates non‑verbal reasoning by identifying patterns within a series of matrices.,Logic,Analyze,Sequence,
Perceptual Reasoning Index (PRI),Visual Puzzles,Measures visual‑spatial problem‑solving by completing jigsaw‑like puzzles.,Puzzle,Solve,Puzzle,
Perceptual Reasoning Index (PRI),Visual Puzzles,Measures visual‑spatial problem‑solving by completing jigsaw‑like puzzles.,Problem‑solving,Complete,Jigsaw,
Perceptual Reasoning Index (PRI),Visual Puzzles,Measures visual‑spatial problem‑solving by completing jigsaw‑like puzzles.,Jigsaw,Arrange,Problem,
Perceptual Reasoning Index (PRI),Visual Puzzles,Measures visual‑spatial problem‑solving by completing jigsaw‑like puzzles.,Game,Piece together,Solution,
