model,factor,n_schema_rows,sample_entries,appropriateness_rating,notes
OCEAN,Agreeableness,24,Appreciative / Grateful / Thank / Thanks || Forgiving / Merciful / Forgive / Forgiveness || Generous / Bountiful / Give / Giving || Kind / Compassionate / Care / Care || Sympathetic / Compassionate / Empathize / Empathy || Trusting / Confident / Trust / Trust,,
OCEAN,Conscientiousness,24,Efficient / Competent / Optimize / Optimization || Organized / Orderly / Organize / Organization || Planful / Prepared / Plan / Planning || Reliable / Trustworthy / Deliver / Delivery || Responsible / Accountable / Respond / Responsibility || Thorough / Comprehensive / Examine / Examination,,
OCEAN,Extraversion,24,Active / Energetic / Activate / Activator || Assertive / Confident / Assert / Assertion || Energetic / Vivacious / Revitalize / Revitalization || Enthusiastic / Excited / Inspire / Inspiration || Outgoing / Sociable / Socialize / Socialization || Talkative / Chatty / Chat / Chatting,,
OCEAN,Neuroticism,24,Anxious / Worried / Worry / Worry || Self-pitying / Self-indulgent / Mope / Moping || Tense / Stressed / Tense / Tension || Touchy / Sensitive / React / Reactivity || Unstable / Volatile / Fluctuate / Fluctuation || Worrying / Anxious / Worry / Worry,,
OCEAN,Openness,24,Artistic / Creative / Create / Creativity || Curious / Inquisitive / Explore / Exploration || Imaginative / Creative / Imagine / Imagination || Insightful / Perceptive / Perceive / Perception || Original / Unique / Originate / Originality || Wide Interest / Broad-minded / Diversify / Diversity,,
HEX,Agreeableness,9,Patient / Tolerant / Show patience / Patient waiting || Gentle / Kind / Act gently / Gentle care || Lenient / Merciful / Be lenient / Lenient rulings,,
HEX,Conscientiousness,9,Organized / Orderly / Organize effectively / Organized files || Diligent / Hardworking / Work diligently / Diligent studies || Precise / Accurate / Be precise / Precise measurements,,
HEX,Emotionality,12,Emotional / Sensitive / Express feelings / Emotional support groups || Fearful / Afraid / Show fear / Scary situations || Anxious / Worried / Feel anxious / Worrisome scenarios || Vulnerable / Exposed / Appear vulnerable / Vulnerable moments,,
HEX,Extraversion,12,Outgoing / Extroverted / Socialize actively / Social gatherings || Lively / Energetic / Exude energy / Energetic parties || Active / Energetic / Participate actively / Active workouts || Cheerful / Happy / Spread cheer / Cheerful celebrations,,
HEX,Honesty-Humility,15,Sincere / Genuine / Act sincerely / Heartfelt conversations || Honest / Truthful / Practice honesty / Trustworthy dealings || Faithful / Devoted / Remain loyal / Long-term relationships || Modest / Humble / Display modesty / Modest attire || Loyal / Dedicated / Stand by / Loyal friendships,,
HEX,Openness to Experience,9,Creative / Inventive / Create imaginatively / Creative projects || Curious / Inquisitive / Explore curiously / Curious inquiries || Adventurous / Daring / Seek adventure / Adventurous journeys,,
NPI,Authority,24,Dominant / Commanding / Lead / Leadership || Power-Seeking / Ambitious / Seek power / Power || Confident / Self-assured / Assert / Confidence || Leader-Oriented / Guiding / Guide / Leadership || Authoritative / Decisive / Establish authority / Authority || Influential / Persuasive / Influence / Influence,,
NPI,Entitlement,24,Entitled / Deserving / Expect favors / Entitlement || Presumptuous / Bold / Overstep / Presumption || Overbearing / Domineering / Dominate / Oppression || Self-Important / Egotistical / Self-assert / Self-importance || Demanding / Insistent / Insist upon / Demands || Superiority-Seeking / Self-aggrandizing / Assert dominance / Superiority,,
NPI,Exhibitionism,24,Attention-Seeking / Showy / Attract attention / Exhibitionism || Self-Promoting / Egotistical / Promote oneself / Self-promotion || Show-Off / Boastful / Brag / Boasting || Dramatic / Melodramatic / Exaggerate / Drama || Flashy / Gaudy / Flaunt / Flashiness || Theatrical / Expressive / Perform / Theatrics,,
NPI,Exploitativeness,24,Manipulative / Scheming / Manipulate / Manipulation || Opportunistic / Cunning / Capitalize / Opportunism || Self-Serving / Egotistical / Prioritize oneself / Self-interest || Deceptive / Misleading / Deceive / Deception || Predatory / Exploitative / Prey on / Predation || Coercive / Forceful / Coerce / Coercion,,
NPI,Self-Sufficiency,24,Independent / Self-reliant / Function alone / Independence || Self-Assured / Confident / Believe in oneself / Self-confidence || Unyielding / Determined / Persist / Determination || Self-Sustaining / Self-supporting / Sustain oneself / Self-sufficiency || Resourceful / Inventive / Find solutions / Resourcefulness || Self-Reliant / Self-sustaining / Depend on oneself / Self-reliance,,
NPI,Superiority,24,Arrogant / Haughty / Look down on / Arrogance || Self-Important / Grandiose / Exaggerate worth / Self-importance || Competitive / Driven / Compete / Competitiveness || Egotistical / Self-centered / Talk about oneself / Egotism || Self-Righteous / Moralistic / Lecture others / Self-righteousness || Condescending / Patronizing / Talk down to / Condescension,,
NPI,Vanity,24,Self-Admiring / Self-loving / Admire oneself / Vanity || Appearance-Focused / Groomed / Groom / Self-image || Self-Obsessed / Self-involved / Obsess over / Obsession || Egotistical / Conceited / Brag / Egotism || Showy / Flamboyant / Show off / Showiness || Self-Indulgent / Luxury-seeking / Indulge / Self-indulgence,,
SDT,Autonomy,28,Independence / Freedom / Liberate / Freedom || Choice / Decision-making / Decide / Decision || Authenticity / Genuineness / Authenticate / Authenticity || Self-governance / Self-control / Control / Governance || Self-expression / Creativity / Create / Expression || Initiative / Proactivity / Initiate / Initiative || Freedom of expression / Speech / Speak / Freedom,,
SDT,Competence,28,Mastery / Proficiency / Master / Mastery || Effectiveness / Efficacy / Effect / Effectiveness || Achievement / Success / Succeed / Achievement || Growth / Development / Develop / Growth || Confidence / Self-assurance / Confide / Confidence || Learning / Knowledge acquisition / Learn / Learning || Challenge / Difficulty / Challenge / Challenge,,
SDT,Relatedness,28,Connection / Relationship / Connect / Connection || Belongingness / Inclusion / Include / Inclusion || Empathy / Understanding / Empathize / Empathy || Collaboration / Cooperation / Collaborate / Collaboration || Support / Assistance / Support / Support || Friendship / Companionship / Befriend / Friendship || Respect / Esteem / Respect / Respect,,
RFT,Prevention Focus,28,Vigilance / Alertness / Monitor / Vigilance || Prudence / Carefulness / Care / Prudence || Security / Safety / Secure / Security || Responsibility / Accountability / Account for / Responsibility || Conservatism / Moderation / Moderate / Conservatism || Anxiety / Worry / Worry / Anxiety || Preparedness / Readiness / Prepare / Preparedness,,
RFT,Promotion Focus,28,Eagerness / Excitement / Energize / Excitement || Optimism / Positive / Believe / Positivity || Aspiration / Ambition / Strive / Ambition || Creativity / Innovation / Create / Innovation || Adventure / Thrill / Thrill / Adventure || Passion / Zeal / Passionate / Passion || Inspiration / Motivation / Inspire / Inspiration,,
CEST,Experiential System,36,Intuitive / Innate / Sense / Instinct || Emotional / Passionate / Feel deeply / Passion || Impulsive / Rash / Act rashly / Impulsiveness || Automatic / Involuntary / Respond automatically / Automation || Holistic / Comprehensive / Integrate / Holism || Experiential / First-hand / Experience / Experience,,
CEST,Rational System,36,Analytical / Logical / Analyze / Logic || Reasoned / Thoughtful / Consider / Thoughtfulness || Reflective / Contemplative / Reflect / Reflection || Conscious / Aware / Acknowledge / Awareness || Deliberative / Cautious / Deliberate / Deliberation || Structured / Organized / Structure / Structure,,
MMPI,Depression,36,Sad / Unhappy / Sadden / Sadness || Hopeless / Despairing / Despair / Hopelessness || Lethargic / Sluggish / Languish / Lethargy || Withdrawn / Isolated / Withdraw / Withdrawal || Empty / Hollow / Empty / Emptiness || Indifferent / Apathetic / Ignore / Indifference,,
MMPI,Hypochondriasis,36,Obsessed / Preoccupied / Obsess / Obsession || Worried / Anxious / Worry / Worry || Complaining / Grousing / Complain / Complaint || Fearful / Afraid / Fear / Fear || Self-Diagnosing / Hypochondriac / Diagnose / Diagnosis || Avoidant / Evading / Avoid / Avoidance,,
MMPI,Hypomania,36,Energetic / Active / Energize / Energy || Impulsive / Rash / Act impulsively / Impulsiveness || Excitable / Enthusiastic / Excite / Excitability || Talkative / Chatty / Talk / Talkativeness || Restless / Agitated / Fidget / Restlessness || Grandiose / Boastful / Boast / Grandiosity,,
MMPI,Hysteria,36,Emotional / Passionate / Emote / Emotionality || Dramatic / Theatrical / Dramatize / Drama || Erratic / Unpredictable / Fluctuate / Erraticism || Attention-Seeking / Needy / Seek attention / Attention-seeking || Hyperactive / Overactive / Fidget / Hyperactivity || Unstable / Volatile / Shift / Instability,,
MMPI,Masculinity_Femininity,36,Nonconforming / Unorthodox / Diverge / Nonconformity || Androgynous / Epicene / Blend / Androgyny || Flexible / Adaptable / Adapt / Flexibility || Traditional / Conventional / Conform / Tradition || Assertive / Confident / Assert / Assertion || Nurturing / Caring / Nurture / Nurturing,,
MMPI,Paranoia,36,Suspicious / Distrustful / Suspect / Suspicion || Persecuted / Victimized / Persecute / Persecution || Delusional / Fantasist / Delude / Delusion || Defensive / Protective / Defend / Defensiveness || Isolated / Withdrawn / Isolate / Isolation || Hypervigilant / Watchful / Watch / Hypervigilance,,
MMPI,Psychasthenia,36,Obsessive / Compulsive / Obsess / Obsession || Anxious / Worried / Worry / Anxiety || Insecure / Uncertain / Doubt / Insecurity || Perfectionist / Exacting / Refine / Perfectionism || Rigid / Strict / Enforce / Rigidity || Overwhelmed / Burdened / Overload / Overwhelm,,
MMPI,Psychopathic_Deviate,36,Rebellious / Defiant / Rebel / Rebellion || Unstable / Inconsistent / Fluctuate / Instability || Manipulative / Devious / Manipulate / Manipulation || Aggressive / Hostile / Attack / Aggression || Impulsive / Reckless / Act impulsively / Impulsivity || Risk-Taking / Daring / Take risks / Risk-taking,,
