item_id,item_text,model,category,n_factors,available_factors,source_type,instrument,expert_factor_assignment,expert_confidence,expert_notes
eval_001,I prefer to focus on the details of a task.,MBTI,Trait-Based,8,Extraversion | Feeling | Introversion | Intuition | Judging | Perceiving | Sensing | Thinking,LLM-generated,,,,
eval_002,I see myself as someone who does a thorough job,OCEAN,,5,Agreeableness | Conscientiousness | Extraversion | Neuroticism | Openness,human,BFI-44,,,
eval_003,I tend to be talkative and expressive,Four Temperaments,,4,Choleric | Melancholic | Phlegmatic | Sanguine,human,OSPP Four Temperaments Test (O4TS),,,
eval_004,I sometimes feel like I give in too easily to others' demands.,TKI,Interpersonal,5,Accommodating | Avoiding | Collaborating | Competing | Compromising,LLM-generated,,,,
eval_005,I've been in more fights than most people of my age and gender,Dark Tetrad,,4,Machiavellianism | Narcissism | Psychopathy | Sadism,human,Short Dark Tetrad (SD4),,,
eval_006,I prefer complex to simple problems,CEST,,2,Experiential System | Rational System,human,Rational-Experiential Inventory (REI),,,
eval_007,"I sometimes enjoy working in teams, but I prefer to have my own responsibilities.",SDT,Motivational,3,Autonomy | Competence | Relatedness,LLM-generated,,,,
eval_008,I often put others' needs before my own to keep the peace.,TKI,Interpersonal,5,Accommodating | Avoiding | Collaborating | Competing | Compromising,LLM-generated,,,,
eval_009,He is willing to give up some demands to reach a consensus.,TKI,Interpersonal,5,Accommodating | Avoiding | Collaborating | Competing | Compromising,LLM-generated,,,,
eval_010,Little interest or pleasure in doing things,BDI,,21,Agitation | Changes in Appetite | Changes in Sleeping Pattern | Crying | Difficulty Concentrating | Guilty Feelings | Indecisiveness | Irritability | Loss of Energy | Loss of Interest | Loss of Interest in Sex | Loss of Pleasure | Past Failure | Pessimism | Punishment Feelings | Sadness | Self-Criticalness | Self-Dislike | Suicidal Thoughts or Wishes | Tiredness or Fatigue | Worthlessness,human,PHQ-9,,,
eval_011,"I feel anxious in social situations, especially when meeting new people.",SCID,Clinical,21,"Anxiety Disorders | Bipolar and Related Disorders | Depressive Disorders | Disruptive, Impulse-Control, and Conduct Disorders | Dissociative Disorders | Elimination Disorders | Feeding and Eating Disorders | Gender Dysphoria | Medication-Induced Movement Disorders and Other Adverse Effects of Medication | Neurocognitive Disorders | Neurodevelopmental Disorders | Obsessive-Compulsive and Related Disorders | Other Conditions That May Be a Focus of Clinical Attention | Paraphilic Disorders | Personality Disorders | Schizophrenia Spectrum and Other Psychotic Disorders | Sexual Dysfunctions | Sleep-Wake Disorders | Somatic Symptom and Related Disorders | Substance-Related and Addictive Disorders | Trauma- and Stressor-Related Disorders",LLM-generated,,,,
eval_012,I sometimes find it hard to distinguish between my feelings and my thoughts.,CEST,Cognitive,2,Experiential System | Rational System,LLM-generated,,,,
eval_013,I know that I am special because everyone keeps telling me so,Dark Tetrad,,4,Machiavellianism | Narcissism | Psychopathy | Sadism,human,Short Dark Tetrad (SD4),,,
eval_014,I try to win my position in a dispute,TKI,,5,Accommodating | Avoiding | Collaborating | Competing | Compromising,human,TKI,,,
eval_015,She is always on the lookout for new experiences.,AAM,Motivational,2,Approach Motivation | Avoidance Motivation,LLM-generated,,,,
eval_016,I often feel like I have to be on guard around others.,MMPI,Clinical,10,Depression | Hypochondriasis | Hypomania | Hysteria | Masculinity_Femininity | Paranoia | Psychasthenia | Psychopathic_Deviate | Schizophrenia | Social_Introversion,LLM-generated,,,,
eval_017,I sometimes take on too much in pursuit of success.,RFT,Motivational,2,Prevention Focus | Promotion Focus,LLM-generated,,,,
