,AAM (Approach-Avoidance),BDI (Beck Depression),BT (Bartle Types),CEST (Cognitive-Experiential),CMOA (Circumplex of Affect),CS (Clifton Strengths),DISC,DT4 (Dark Tetrad),DTM (Dark Triad),EM (Enneagram),EPM (Eysenck PEN),FFNI (Five-Factor Narcissism),FFNI-SF (Short Form),FSLS (Felder-Silverman Learning),FTM (Four Temperaments),GAD-7 (Anxiety),HEXACO,HSNS (Hypersensitive Narcissism),IPN (Interpersonal),MBTI,MCMI (Millon Clinical),MCMI-N (Narcissism),MMPI,MST (Motivational Systems),NARQ (Narcissistic Admiration/Rivalry),NPI (Narcissistic Personality),OCEAN (Big Five),PAPC,PCT (Personal Construct),PNI (Pathological Narcissism),RFT (Regulatory Focus),RIASEC (Holland Vocational),RIT (Rorschach Inkblot),SCID (DSM Structured Interview),SCM (Social-Cognitive),SDT (Self-Determination),16PF (Cattell),STBV (Schwartz Values),TAT (Thematic Apperception),TCI (Temperament & Character),TEI (Emotional Intelligence),TKI (Thomas-Kilmann Conflict),TMP (Triarchic Psychopathy),WAIS (Intelligence)
AAM (Approach-Avoidance),0.9999999999999996,0.7480220483242229,0.7399320655724849,0.6782987865685384,0.7091811938085761,0.761033328095752,0.7306992098464413,0.6831443275455948,0.6739142040954251,0.8077761990447191,0.7430001348463977,0.7680123826909863,0.7381265336284271,0.6885443485065197,0.7610614277803124,0.7252556331169577,0.7541040014960013,0.7171818793523801,0.7039142442650609,0.7399547995127564,0.7045313908929205,0.6769703721644684,0.7805182795408248,0.8011165892948715,0.6916675708228041,0.6974697990099329,0.7550414838472123,0.5520200466348758,0.758111946447341,0.7612545069028888,0.8258348400669142,0.7262932774313295,0.5348318507433951,0.5031997392382193,0.7634889614510894,0.6900695087008601,0.7811728190254803,0.7335220248097762,0.45992189209249773,0.8082580720914082,0.5490793533506287,0.5005703358568222,0.7347186558291208,0.5385268705500846
BDI (Beck Depression),0.7480220483242229,0.9999999999999994,0.7311319491469706,0.7220119371742202,0.7771047612932461,0.6974162192373521,0.6746362609500886,0.8094846957222709,0.810182929959101,0.8016628490406488,0.8563721075038307,0.8586705929287906,0.7834018717409381,0.6916486193904688,0.7798843244042729,0.8351833410460766,0.7854588561358073,0.8644126768687049,0.8280704718769758,0.752849858335039,0.8095751929747957,0.7480820303273951,0.9201780370880907,0.6993733592732078,0.7658518186281871,0.7607853553154559,0.7960841403553345,0.554821761229053,0.7034485404682942,0.8758014513083567,0.6607227536478949,0.7359490085968776,0.6062490340435247,0.5769284066219265,0.8317310810457859,0.6053136571551985,0.8269418289359287,0.6423147240053201,0.45291393870051116,0.819744463346401,0.5034167907386792,0.4956761772916219,0.8331429603407231,0.5101067720146182
BT (Bartle Types),0.7399320655724849,0.7311319491469706,0.9999999999999991,0.8122968944066875,0.7451881787481202,0.8853685535187023,0.8828384578500815,0.8153939543197659,0.7964448312275024,0.8255820113777039,0.8707164379570149,0.8518397538270084,0.7726188654217833,0.8663731055932725,0.9053527058280463,0.6825080805292251,0.8897504484333236,0.759091015004343,0.8220172736546507,0.9212931779610242,0.6832428584943765,0.8050323596036709,0.8381344093912597,0.7291347316845325,0.8560456257026529,0.8335217445333654,0.9149230541832022,0.5859202364274001,0.8457201720355685,0.8578929625048556,0.7487983365197763,0.9221372600454693,0.6376163939295454,0.4555415875567461,0.9093660048282379,0.7474636005215788,0.9178687807063238,0.7619784139128442,0.5343244877707574,0.9116149866598618,0.5601942526514655,0.6022792716171013,0.8480383651765536,0.5868386463300306
CEST (Cognitive-Experiential),0.6782987865685384,0.7220119371742202,0.8122968944066875,0.9999999999999983,0.7108581134241491,0.8594405141410184,0.8208653423201151,0.7132965465783379,0.7323248622803169,0.802558247382895,0.8107503728731861,0.7840533474704866,0.6907896833999346,0.9193455251316003,0.8707432430623171,0.6683407965386843,0.7996235480141174,0.7201213301254604,0.7351466811257381,0.9134029887776521,0.679725607944235,0.7118863147416705,0.7986016946412573,0.7072319722593283,0.7004504210011273,0.7387289939659987,0.844369717904291,0.5952059800565633,0.8194158563146854,0.7838068970770599,0.713645518071715,0.8875679067248229,0.6586520834138623,0.4905328193687289,0.8435566366454075,0.7160760197172685,0.8658974330647822,0.7134782128542722,0.3901946341109221,0.8229453565380416,0.625374799627281,0.4909810308117218,0.7597527516980331,0.6285152410673964
CMOA (Circumplex of Affect),0.7091811938085761,0.7771047612932461,0.7451881787481202,0.7108581134241491,0.9999999999999999,0.7574286068204943,0.7277294095593034,0.6751819632053848,0.6525168979132766,0.7509920372696811,0.8551155857724468,0.7342397941361607,0.6711396678786753,0.7209089507923229,0.8217701181577167,0.7295960765516405,0.814147146022169,0.7387994945598862,0.6982756778196146,0.7851427877999125,0.7109268504027336,0.6546544368320206,0.8210131294813947,0.6940593636147391,0.7100207751340815,0.6739395660479195,0.8069038038342944,0.6229295167137203,0.7437103958174791,0.7664428623815609,0.6987130189341095,0.7830346594324367,0.6524340570812541,0.5152492790467543,0.8641313037798056,0.628506098975719,0.8146307942309773,0.6684351803842834,0.4109801729882607,0.8007653356549218,0.49633243911569913,0.5221284228242679,0.7351464403506621,0.5160619846234955
CS (Clifton Strengths),0.761033328095752,0.6974162192373521,0.8853685535187023,0.8594405141410184,0.7574286068204943,1.000000000000001,0.9008430223367743,0.7172871275988324,0.7180606052429805,0.8513913748747568,0.8186815549110874,0.8169279707185224,0.7430353138098543,0.9159250977967544,0.8925121438263586,0.6490777665892322,0.8418728005604764,0.7095727738693212,0.7530977923294983,0.917105863561153,0.6687878287026352,0.7579374488175192,0.7911829584205101,0.7493050926927702,0.7838690565961242,0.7811926470770686,0.8788005546151882,0.6741209779550971,0.9202054951820674,0.8078707164757053,0.8140071028607269,0.9187496517067469,0.7286382007124739,0.4741018538793078,0.8708863991280578,0.8571855865065447,0.8873596815581631,0.8610985888162592,0.5370190018396205,0.8688359580667953,0.6334889927264843,0.5543725089604675,0.7607196322365822,0.7056591230022756
DISC,0.7306992098464413,0.6746362609500886,0.8828384578500815,0.8208653423201151,0.7277294095593034,0.9008430223367743,1.000000000000001,0.7269145612904729,0.7219056446243296,0.820641537145612,0.8204983123267032,0.81527039246299,0.7363280716752737,0.8593810365565706,0.8956674767749135,0.6289317914016419,0.840864139861459,0.7276240943861287,0.7523846599420749,0.8886913608224211,0.6958587688912675,0.7612717406466072,0.7896333482134608,0.754355452803467,0.7803952049730982,0.8001764618781791,0.8676997940088151,0.6617190911474111,0.8733317060900772,0.7973519429451921,0.7445272343001796,0.9022397055589619,0.6262963202524833,0.5022172426862077,0.8597129531095324,0.7984455558899288,0.8653944671773932,0.7761929709250499,0.506147165553577,0.873085415621581,0.6490777726611819,0.6122655734999897,0.772955520192353,0.6200028830823907
DT4 (Dark Tetrad),0.6831443275455948,0.8094846957222709,0.8153939543197659,0.7132965465783379,0.6751819632053848,0.7172871275988324,0.7269145612904729,1.0000000000000004,0.9593881229248702,0.7982300836310168,0.8202995194873578,0.8959510224743228,0.8898155144683619,0.7004285722569619,0.7714981859152384,0.6724365570531605,0.7833661616165445,0.8290496021130386,0.9267071906634948,0.7723741605359897,0.7693113936760345,0.8865710712417915,0.8465011269913939,0.6811386849714643,0.8876594498210448,0.888546372972586,0.7978723950903988,0.5014047474756866,0.6907178642106537,0.9239053899816736,0.6433553711957654,0.7608885844328821,0.5386594635641471,0.4867056332212327,0.8108949990727572,0.607586058106206,0.8307649322844866,0.6681983518790047,0.48616042054039116,0.8166826133780849,0.47718691435292604,0.5306707870488544,0.9383716925148926,0.4594693199956606
DTM (Dark Triad),0.6739142040954251,0.810182929959101,0.7964448312275024,0.7323248622803169,0.6525168979132766,0.7180606052429805,0.7219056446243296,0.9593881229248702,1.0,0.7866264003945003,0.8180430971126766,0.895172713556358,0.8731516712910337,0.7070415039500579,0.7772364745792631,0.6768273727319223,0.7742890142366846,0.8212236309218757,0.9307013379405227,0.7740663162895082,0.7419561824085668,0.8879945996076135,0.8491071082559654,0.6583423966629364,0.8497659897630402,0.8830997209502425,0.7955471430251635,0.493890897796496,0.6869821103960471,0.908868023380384,0.6406382208930979,0.7600055389981826,0.5437035742912639,0.4730768467340416,0.7978656152001514,0.5965186164828724,0.8349675582446807,0.6499299831095223,0.45879809835499413,0.8100660176206609,0.48675472378327406,0.5259825413746477,0.940916657323678,0.47532765709396696
EM (Enneagram),0.8077761990447191,0.8016628490406488,0.8255820113777039,0.802558247382895,0.7509920372696811,0.8513913748747568,0.820641537145612,0.7982300836310168,0.7866264003945003,1.0000000000000002,0.8370873642533331,0.8755670999428875,0.8366072515835569,0.8018934721552845,0.8336487635744845,0.757500850856477,0.8310596734391851,0.7976204610852572,0.825195787541173,0.8378144748406988,0.7494179082146157,0.8094546477636235,0.846544040359218,0.805145444323327,0.8191589638335531,0.8245249035514877,0.848577814364457,0.6445784901921281,0.8427110231226437,0.8599650199408527,0.847684862886173,0.8329683060929669,0.6762007336487124,0.5613876164918027,0.8399629016704433,0.8083049001807924,0.8722287617475386,0.8508606371296741,0.5345847910173034,0.858275389047315,0.6246497266575246,0.5178599195943449,0.8203588532268925,0.6245987050609472
