model,model_display,category,factor,n_rows,variance_contribution
ocean,OCEAN (Big Five),Trait-Based,Neuroticism,24,575.771659
ffni_sf,FFNI-SF (Short Form),Narcissism-Based,Grandiose Narcissism,44,524.851939
scm,SCM (Social-Cognitive),Cognitive,Affective,36,515.630406
mmpi,MMPI,Clinical,Psychasthenia,36,509.617737
epm,EPM (Eysenck PEN),Trait-Based,Psychoticism,18,507.278336
pct,PCT (Personal Construct),Cognitive,Assertiveness,25,495.669059
riasec,RIASEC (Holland Vocational),App/Holistic,Artistic,20,493.67719
hsns,HSNS (Hypersensitive Narcissism),Narcissism-Based,Egocentrism,24,491.000947
mbti,MBTI,Trait-Based,Introversion,18,484.082773
pct,PCT (Personal Construct),Cognitive,Emotional Intelligence,20,483.227795
scm,SCM (Social-Cognitive),Cognitive,Environment,36,480.041608
ffni_sf,FFNI-SF (Short Form),Narcissism-Based,Vulnerable Narcissism,16,466.188389
dt4,DT4 (Dark Tetrad),Narcissism-Based,Psychopathy,24,462.40634
tmp,TMP (Triarchic Psychopathy),Clinical,Boldness,36,462.122879
fsls,FSLS (Felder-Silverman Learning),Cognitive,Reflective,36,457.957061
mmpi,MMPI,Clinical,Hypochondriasis,36,443.952785
em,EM (Enneagram),App/Holistic,Ego,3,443.597469
npi,NPI (Narcissistic Personality),Narcissism-Based,Self-Sufficiency,24,441.067578
mmpi,MMPI,Clinical,Hypomania,36,439.479343
mmpi,MMPI,Clinical,Masculinity_Femininity,36,431.216556
tci,TCI (Temperament & Character),Clinical,Self-Directedness,36,430.762644
sixteenpf,16PF (Cattell),Trait-Based,Social Boldness,12,428.241876
mcmi,MCMI (Millon Clinical),Clinical,Personality Patterns,45,424.307541
narq,NARQ (Narcissistic Admiration/Rivalry),Narcissism-Based,Narcissistic Admiration,24,421.203921
mmpi,MMPI,Clinical,Paranoia,36,420.74354
scm,SCM (Social-Cognitive),Cognitive,Interpersonal,36,418.530585
mcmin,MCMI-N (Narcissism),Narcissism-Based,Interpersonally Exploitive,24,416.189816
stbv,STBV (Schwartz Values),Motivational,Openness to Change,32,412.408924
mmpi,MMPI,Clinical,Hysteria,36,411.427786
epm,EPM (Eysenck PEN),Trait-Based,Introversion,18,411.041151
mmpi,MMPI,Clinical,Psychopathic_Deviate,36,409.054264
ffni,FFNI (Five-Factor Narcissism),Narcissism-Based,Authority,24,400.588408
bt,BT (Bartle Types),App/Holistic,Explorers,16,399.253414
mcmin,MCMI-N (Narcissism),Narcissism-Based,Cognitively Expansive,24,399.184195
ffni,FFNI (Five-Factor Narcissism),Narcissism-Based,Shame or Insecurity,24,395.105179
hsns,HSNS (Hypersensitive Narcissism),Narcissism-Based,Oversensitivity,24,392.716024
narq,NARQ (Narcissistic Admiration/Rivalry),Narcissism-Based,Narcissistic Rivalry,24,386.250472
fsls,FSLS (Felder-Silverman Learning),Cognitive,Visual,36,384.807051
pni,PNI (Pathological Narcissism),Narcissism-Based,Contingent Self-Esteem,24,380.619243
disc,DISC,Interpersonal,Assertiveness,2,380.204767
pni,PNI (Pathological Narcissism),Narcissism-Based,Exploitativeness,24,379.939579
ipn,IPN (Interpersonal),Narcissism-Based,Entitlement Rage,24,379.824509
dtm,DTM (Dark Triad),Narcissism-Based,Machiavellianism,18,375.70076
ftm,FTM (Four Temperaments),Trait-Based,Melancholic,20,375.441109
ffni,FFNI (Five-Factor Narcissism),Narcissism-Based,Reactive Anger,24,368.440705
ocean,OCEAN (Big Five),Trait-Based,Extraversion,24,366.114419
ftm,FTM (Four Temperaments),Trait-Based,Choleric,20,365.418605
tci,TCI (Temperament & Character),Clinical,Novelty Seeking,36,363.915881
sixteenpf,16PF (Cattell),Trait-Based,Tension,12,363.664958
scm,SCM (Social-Cognitive),Cognitive,Behavior,36,362.6753
cest,CEST (Cognitive-Experiential),Cognitive,Experiential System,36,360.09755
dt4,DT4 (Dark Tetrad),Narcissism-Based,Narcissism,24,359.716774
mcmin,MCMI-N (Narcissism),Narcissism-Based,Admirable Self-Image,24,357.994802
cmoa,CMOA (Circumplex of Affect),App/Holistic,Valence,18,355.620706
ffni,FFNI (Five-Factor Narcissism),Narcissism-Based,Exhibitionism,24,354.607543
riasec,RIASEC (Holland Vocational),App/Holistic,Social,20,353.450828
riasec,RIASEC (Holland Vocational),App/Holistic,Enterprising,20,351.265256
ipn,IPN (Interpersonal),Narcissism-Based,Exploitativeness,20,346.757396
mst,MST (Motivational Systems),Motivational,Socioemotional Regulation System,16,345.129219
epm,EPM (Eysenck PEN),Trait-Based,Extraversion,18,336.857609
hex,HEXACO,Trait-Based,Emotionality,12,336.357323
fsls,FSLS (Felder-Silverman Learning),Cognitive,Active,36,334.269592
bt,BT (Bartle Types),App/Holistic,Socializers,16,332.436179
mbti,MBTI,Trait-Based,Extraversion,18,331.433543
ftm,FTM (Four Temperaments),Trait-Based,Sanguine,20,330.3006
scm,SCM (Social-Cognitive),Cognitive,Cognition,36,329.743623
tci,TCI (Temperament & Character),Clinical,Self-Transcendence,36,328.19918
tci,TCI (Temperament & Character),Clinical,Harm Avoidance,36,327.567331
pct,PCT (Personal Construct),Cognitive,Intuition,25,326.492377
npi,NPI (Narcissistic Personality),Narcissism-Based,Superiority,24,325.560082
rft,RFT (Regulatory Focus),Motivational,Prevention Focus,28,324.860174
cs,CS (Clifton Strengths),Motivational,Influencing,32,324.243303
npi,NPI (Narcissistic Personality),Narcissism-Based,Exploitativeness,24,323.96061
dt4,DT4 (Dark Tetrad),Narcissism-Based,Machiavellianism,24,323.688192
pct,PCT (Personal Construct),Cognitive,Social Skills,20,321.746603
ipn,IPN (Interpersonal),Narcissism-Based,Contingent Self-Esteem,8,317.834376
npi,NPI (Narcissistic Personality),Narcissism-Based,Vanity,24,317.461546
npi,NPI (Narcissistic Personality),Narcissism-Based,Entitlement,24,316.773894
fsls,FSLS (Felder-Silverman Learning),Cognitive,Intuitive,36,315.610151
pct,PCT (Personal Construct),Cognitive,Interpersonal Relationships,25,314.364154
pni,PNI (Pathological Narcissism),Narcissism-Based,Entitlement Rage,24,307.573812
aam,AAM (Approach-Avoidance),Motivational,Approach Motivation,20,307.470487
ffni,FFNI (Five-Factor Narcissism),Narcissism-Based,Exploitativeness,24,305.695782
pni,PNI (Pathological Narcissism),Narcissism-Based,Grandiose Fantasy,24,305.355168
dtm,DTM (Dark Triad),Narcissism-Based,Narcissism,18,303.055262
tmp,TMP (Triarchic Psychopathy),Clinical,Meanness,36,301.928396
pni,PNI (Pathological Narcissism),Narcissism-Based,Self-Sacrificing Self-Enhancement,24,301.598039
pct,PCT (Personal Construct),Cognitive,Emotional,25,301.28032
